Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;200;10;0;5;8000000000;196644
1;200;10;0;5;8000000000;185937
2;200;10;0;5;8000000000;189064
3;200;10;0;5;8000000000;199854
4;200;10;0;5;8000000000;170515
5;200;10;0;5;8000000000;249110
6;200;10;0;5;8000000000;171270
7;200;10;0;5;8000000000;167549
8;200;10;0;5;8000000000;176350
9;200;10;0;5;8000000000;163432
10;200;10;0;5;8000000000;169658
11;200;10;0;5;8000000000;183256
12;200;10;0;5;8000000000;175206
13;200;10;0;5;8000000000;169095
14;200;10;0;5;8000000000;172296
15;200;10;0;5;8000000000;173173
16;200;10;0;5;8000000000;169843
17;200;10;0;5;8000000000;172167
18;200;10;0;5;8000000000;181760
19;200;10;0;5;8000000000;180031
20;200;10;0;5;8000000000;180919
21;200;10;0;5;8000000000;186543
22;200;10;0;5;8000000000;178232
23;200;10;0;5;8000000000;179159
24;200;10;0;5;8000000000;188299
25;200;10;0;5;8000000000;175345
26;200;10;0;5;8000000000;169122
27;200;10;0;5;8000000000;182219
28;200;10;0;5;8000000000;180433
29;200;10;0;5;8000000000;178476
30;200;10;0;5;8000000000;188591
31;200;10;0;5;8000000000;183836
32;200;10;0;5;8000000000;180261
33;200;10;0;5;8000000000;180146
34;200;10;0;5;8000000000;179651
35;200;10;0;5;8000000000;179265
36;200;10;0;5;8000000000;182314
37;200;10;0;5;8000000000;185148
38;200;10;0;5;8000000000;180200
39;200;10;0;5;8000000000;190330
40;200;10;0;5;8000000000;183192
41;200;10;0;5;8000000000;180122
42;200;10;0;5;8000000000;191417
43;200;10;0;5;8000000000;184304
44;200;10;0;5;8000000000;186068
45;200;10;0;5;8000000000;185962
46;200;10;0;5;8000000000;188375
47;200;10;0;5;8000000000;180590
48;200;10;0;5;8000000000;180767
49;200;10;0;5;8000000000;193736
