Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;10;10;0;4;5000000000;186420
1;10;10;0;4;5000000000;167791
2;10;10;0;4;5000000000;169882
3;10;10;0;4;5000000000;159823
4;10;10;0;4;5000000000;79787
5;10;10;0;4;5000000000;119844
6;10;10;0;4;5000000000;100666
7;10;10;0;4;5000000000;81420
8;10;10;0;4;5000000000;98351
9;10;10;0;4;5000000000;92041
10;10;10;0;4;5000000000;83492
11;10;10;0;4;5000000000;96434
12;10;10;0;4;5000000000;83787
13;10;10;0;4;5000000000;108338
14;10;10;0;4;5000000000;92123
15;10;10;0;4;5000000000;94491
16;10;10;0;4;5000000000;95126
17;10;10;0;4;5000000000;84441
18;10;10;0;4;5000000000;95597
19;10;10;0;4;5000000000;89763
20;10;10;0;4;5000000000;82852
21;10;10;0;4;5000000000;112413
22;10;10;0;4;5000000000;89448
23;10;10;0;4;5000000000;87229
24;10;10;0;4;5000000000;131077
25;10;10;0;4;5000000000;88877
26;10;10;0;4;5000000000;91621
27;10;10;0;4;5000000000;140829
28;10;10;0;4;5000000000;122214
29;10;10;0;4;5000000000;92407
30;10;10;0;4;5000000000;119310
31;10;10;0;4;5000000000;132626
32;10;10;0;4;5000000000;99638
33;10;10;0;4;5000000000;235188
34;10;10;0;4;5000000000;234010
35;10;10;0;4;5000000000;223781
36;10;10;0;4;5000000000;195959
37;10;10;0;4;5000000000;167899
38;10;10;0;4;5000000000;124327
39;10;10;0;4;5000000000;169395
40;10;10;0;4;5000000000;108713
41;10;10;0;4;5000000000;152379
42;10;10;0;4;5000000000;157515
43;10;10;0;4;5000000000;198452
44;10;10;0;4;5000000000;181045
45;10;10;0;4;5000000000;149998
46;10;10;0;4;5000000000;218187
47;10;10;0;4;5000000000;110602
48;10;10;0;4;5000000000;95576
49;10;10;0;4;5000000000;217342
