Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;600;10;0;3;10000000000;190105
1;600;10;0;3;10000000000;188007
2;600;10;0;3;10000000000;199654
3;600;10;0;3;10000000000;168664
4;600;10;0;3;10000000000;165908
5;600;10;0;3;10000000000;200645
6;600;10;0;3;10000000000;172316
7;600;10;0;3;10000000000;165588
8;600;10;0;3;10000000000;185115
9;600;10;0;3;10000000000;171941
10;600;10;0;3;10000000000;167944
11;600;10;0;3;10000000000;221012
12;600;10;0;3;10000000000;171120
13;600;10;0;3;10000000000;167798
14;600;10;0;3;10000000000;167164
15;600;10;0;3;10000000000;175998
16;600;10;0;3;10000000000;166227
17;600;10;0;3;10000000000;162164
18;600;10;0;3;10000000000;172512
19;600;10;0;3;10000000000;164264
20;600;10;0;3;10000000000;164968
21;600;10;0;3;10000000000;175131
22;600;10;0;3;10000000000;167414
23;600;10;0;3;10000000000;167801
24;600;10;0;3;10000000000;191466
25;600;10;0;3;10000000000;184651
26;600;10;0;3;10000000000;176921
27;600;10;0;3;10000000000;191752
28;600;10;0;3;10000000000;182454
29;600;10;0;3;10000000000;180158
30;600;10;0;3;10000000000;184779
31;600;10;0;3;10000000000;186525
32;600;10;0;3;10000000000;179670
33;600;10;0;3;10000000000;183592
34;600;10;0;3;10000000000;185344
35;600;10;0;3;10000000000;181798
36;600;10;0;3;10000000000;209888
37;600;10;0;3;10000000000;189573
38;600;10;0;3;10000000000;185627
39;600;10;0;3;10000000000;201528
40;600;10;0;3;10000000000;193406
41;600;10;0;3;10000000000;184328
42;600;10;0;3;10000000000;287012
43;600;10;0;3;10000000000;193649
44;600;10;0;3;10000000000;179813
45;600;10;0;3;10000000000;177437
46;600;10;0;3;10000000000;198438
47;600;10;0;3;10000000000;183211
48;600;10;0;3;10000000000;182724
49;600;10;0;3;10000000000;196383
