Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;400;10;0;2;4000000000;189109
1;400;10;0;2;4000000000;233259
2;400;10;0;2;4000000000;182947
3;400;10;0;2;4000000000;177152
4;400;10;0;2;4000000000;175605
5;400;10;0;2;4000000000;170403
6;400;10;0;2;4000000000;171051
7;400;10;0;2;4000000000;179761
8;400;10;0;2;4000000000;168440
9;400;10;0;2;4000000000;167751
10;400;10;0;2;4000000000;168321
11;400;10;0;2;4000000000;202893
12;400;10;0;2;4000000000;183537
13;400;10;0;2;4000000000;191642
14;400;10;0;2;4000000000;183817
15;400;10;0;2;4000000000;182447
16;400;10;0;2;4000000000;174071
17;400;10;0;2;4000000000;200494
18;400;10;0;2;4000000000;173967
19;400;10;0;2;4000000000;169656
20;400;10;0;2;4000000000;171554
21;400;10;0;2;4000000000;201135
22;400;10;0;2;4000000000;183194
23;400;10;0;2;4000000000;191006
24;400;10;0;2;4000000000;172701
25;400;10;0;2;4000000000;183407
26;400;10;0;2;4000000000;169781
27;400;10;0;2;4000000000;189461
28;400;10;0;2;4000000000;171535
29;400;10;0;2;4000000000;182778
30;400;10;0;2;4000000000;179690
31;400;10;0;2;4000000000;180181
32;400;10;0;2;4000000000;175635
33;400;10;0;2;4000000000;172785
34;400;10;0;2;4000000000;171846
35;400;10;0;2;4000000000;199585
36;400;10;0;2;4000000000;168911
37;400;10;0;2;4000000000;189855
38;400;10;0;2;4000000000;170588
39;400;10;0;2;4000000000;167174
40;400;10;0;2;4000000000;174358
41;400;10;0;2;4000000000;192708
42;400;10;0;2;4000000000;192157
43;400;10;0;2;4000000000;171273
44;400;10;0;2;4000000000;171124
45;400;10;0;2;4000000000;195437
46;400;10;0;2;4000000000;173449
47;400;10;0;2;4000000000;192896
48;400;10;0;2;4000000000;170543
49;400;10;0;2;4000000000;184909
