Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;800;10;0;2;1000000000;173417
1;800;10;0;2;1000000000;192776
2;800;10;0;2;1000000000;190796
3;800;10;0;2;1000000000;186413
4;800;10;0;2;1000000000;171444
5;800;10;0;2;1000000000;165448
6;800;10;0;2;1000000000;162971
7;800;10;0;2;1000000000;162756
8;800;10;0;2;1000000000;163586
9;800;10;0;2;1000000000;160923
10;800;10;0;2;1000000000;165956
11;800;10;0;2;1000000000;160730
12;800;10;0;2;1000000000;163980
13;800;10;0;2;1000000000;166620
14;800;10;0;2;1000000000;175893
15;800;10;0;2;1000000000;168737
16;800;10;0;2;1000000000;163775
17;800;10;0;2;1000000000;161143
18;800;10;0;2;1000000000;165442
19;800;10;0;2;1000000000;304948
20;800;10;0;2;1000000000;233531
21;800;10;0;2;1000000000;168425
22;800;10;0;2;1000000000;163033
23;800;10;0;2;1000000000;160154
24;800;10;0;2;1000000000;411525
25;800;10;0;2;1000000000;160896
26;800;10;0;2;1000000000;164348
27;800;10;0;2;1000000000;163403
28;800;10;0;2;1000000000;163829
29;800;10;0;2;1000000000;164743
30;800;10;0;2;1000000000;164006
31;800;10;0;2;1000000000;163146
32;800;10;0;2;1000000000;160985
33;800;10;0;2;1000000000;161986
34;800;10;0;2;1000000000;164383
35;800;10;0;2;1000000000;163267
36;800;10;0;2;1000000000;161716
37;800;10;0;2;1000000000;158782
38;800;10;0;2;1000000000;157158
39;800;10;0;2;1000000000;152118
40;800;10;0;2;1000000000;137573
41;800;10;0;2;1000000000;153389
42;800;10;0;2;1000000000;152630
43;800;10;0;2;1000000000;156463
44;800;10;0;2;1000000000;135245
45;800;10;0;2;1000000000;142441
46;800;10;0;2;1000000000;160951
47;800;10;0;2;1000000000;133627
48;800;10;0;2;1000000000;136172
49;800;10;0;2;1000000000;290476
