Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;600;10;0;3;5000000000;189848
1;600;10;0;3;5000000000;178852
2;600;10;0;3;5000000000;175307
3;600;10;0;3;5000000000;167089
4;600;10;0;3;5000000000;165688
5;600;10;0;3;5000000000;169858
6;600;10;0;3;5000000000;166590
7;600;10;0;3;5000000000;166904
8;600;10;0;3;5000000000;165678
9;600;10;0;3;5000000000;163896
10;600;10;0;3;5000000000;171793
11;600;10;0;3;5000000000;197020
12;600;10;0;3;5000000000;174426
13;600;10;0;3;5000000000;184043
14;600;10;0;3;5000000000;178182
15;600;10;0;3;5000000000;184452
16;600;10;0;3;5000000000;173752
17;600;10;0;3;5000000000;188663
18;600;10;0;3;5000000000;179004
19;600;10;0;3;5000000000;187680
20;600;10;0;3;5000000000;172325
21;600;10;0;3;5000000000;180065
22;600;10;0;3;5000000000;176250
23;600;10;0;3;5000000000;198400
24;600;10;0;3;5000000000;178271
25;600;10;0;3;5000000000;177451
26;600;10;0;3;5000000000;168326
27;600;10;0;3;5000000000;198463
28;600;10;0;3;5000000000;174568
29;600;10;0;3;5000000000;197747
30;600;10;0;3;5000000000;176764
31;600;10;0;3;5000000000;180797
32;600;10;0;3;5000000000;171758
33;600;10;0;3;5000000000;185341
34;600;10;0;3;5000000000;174924
35;600;10;0;3;5000000000;177636
36;600;10;0;3;5000000000;178602
37;600;10;0;3;5000000000;177034
38;600;10;0;3;5000000000;175657
39;600;10;0;3;5000000000;175984
40;600;10;0;3;5000000000;178438
41;600;10;0;3;5000000000;193920
42;600;10;0;3;5000000000;174577
43;600;10;0;3;5000000000;175264
44;600;10;0;3;5000000000;173632
45;600;10;0;3;5000000000;207989
46;600;10;0;3;5000000000;177894
47;600;10;0;3;5000000000;178756
48;600;10;0;3;5000000000;194946
49;600;10;0;3;5000000000;202172
