Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;600;10;0;4;5000000000;250997
1;600;10;0;4;5000000000;199867
2;600;10;0;4;5000000000;207060
3;600;10;0;4;5000000000;212503
4;600;10;0;4;5000000000;219717
5;600;10;0;4;5000000000;172466
6;600;10;0;4;5000000000;148760
7;600;10;0;4;5000000000;120673
8;600;10;0;4;5000000000;110235
9;600;10;0;4;5000000000;120814
10;600;10;0;4;5000000000;147967
11;600;10;0;4;5000000000;96944
12;600;10;0;4;5000000000;145064
13;600;10;0;4;5000000000;150021
14;600;10;0;4;5000000000;97738
15;600;10;0;4;5000000000;188909
16;600;10;0;4;5000000000;151508
17;600;10;0;4;5000000000;112756
18;600;10;0;4;5000000000;184382
19;600;10;0;4;5000000000;109006
20;600;10;0;4;5000000000;96786
21;600;10;0;4;5000000000;169943
22;600;10;0;4;5000000000;112720
23;600;10;0;4;5000000000;92466
24;600;10;0;4;5000000000;132550
25;600;10;0;4;5000000000;137241
26;600;10;0;4;5000000000;94861
27;600;10;0;4;5000000000;155088
28;600;10;0;4;5000000000;175428
29;600;10;0;4;5000000000;108337
30;600;10;0;4;5000000000;166665
31;600;10;0;4;5000000000;149565
32;600;10;0;4;5000000000;127389
33;600;10;0;4;5000000000;141779
34;600;10;0;4;5000000000;127039
35;600;10;0;4;5000000000;161041
36;600;10;0;4;5000000000;125459
37;600;10;0;4;5000000000;126470
38;600;10;0;4;5000000000;143126
39;600;10;0;4;5000000000;111147
40;600;10;0;4;5000000000;135310
41;600;10;0;4;5000000000;133391
42;600;10;0;4;5000000000;110640
43;600;10;0;4;5000000000;195815
44;600;10;0;4;5000000000;104108
45;600;10;0;4;5000000000;100738
46;600;10;0;4;5000000000;198078
47;600;10;0;4;5000000000;127687
48;600;10;0;4;5000000000;95722
49;600;10;0;4;5000000000;160512
