Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;200;10;0;4;8000000000;178106
1;200;10;0;4;8000000000;176229
2;200;10;0;4;8000000000;182135
3;200;10;0;4;8000000000;170743
4;200;10;0;4;8000000000;113800
5;200;10;0;4;8000000000;167622
6;200;10;0;4;8000000000;100516
7;200;10;0;4;8000000000;91701
8;200;10;0;4;8000000000;142789
9;200;10;0;4;8000000000;93086
10;200;10;0;4;8000000000;85758
11;200;10;0;4;8000000000;133131
12;200;10;0;4;8000000000;89676
13;200;10;0;4;8000000000;94867
14;200;10;0;4;8000000000;154901
15;200;10;0;4;8000000000;79994
16;200;10;0;4;8000000000;86280
17;200;10;0;4;8000000000;74695
18;200;10;0;4;8000000000;116551
19;200;10;0;4;8000000000;77960
20;200;10;0;4;8000000000;73320
21;200;10;0;4;8000000000;108575
22;200;10;0;4;8000000000;73529
23;200;10;0;4;8000000000;72538
24;200;10;0;4;8000000000;113334
25;200;10;0;4;8000000000;72784
26;200;10;0;4;8000000000;87159
27;200;10;0;4;8000000000;119671
28;200;10;0;4;8000000000;84380
29;200;10;0;4;8000000000;81651
30;200;10;0;4;8000000000;117501
31;200;10;0;4;8000000000;82341
32;200;10;0;4;8000000000;81789
33;200;10;0;4;8000000000;117346
34;200;10;0;4;8000000000;76583
35;200;10;0;4;8000000000;81886
36;200;10;0;4;8000000000;114031
37;200;10;0;4;8000000000;77172
38;200;10;0;4;8000000000;85258
39;200;10;0;4;8000000000;150464
40;200;10;0;4;8000000000;115397
41;200;10;0;4;8000000000;126705
42;200;10;0;4;8000000000;167112
43;200;10;0;4;8000000000;152290
44;200;10;0;4;8000000000;121295
45;200;10;0;4;8000000000;153593
46;200;10;0;4;8000000000;155802
47;200;10;0;4;8000000000;132085
48;200;10;0;4;8000000000;113597
49;200;10;0;4;8000000000;166278
