Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;200;10;0;5;1000000000;150072
1;200;10;0;5;1000000000;183565
2;200;10;0;5;1000000000;173307
3;200;10;0;5;1000000000;172792
4;200;10;0;5;1000000000;182624
5;200;10;0;5;1000000000;167836
6;200;10;0;5;1000000000;169108
7;200;10;0;5;1000000000;151422
8;200;10;0;5;1000000000;170780
9;200;10;0;5;1000000000;174237
10;200;10;0;5;1000000000;174856
11;200;10;0;5;1000000000;181230
12;200;10;0;5;1000000000;179482
13;200;10;0;5;1000000000;179556
14;200;10;0;5;1000000000;170230
15;200;10;0;5;1000000000;171938
16;200;10;0;5;1000000000;171027
17;200;10;0;5;1000000000;174609
18;200;10;0;5;1000000000;179600
19;200;10;0;5;1000000000;173688
20;200;10;0;5;1000000000;173197
21;200;10;0;5;1000000000;183547
22;200;10;0;5;1000000000;178464
23;200;10;0;5;1000000000;175946
24;200;10;0;5;1000000000;179732
25;200;10;0;5;1000000000;183924
26;200;10;0;5;1000000000;187433
27;200;10;0;5;1000000000;187481
28;200;10;0;5;1000000000;186799
29;200;10;0;5;1000000000;186168
30;200;10;0;5;1000000000;192519
31;200;10;0;5;1000000000;190566
32;200;10;0;5;1000000000;190346
33;200;10;0;5;1000000000;197083
34;200;10;0;5;1000000000;199067
35;200;10;0;5;1000000000;204019
36;200;10;0;5;1000000000;204639
37;200;10;0;5;1000000000;197601
38;200;10;0;5;1000000000;203446
39;200;10;0;5;1000000000;201833
40;200;10;0;5;1000000000;206106
41;200;10;0;5;1000000000;200176
42;200;10;0;5;1000000000;235467
43;200;10;0;5;1000000000;203058
44;200;10;0;5;1000000000;203149
45;200;10;0;5;1000000000;221249
46;200;10;0;5;1000000000;200713
47;200;10;0;5;1000000000;198528
48;200;10;0;5;1000000000;201335
49;200;10;0;5;1000000000;199913
