Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;10;10;0;5;5000000000;265535
1;10;10;0;5;5000000000;256438
2;10;10;0;5;5000000000;272970
3;10;10;0;5;5000000000;236691
4;10;10;0;5;5000000000;216592
5;10;10;0;5;5000000000;216461
6;10;10;0;5;5000000000;209612
7;10;10;0;5;5000000000;182993
8;10;10;0;5;5000000000;193166
9;10;10;0;5;5000000000;109877
10;10;10;0;5;5000000000;184337
11;10;10;0;5;5000000000;185122
12;10;10;0;5;5000000000;185388
13;10;10;0;5;5000000000;163370
14;10;10;0;5;5000000000;133462
15;10;10;0;5;5000000000;199260
16;10;10;0;5;5000000000;134065
17;10;10;0;5;5000000000;198800
18;10;10;0;5;5000000000;242680
19;10;10;0;5;5000000000;113255
20;10;10;0;5;5000000000;91925
21;10;10;0;5;5000000000;172807
22;10;10;0;5;5000000000;138723
23;10;10;0;5;5000000000;96757
24;10;10;0;5;5000000000;191542
25;10;10;0;5;5000000000;116987
26;10;10;0;5;5000000000;99094
27;10;10;0;5;5000000000;191927
28;10;10;0;5;5000000000;115505
29;10;10;0;5;5000000000;120146
30;10;10;0;5;5000000000;231951
31;10;10;0;5;5000000000;112577
32;10;10;0;5;5000000000;113504
33;10;10;0;5;5000000000;239775
34;10;10;0;5;5000000000;106372
35;10;10;0;5;5000000000;122324
36;10;10;0;5;5000000000;216420
37;10;10;0;5;5000000000;157702
38;10;10;0;5;5000000000;101760
39;10;10;0;5;5000000000;149009
40;10;10;0;5;5000000000;192129
41;10;10;0;5;5000000000;99388
42;10;10;0;5;5000000000;177036
43;10;10;0;5;5000000000;203575
44;10;10;0;5;5000000000;108090
45;10;10;0;5;5000000000;106054
46;10;10;0;5;5000000000;222538
47;10;10;0;5;5000000000;122400
48;10;10;0;5;5000000000;98982
49;10;10;0;5;5000000000;196570
