Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;800;10;0;1;2000000000;177024
1;800;10;0;1;2000000000;170307
2;800;10;0;1;2000000000;175135
3;800;10;0;1;2000000000;164070
4;800;10;0;1;2000000000;81594
5;800;10;0;1;2000000000;135634
6;800;10;0;1;2000000000;89831
7;800;10;0;1;2000000000;77197
8;800;10;0;1;2000000000;104651
9;800;10;0;1;2000000000;86503
10;800;10;0;1;2000000000;88725
11;800;10;0;1;2000000000;94684
12;800;10;0;1;2000000000;95606
13;800;10;0;1;2000000000;87827
14;800;10;0;1;2000000000;98397
15;800;10;0;1;2000000000;95914
16;800;10;0;1;2000000000;85960
17;800;10;0;1;2000000000;82516
18;800;10;0;1;2000000000;100685
19;800;10;0;1;2000000000;84458
20;800;10;0;1;2000000000;125035
21;800;10;0;1;2000000000;161355
22;800;10;0;1;2000000000;128310
23;800;10;0;1;2000000000;121234
24;800;10;0;1;2000000000;164151
25;800;10;0;1;2000000000;128455
26;800;10;0;1;2000000000;126352
27;800;10;0;1;2000000000;156041
28;800;10;0;1;2000000000;128151
29;800;10;0;1;2000000000;127072
30;800;10;0;1;2000000000;158302
31;800;10;0;1;2000000000;121025
32;800;10;0;1;2000000000;125492
33;800;10;0;1;2000000000;152695
34;800;10;0;1;2000000000;122484
35;800;10;0;1;2000000000;121534
36;800;10;0;1;2000000000;180723
37;800;10;0;1;2000000000;136184
38;800;10;0;1;2000000000;125216
39;800;10;0;1;2000000000;147540
40;800;10;0;1;2000000000;151297
41;800;10;0;1;2000000000;124593
42;800;10;0;1;2000000000;148267
43;800;10;0;1;2000000000;146675
44;800;10;0;1;2000000000;126386
45;800;10;0;1;2000000000;137417
46;800;10;0;1;2000000000;141678
47;800;10;0;1;2000000000;146731
48;800;10;0;1;2000000000;124352
49;800;10;0;1;2000000000;147493
