Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;100;10;0;5;13000000000;191471
1;100;10;0;5;13000000000;195347
2;100;10;0;5;13000000000;206386
3;100;10;0;5;13000000000;188809
4;100;10;0;5;13000000000;203293
5;100;10;0;5;13000000000;175715
6;100;10;0;5;13000000000;163967
7;100;10;0;5;13000000000;167942
8;100;10;0;5;13000000000;187104
9;100;10;0;5;13000000000;166689
10;100;10;0;5;13000000000;166209
11;100;10;0;5;13000000000;189020
12;100;10;0;5;13000000000;170359
13;100;10;0;5;13000000000;164392
14;100;10;0;5;13000000000;225997
15;100;10;0;5;13000000000;176712
16;100;10;0;5;13000000000;170344
17;100;10;0;5;13000000000;166368
18;100;10;0;5;13000000000;172700
19;100;10;0;5;13000000000;162193
20;100;10;0;5;13000000000;163491
21;100;10;0;5;13000000000;165266
22;100;10;0;5;13000000000;159685
23;100;10;0;5;13000000000;153449
24;100;10;0;5;13000000000;161962
25;100;10;0;5;13000000000;135997
26;100;10;0;5;13000000000;160859
27;100;10;0;5;13000000000;166362
28;100;10;0;5;13000000000;96152
29;100;10;0;5;13000000000;157749
30;100;10;0;5;13000000000;167315
31;100;10;0;5;13000000000;90583
32;100;10;0;5;13000000000;154995
33;100;10;0;5;13000000000;165238
34;100;10;0;5;13000000000;92585
35;100;10;0;5;13000000000;127550
36;100;10;0;5;13000000000;164172
37;100;10;0;5;13000000000;108953
38;100;10;0;5;13000000000;95496
39;100;10;0;5;13000000000;204054
40;100;10;0;5;13000000000;151601
41;100;10;0;5;13000000000;158798
42;100;10;0;5;13000000000;177183
43;100;10;0;5;13000000000;160531
44;100;10;0;5;13000000000;163859
45;100;10;0;5;13000000000;211367
46;100;10;0;5;13000000000;161545
47;100;10;0;5;13000000000;154012
48;100;10;0;5;13000000000;161006
49;100;10;0;5;13000000000;165873
