Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;800;10;0;6;10000000000;197588
1;800;10;0;6;10000000000;176297
2;800;10;0;6;10000000000;190416
3;800;10;0;6;10000000000;186553
4;800;10;0;6;10000000000;185726
5;800;10;0;6;10000000000;200902
6;800;10;0;6;10000000000;187638
7;800;10;0;6;10000000000;203649
8;800;10;0;6;10000000000;185963
9;800;10;0;6;10000000000;180010
10;800;10;0;6;10000000000;173812
11;800;10;0;6;10000000000;189698
12;800;10;0;6;10000000000;197009
13;800;10;0;6;10000000000;187261
14;800;10;0;6;10000000000;190438
15;800;10;0;6;10000000000;186851
16;800;10;0;6;10000000000;183913
17;800;10;0;6;10000000000;182484
18;800;10;0;6;10000000000;193904
19;800;10;0;6;10000000000;187192
20;800;10;0;6;10000000000;196155
21;800;10;0;6;10000000000;188472
22;800;10;0;6;10000000000;220960
23;800;10;0;6;10000000000;244283
24;800;10;0;6;10000000000;232014
25;800;10;0;6;10000000000;209649
26;800;10;0;6;10000000000;129367
27;800;10;0;6;10000000000;244398
28;800;10;0;6;10000000000;111124
29;800;10;0;6;10000000000;116519
30;800;10;0;6;10000000000;244141
31;800;10;0;6;10000000000;183519
32;800;10;0;6;10000000000;126944
33;800;10;0;6;10000000000;232177
34;800;10;0;6;10000000000;166474
35;800;10;0;6;10000000000;135573
36;800;10;0;6;10000000000;228226
37;800;10;0;6;10000000000;160360
38;800;10;0;6;10000000000;113499
39;800;10;0;6;10000000000;171557
40;800;10;0;6;10000000000;226535
41;800;10;0;6;10000000000;145202
42;800;10;0;6;10000000000;237885
43;800;10;0;6;10000000000;174780
44;800;10;0;6;10000000000;123228
45;800;10;0;6;10000000000;116195
46;800;10;0;6;10000000000;249742
47;800;10;0;6;10000000000;155445
48;800;10;0;6;10000000000;114593
49;800;10;0;6;10000000000;252517
