Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;800;10;0;2;15000000000;190084
1;800;10;0;2;15000000000;192781
2;800;10;0;2;15000000000;213373
3;800;10;0;2;15000000000;206857
4;800;10;0;2;15000000000;178962
5;800;10;0;2;15000000000;175959
6;800;10;0;2;15000000000;148059
7;800;10;0;2;15000000000;157499
8;800;10;0;2;15000000000;187885
9;800;10;0;2;15000000000;174640
10;800;10;0;2;15000000000;168306
11;800;10;0;2;15000000000;218667
12;800;10;0;2;15000000000;173357
13;800;10;0;2;15000000000;166784
14;800;10;0;2;15000000000;168316
15;800;10;0;2;15000000000;180114
16;800;10;0;2;15000000000;166051
17;800;10;0;2;15000000000;161745
18;800;10;0;2;15000000000;174999
19;800;10;0;2;15000000000;167821
20;800;10;0;2;15000000000;162715
21;800;10;0;2;15000000000;169196
22;800;10;0;2;15000000000;164510
23;800;10;0;2;15000000000;165762
24;800;10;0;2;15000000000;168690
25;800;10;0;2;15000000000;171051
26;800;10;0;2;15000000000;160299
27;800;10;0;2;15000000000;169645
28;800;10;0;2;15000000000;168820
29;800;10;0;2;15000000000;165530
30;800;10;0;2;15000000000;168874
31;800;10;0;2;15000000000;152334
32;800;10;0;2;15000000000;164018
33;800;10;0;2;15000000000;197657
34;800;10;0;2;15000000000;168007
35;800;10;0;2;15000000000;163576
36;800;10;0;2;15000000000;203077
37;800;10;0;2;15000000000;167690
38;800;10;0;2;15000000000;165343
39;800;10;0;2;15000000000;174459
40;800;10;0;2;15000000000;173980
41;800;10;0;2;15000000000;163639
42;800;10;0;2;15000000000;225706
43;800;10;0;2;15000000000;172944
44;800;10;0;2;15000000000;168083
45;800;10;0;2;15000000000;162376
46;800;10;0;2;15000000000;177472
47;800;10;0;2;15000000000;164689
48;800;10;0;2;15000000000;167892
49;800;10;0;2;15000000000;170115
