Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;100;10;0;6;2000000000;124232
1;100;10;0;6;2000000000;144431
2;100;10;0;6;2000000000;181497
3;100;10;0;6;2000000000;174282
4;100;10;0;6;2000000000;168371
5;100;10;0;6;2000000000;181104
6;100;10;0;6;2000000000;166854
7;100;10;0;6;2000000000;158602
8;100;10;0;6;2000000000;169993
9;100;10;0;6;2000000000;165276
10;100;10;0;6;2000000000;165928
11;100;10;0;6;2000000000;180838
12;100;10;0;6;2000000000;167314
13;100;10;0;6;2000000000;159306
14;100;10;0;6;2000000000;170748
15;100;10;0;6;2000000000;146733
16;100;10;0;6;2000000000;145219
17;100;10;0;6;2000000000;138939
18;100;10;0;6;2000000000;168688
19;100;10;0;6;2000000000;157887
20;100;10;0;6;2000000000;152084
21;100;10;0;6;2000000000;159017
22;100;10;0;6;2000000000;163248
23;100;10;0;6;2000000000;164883
24;100;10;0;6;2000000000;160341
25;100;10;0;6;2000000000;150152
26;100;10;0;6;2000000000;150826
27;100;10;0;6;2000000000;158102
28;100;10;0;6;2000000000;108316
29;100;10;0;6;2000000000;149439
30;100;10;0;6;2000000000;158451
31;100;10;0;6;2000000000;151508
32;100;10;0;6;2000000000;149692
33;100;10;0;6;2000000000;168273
34;100;10;0;6;2000000000;168584
35;100;10;0;6;2000000000;168882
36;100;10;0;6;2000000000;169276
37;100;10;0;6;2000000000;166806
38;100;10;0;6;2000000000;171988
39;100;10;0;6;2000000000;165356
40;100;10;0;6;2000000000;169144
41;100;10;0;6;2000000000;159700
42;100;10;0;6;2000000000;171969
43;100;10;0;6;2000000000;168883
44;100;10;0;6;2000000000;164001
45;100;10;0;6;2000000000;177982
46;100;10;0;6;2000000000;167748
47;100;10;0;6;2000000000;171454
48;100;10;0;6;2000000000;163699
49;100;10;0;6;2000000000;180852
