Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;10;10;0;1;15000000000;179507
1;10;10;0;1;15000000000;194778
2;10;10;0;1;15000000000;201836
3;10;10;0;1;15000000000;207914
4;10;10;0;1;15000000000;153689
5;10;10;0;1;15000000000;187662
6;10;10;0;1;15000000000;158397
7;10;10;0;1;15000000000;175255
8;10;10;0;1;15000000000;177624
9;10;10;0;1;15000000000;186293
10;10;10;0;1;15000000000;150786
11;10;10;0;1;15000000000;227223
12;10;10;0;1;15000000000;164690
13;10;10;0;1;15000000000;216823
14;10;10;0;1;15000000000;155565
15;10;10;0;1;15000000000;264329
16;10;10;0;1;15000000000;150782
17;10;10;0;1;15000000000;209004
18;10;10;0;1;15000000000;165436
19;10;10;0;1;15000000000;203651
20;10;10;0;1;15000000000;149656
21;10;10;0;1;15000000000;275305
22;10;10;0;1;15000000000;150211
23;10;10;0;1;15000000000;197967
24;10;10;0;1;15000000000;161718
25;10;10;0;1;15000000000;202202
26;10;10;0;1;15000000000;144759
27;10;10;0;1;15000000000;215018
28;10;10;0;1;15000000000;150399
29;10;10;0;1;15000000000;174677
30;10;10;0;1;15000000000;161979
31;10;10;0;1;15000000000;178501
32;10;10;0;1;15000000000;152287
33;10;10;0;1;15000000000;179917
34;10;10;0;1;15000000000;156289
35;10;10;0;1;15000000000;175347
36;10;10;0;1;15000000000;190241
37;10;10;0;1;15000000000;201905
38;10;10;0;1;15000000000;156285
39;10;10;0;1;15000000000;203774
40;10;10;0;1;15000000000;162778
41;10;10;0;1;15000000000;193492
42;10;10;0;1;15000000000;201954
43;10;10;0;1;15000000000;211744
44;10;10;0;1;15000000000;154916
45;10;10;0;1;15000000000;200646
46;10;10;0;1;15000000000;193265
47;10;10;0;1;15000000000;197713
48;10;10;0;1;15000000000;153337
49;10;10;0;1;15000000000;196978
