Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;100;10;0;4;3000000000;191211
1;100;10;0;4;3000000000;177945
2;100;10;0;4;3000000000;178391
3;100;10;0;4;3000000000;174702
4;100;10;0;4;3000000000;178554
5;100;10;0;4;3000000000;162781
6;100;10;0;4;3000000000;127891
7;100;10;0;4;3000000000;108942
8;100;10;0;4;3000000000;121440
9;100;10;0;4;3000000000;101150
10;100;10;0;4;3000000000;120458
11;100;10;0;4;3000000000;97521
12;100;10;0;4;3000000000;95890
13;100;10;0;4;3000000000;118164
14;100;10;0;4;3000000000;128720
15;100;10;0;4;3000000000;151487
16;100;10;0;4;3000000000;89992
17;100;10;0;4;3000000000;93056
18;100;10;0;4;3000000000;146786
19;100;10;0;4;3000000000;142030
20;100;10;0;4;3000000000;118187
21;100;10;0;4;3000000000;176315
22;100;10;0;4;3000000000;177786
23;100;10;0;4;3000000000;168162
24;100;10;0;4;3000000000;180738
25;100;10;0;4;3000000000;182275
26;100;10;0;4;3000000000;169820
27;100;10;0;4;3000000000;174353
28;100;10;0;4;3000000000;175717
29;100;10;0;4;3000000000;168014
30;100;10;0;4;3000000000;171527
31;100;10;0;4;3000000000;182784
32;100;10;0;4;3000000000;164821
33;100;10;0;4;3000000000;171394
34;100;10;0;4;3000000000;157510
35;100;10;0;4;3000000000;167486
36;100;10;0;4;3000000000;162072
37;100;10;0;4;3000000000;160964
38;100;10;0;4;3000000000;152590
39;100;10;0;4;3000000000;153665
40;100;10;0;4;3000000000;146162
41;100;10;0;4;3000000000;163196
42;100;10;0;4;3000000000;167075
43;100;10;0;4;3000000000;164488
44;100;10;0;4;3000000000;162015
45;100;10;0;4;3000000000;167816
46;100;10;0;4;3000000000;169683
47;100;10;0;4;3000000000;160575
48;100;10;0;4;3000000000;157563
49;100;10;0;4;3000000000;167162
