Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;50000;10;6;5;21491645;1726193600167461714
1;0;0;50000;10;6;5;12638374;1726193600177070610
2;0;0;50000;10;6;5;3362846;1726193600187104218
3;0;0;50000;10;6;5;1279695;1726193600197058947
4;0;0;50000;10;6;5;341752;1726193600207097368
5;0;0;50000;10;6;5;334966;1726193600217094547
6;0;0;50000;10;6;5;342527;1726193600227096196
7;0;0;50000;10;6;5;387950;1726193600237094650
8;0;0;50000;10;6;5;556214;1726193600246990608
9;0;0;50000;10;6;5;787958;1726193600256982342
10;0;0;50000;10;6;5;626138;1726193600267008321
11;0;0;50000;10;6;5;314676;1726193600277078560
12;0;0;50000;10;6;5;305579;1726193600287079357
13;0;0;50000;10;6;5;318080;1726193600297079529
14;0;0;50000;10;6;5;1081793;1726193600307057607
15;0;0;50000;10;6;5;307741;1726193600317079582
16;0;0;50000;10;6;5;310190;1726193600327077520
17;0;0;50000;10;6;5;267744;1726193600337090891
18;0;0;50000;10;6;5;282498;1726193600347090940
19;0;0;50000;10;6;5;298900;1726193600357089994
20;0;0;50000;10;6;5;305266;1726193600367076907
21;0;0;50000;10;6;5;309996;1726193600377077624
22;0;0;50000;10;6;5;307858;1726193600387075842
23;0;0;50000;10;6;5;269069;1726193600397083563
24;0;0;50000;10;6;5;271093;1726193600407082897
25;0;0;50000;10;6;5;275686;1726193600417085046
26;0;0;50000;10;6;5;297663;1726193600427074416
27;0;0;50000;10;6;5;272285;1726193600437089817
28;0;0;50000;10;6;5;275357;1726193600447083958
29;0;0;50000;10;6;5;391242;1726193600457085806
30;0;0;50000;10;6;5;390114;1726193600467091328
31;0;0;50000;10;6;5;337841;1726193600477088721
32;0;0;50000;10;6;5;392494;1726193600487083872
33;0;0;50000;10;6;5;370618;1726193600497083672
34;0;0;50000;10;6;5;321126;1726193600507089889
35;0;0;50000;10;6;5;390280;1726193600517077908
36;0;0;50000;10;6;5;346430;1726193600527083919
37;0;0;50000;10;6;5;338538;1726193600537085483
38;0;0;50000;10;6;5;390755;1726193600547085590
39;0;0;50000;10;6;5;327540;1726193600557087432
40;0;0;50000;10;6;5;364126;1726193600567084713
41;0;0;50000;10;6;5;323560;1726193600577085958
42;0;0;50000;10;6;5;362385;1726193600587090875
43;0;0;50000;10;6;5;340636;1726193600597084873
44;0;0;50000;10;6;5;394378;1726193600607085581
45;0;0;50000;10;6;5;343025;1726193600617087167
46;0;0;50000;10;6;5;349220;1726193600627088923
47;0;0;50000;10;6;5;376965;1726193600637078795
48;0;0;50000;10;6;5;310512;1726193600647084543
49;0;0;50000;10;6;5;338223;1726193600657087994
50;0;0;50000;10;6;5;393514;1726193600667084754
51;0;0;50000;10;6;5;394122;1726193600677085829
52;0;0;50000;10;6;5;431609;1726193600687086194
53;0;0;50000;10;6;5;391494;1726193600697088019
54;0;0;50000;10;6;5;301883;1726193600707087352
55;0;0;50000;10;6;5;303952;1726193600717086170
56;0;0;50000;10;6;5;398739;1726193600727084476
57;0;0;50000;10;6;5;342219;1726193600737084532
58;0;0;50000;10;6;5;383897;1726193600747087733
59;0;0;50000;10;6;5;338185;1726193600757087101
60;0;0;50000;10;6;5;390450;1726193600767085084
61;0;0;50000;10;6;5;364241;1726193600777085853
62;0;0;50000;10;6;5;367938;1726193600787085922
63;0;0;50000;10;6;5;322518;1726193600797088262
64;0;0;50000;10;6;5;357654;1726193600807084785
65;0;0;50000;10;6;5;387854;1726193600817085172
66;0;0;50000;10;6;5;390453;1726193600827085408
67;0;0;50000;10;6;5;411321;1726193600837079442
68;0;0;50000;10;6;5;1217974;1726193600847054540
69;0;0;50000;10;6;5;1082955;1726193600857034217
70;0;0;50000;10;6;5;334176;1726193600867040962
71;0;0;50000;10;6;5;392265;1726193600877099658
72;0;0;50000;10;6;5;351418;1726193600887085236
73;0;0;50000;10;6;5;338112;1726193600897087664
74;0;0;50000;10;6;5;351333;1726193600907086142
75;0;0;50000;10;6;5;373224;1726193600917079453
76;0;0;50000;10;6;5;384938;1726193600927086138
77;0;0;50000;10;6;5;350144;1726193600937088307
