Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;800;10;2;9;404532;1726185802191172646
1;0;0;800;10;2;9;314731;1726185802201210992
2;0;0;800;10;2;9;328472;1726185802211223187
3;0;0;800;10;2;9;196075;1726185802221193661
4;0;0;800;10;2;9;152476;1726185802231168717
5;0;0;800;10;2;9;153807;1726185802241167785
6;0;0;800;10;2;9;167021;1726185802251064897
7;0;0;800;10;2;9;157180;1726185802261165464
8;0;0;800;10;2;9;158991;1726185802271166207
9;0;0;800;10;2;9;159742;1726185802281165332
10;0;0;800;10;2;9;157296;1726185802291164933
11;0;0;800;10;2;9;158104;1726185802301168953
12;0;0;800;10;2;9;158534;1726185802311166008
13;0;0;800;10;2;9;178872;1726185802321129373
14;0;0;800;10;2;9;162707;1726185802331165755
15;0;0;800;10;2;9;159218;1726185802341163445
16;0;0;800;10;2;9;156918;1726185802351167170
17;0;0;800;10;2;9;158618;1726185802361167197
18;0;0;800;10;2;9;151286;1726185802371167446
19;0;0;800;10;2;9;155358;1726185802381170287
20;0;0;800;10;2;9;161434;1726185802391090808
21;0;0;800;10;2;9;157165;1726185802401166491
22;0;0;800;10;2;9;153980;1726185802411167987
23;0;0;800;10;2;9;155619;1726185802421166986
24;0;0;800;10;2;9;158343;1726185802431169844
25;0;0;800;10;2;9;155770;1726185802441167747
26;0;0;800;10;2;9;175009;1726185802451174823
27;0;0;800;10;2;9;173101;1726185802461176495
28;0;0;800;10;2;9;175295;1726185802471176775
29;0;0;800;10;2;9;179072;1726185802481175104
30;0;0;800;10;2;9;177324;1726185802491175910
31;0;0;800;10;2;9;173511;1726185802501174576
32;0;0;800;10;2;9;175263;1726185802511175693
33;0;0;800;10;2;9;174157;1726185802521174374
34;0;0;800;10;2;9;166603;1726185802531175807
35;0;0;800;10;2;9;174005;1726185802541176097
36;0;0;800;10;2;9;174744;1726185802551176703
37;0;0;800;10;2;9;177851;1726185802561176868
38;0;0;800;10;2;9;174795;1726185802571175587
39;0;0;800;10;2;9;173341;1726185802581175050
40;0;0;800;10;2;9;174628;1726185802591124093
41;0;0;800;10;2;9;173965;1726185802601174671
42;0;0;800;10;2;9;174481;1726185802611173863
43;0;0;800;10;2;9;173488;1726185802621174933
44;0;0;800;10;2;9;176064;1726185802631175849
45;0;0;800;10;2;9;173371;1726185802641179850
46;0;0;800;10;2;9;175683;1726185802651175143
47;0;0;800;10;2;9;181002;1726185802661173633
48;0;0;800;10;2;9;175805;1726185802671175854
49;0;0;800;10;2;9;175088;1726185802681175029
