Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;10000;10;8;7;587555;1726192115399784922
1;0;0;10000;10;8;7;326122;1726192115409347875
2;0;0;10000;10;8;7;384075;1726192115419357213
3;0;0;10000;10;8;7;309864;1726192115429305862
4;0;0;10000;10;8;7;187308;1726192115439347561
5;0;0;10000;10;8;7;186515;1726192115449347397
6;0;0;10000;10;8;7;155684;1726192115459310274
7;0;0;10000;10;8;7;183550;1726192115469347433
8;0;0;10000;10;8;7;175380;1726192115479353102
9;0;0;10000;10;8;7;187410;1726192115489349417
10;0;0;10000;10;8;7;188943;1726192115499350514
11;0;0;10000;10;8;7;187586;1726192115509351160
12;0;0;10000;10;8;7;180109;1726192115519353072
13;0;0;10000;10;8;7;207958;1726192115529312161
14;0;0;10000;10;8;7;200491;1726192115539315027
15;0;0;10000;10;8;7;196045;1726192115549351610
16;0;0;10000;10;8;7;186059;1726192115559351367
17;0;0;10000;10;8;7;189935;1726192115569346662
18;0;0;10000;10;8;7;184880;1726192115579354095
19;0;0;10000;10;8;7;187164;1726192115589350509
20;0;0;10000;10;8;7;544550;1726192115599252862
21;0;0;10000;10;8;7;195892;1726192115609283236
22;0;0;10000;10;8;7;196634;1726192115619304377
23;0;0;10000;10;8;7;210225;1726192115629347351
24;0;0;10000;10;8;7;176161;1726192115639350648
25;0;0;10000;10;8;7;189604;1726192115649353567
26;0;0;10000;10;8;7;181797;1726192115659352662
27;0;0;10000;10;8;7;179644;1726192115669352267
28;0;0;10000;10;8;7;186357;1726192115679354919
29;0;0;10000;10;8;7;187080;1726192115689353327
30;0;0;10000;10;8;7;180506;1726192115699350410
31;0;0;10000;10;8;7;179751;1726192115709352433
32;0;0;10000;10;8;7;180561;1726192115719351810
33;0;0;10000;10;8;7;181014;1726192115729356749
34;0;0;10000;10;8;7;186525;1726192115739352380
35;0;0;10000;10;8;7;213271;1726192115749351194
36;0;0;10000;10;8;7;179738;1726192115759355018
37;0;0;10000;10;8;7;182512;1726192115769351294
38;0;0;10000;10;8;7;175888;1726192115779350668
39;0;0;10000;10;8;7;183305;1726192115789353879
40;0;0;10000;10;8;7;193745;1726192115799346479
41;0;0;10000;10;8;7;246216;1726192115809351358
42;0;0;10000;10;8;7;186093;1726192115819352864
43;0;0;10000;10;8;7;180536;1726192115829350992
44;0;0;10000;10;8;7;182846;1726192115839353872
45;0;0;10000;10;8;7;190176;1726192115849357300
46;0;0;10000;10;8;7;189124;1726192115859361280
47;0;0;10000;10;8;7;237051;1726192115869358058
48;0;0;10000;10;8;7;190206;1726192115879359718
49;0;0;10000;10;8;7;188750;1726192115889356995
50;0;0;10000;10;8;7;191749;1726192115899358655
51;0;0;10000;10;8;7;196867;1726192115909356420
52;0;0;10000;10;8;7;193527;1726192115919360131
53;0;0;10000;10;8;7;226720;1726192115929358578
54;0;0;10000;10;8;7;193699;1726192115939357385
55;0;0;10000;10;8;7;182802;1726192115949351851
56;0;0;10000;10;8;7;179820;1726192115959354394
57;0;0;10000;10;8;7;184468;1726192115969355356
58;0;0;10000;10;8;7;194833;1726192115979352364
59;0;0;10000;10;8;7;225330;1726192115989349889
60;0;0;10000;10;8;7;195253;1726192115999353884
61;0;0;10000;10;8;7;176881;1726192116009350312
62;0;0;10000;10;8;7;191635;1726192116019351086
63;0;0;10000;10;8;7;179582;1726192116029351759
64;0;0;10000;10;8;7;179901;1726192116039350842
65;0;0;10000;10;8;7;257980;1726192116049360566
66;0;0;10000;10;8;7;192870;1726192116059373437
67;0;0;10000;10;8;7;192758;1726192116069360532
68;0;0;10000;10;8;7;188215;1726192116079360254
69;0;0;10000;10;8;7;189223;1726192116089359203
70;0;0;10000;10;8;7;189016;1726192116099359003
71;0;0;10000;10;8;7;219261;1726192116109358498
72;0;0;10000;10;8;7;200905;1726192116119358703
73;0;0;10000;10;8;7;187819;1726192116129359606
74;0;0;10000;10;8;7;188520;1726192116139360641
75;0;0;10000;10;8;7;179647;1726192116149351435
76;0;0;10000;10;8;7;177215;1726192116159353208
77;0;0;10000;10;8;7;213326;1726192116169354027
78;0;0;10000;10;8;7;181678;1726192116179351132
79;0;0;10000;10;8;7;183441;1726192116189350919
80;0;0;10000;10;8;7;208389;1726192116199249448
81;0;0;10000;10;8;7;189422;1726192116209284503
82;0;0;10000;10;8;7;193375;1726192116219305440
83;0;0;10000;10;8;7;210333;1726192116229351079
84;0;0;10000;10;8;7;188624;1726192116239351849
85;0;0;10000;10;8;7;181749;1726192116249350066
86;0;0;10000;10;8;7;179352;1726192116259349603
87;0;0;10000;10;8;7;178684;1726192116269351922
88;0;0;10000;10;8;7;180067;1726192116279350845
89;0;0;10000;10;8;7;221174;1726192116289347733
90;0;0;10000;10;8;7;180847;1726192116299352531
91;0;0;10000;10;8;7;182014;1726192116309350646
92;0;0;10000;10;8;7;182035;1726192116319352194
93;0;0;10000;10;8;7;193339;1726192116329351321
94;0;0;10000;10;8;7;185339;1726192116339354053
95;0;0;10000;10;8;7;190564;1726192116349346586
96;0;0;10000;10;8;7;182938;1726192116359351669
97;0;0;10000;10;8;7;179256;1726192116369357813
98;0;0;10000;10;8;7;191057;1726192116379351852
99;0;0;10000;10;8;7;213103;1726192116389350148
0;0;1;10000;10;8;7;744608;1726192115399987931
1;0;1;10000;10;8;7;596123;1726192115409437721
2;0;1;10000;10;8;7;654318;1726192115419442732
3;0;1;10000;10;8;7;580776;1726192115429367416
4;0;1;10000;10;8;7;546800;1726192115439375040
5;0;1;10000;10;8;7;496194;1726192115449374660
6;0;1;10000;10;8;7;471595;1726192115459337801
7;0;1;10000;10;8;7;485248;1726192115469371768
8;0;1;10000;10;8;7;475650;1726192115479379038
9;0;1;10000;10;8;7;489033;1726192115489375312
10;0;1;10000;10;8;7;508457;1726192115499376617
11;0;1;10000;10;8;7;490055;1726192115509377480
12;0;1;10000;10;8;7;499215;1726192115519378899
13;0;1;10000;10;8;7;512650;1726192115529340898
14;0;1;10000;10;8;7;513008;1726192115539348984
15;0;1;10000;10;8;7;488491;1726192115549377630
16;0;1;10000;10;8;7;511979;1726192115559377033
17;0;1;10000;10;8;7;482926;1726192115569372720
18;0;1;10000;10;8;7;494309;1726192115579379535
19;0;1;10000;10;8;7;481551;1726192115589375175
20;0;1;10000;10;8;7;814463;1726192115599292335
21;0;1;10000;10;8;7;488396;1726192115609309299
22;0;1;10000;10;8;7;518450;1726192115619330455
23;0;1;10000;10;8;7;514916;1726192115629373050
24;0;1;10000;10;8;7;478237;1726192115639376344
25;0;1;10000;10;8;7;482265;1726192115649377927
26;0;1;10000;10;8;7;491719;1726192115659378000
27;0;1;10000;10;8;7;474768;1726192115669376531
28;0;1;10000;10;8;7;496673;1726192115679380162
29;0;1;10000;10;8;7;484562;1726192115689378731
30;0;1;10000;10;8;7;481789;1726192115699375561
31;0;1;10000;10;8;7;475027;1726192115709377022
32;0;1;10000;10;8;7;491337;1726192115719376554
33;0;1;10000;10;8;7;474657;1726192115729381503
34;0;1;10000;10;8;7;496976;1726192115739377305
35;0;1;10000;10;8;7;513322;1726192115749376312
36;0;1;10000;10;8;7;489742;1726192115759379816
37;0;1;10000;10;8;7;477753;1726192115769375257
38;0;1;10000;10;8;7;487573;1726192115779375844
39;0;1;10000;10;8;7;477629;1726192115789378325
40;0;1;10000;10;8;7;505449;1726192115799371852
41;0;1;10000;10;8;7;545695;1726192115809376351
42;0;1;10000;10;8;7;486733;1726192115819377892
43;0;1;10000;10;8;7;473506;1726192115829375843
44;0;1;10000;10;8;7;491330;1726192115839379602
45;0;1;10000;10;8;7;476025;1726192115849395947
46;0;1;10000;10;8;7;512343;1726192115859400907
47;0;1;10000;10;8;7;543042;1726192115869396836
48;0;1;10000;10;8;7;485483;1726192115879399533
49;0;1;10000;10;8;7;478500;1726192115889395426
50;0;1;10000;10;8;7;496830;1726192115899397860
51;0;1;10000;10;8;7;477402;1726192115909394612
52;0;1;10000;10;8;7;496232;1726192115919399828
53;0;1;10000;10;8;7;523120;1726192115929398240
54;0;1;10000;10;8;7;497732;1726192115939397112
55;0;1;10000;10;8;7;476805;1726192115949376292
