Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;200;10;3;10;382525;1726180540908723853
1;0;0;200;10;3;10;314234;1726180540918771416
2;0;0;200;10;3;10;315826;1726180540928762602
3;0;0;200;10;3;10;190542;1726180540938719436
4;0;0;200;10;3;10;154899;1726180540948726614
5;0;0;200;10;3;10;160354;1726180540958725649
6;0;0;200;10;3;10;118376;1726180540968697843
7;0;0;200;10;3;10;159959;1726180540978726746
8;0;0;200;10;3;10;160292;1726180540988727177
9;0;0;200;10;3;10;154856;1726180540998726595
10;0;0;200;10;3;10;159781;1726180541008726690
11;0;0;200;10;3;10;159618;1726180541018726552
12;0;0;200;10;3;10;152996;1726180541028725757
13;0;0;200;10;3;10;173673;1726180541038668112
14;0;0;200;10;3;10;158805;1726180541048723847
15;0;0;200;10;3;10;156122;1726180541058726424
16;0;0;200;10;3;10;160485;1726180541068726182
17;0;0;200;10;3;10;150557;1726180541078729058
18;0;0;200;10;3;10;156906;1726180541088728327
19;0;0;200;10;3;10;157507;1726180541098727156
20;0;0;200;10;3;10;161121;1726180541108731251
21;0;0;200;10;3;10;157858;1726180541118730066
22;0;0;200;10;3;10;154934;1726180541128729890
23;0;0;200;10;3;10;157645;1726180541138728833
24;0;0;200;10;3;10;157649;1726180541148727918
25;0;0;200;10;3;10;155072;1726180541158726467
26;0;0;200;10;3;10;155813;1726180541168727775
27;0;0;200;10;3;10;159704;1726180541178730134
28;0;0;200;10;3;10;155204;1726180541188732450
29;0;0;200;10;3;10;154871;1726180541198722977
30;0;0;200;10;3;10;154802;1726180541208732149
31;0;0;200;10;3;10;152298;1726180541218722762
32;0;0;200;10;3;10;149968;1726180541228723337
33;0;0;200;10;3;10;156306;1726180541238725329
34;0;0;200;10;3;10;177451;1726180541248736250
35;0;0;200;10;3;10;170406;1726180541258735093
36;0;0;200;10;3;10;180177;1726180541268735465
37;0;0;200;10;3;10;177258;1726180541278738881
38;0;0;200;10;3;10;176279;1726180541288736532
39;0;0;200;10;3;10;173805;1726180541298736091
40;0;0;200;10;3;10;174690;1726180541308735516
41;0;0;200;10;3;10;175884;1726180541318736308
42;0;0;200;10;3;10;173818;1726180541328736348
