Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;10;10;10;9;427279;1726177962918431200
1;0;0;10;10;10;9;609618;1726177962928430088
2;0;0;10;10;10;9;403407;1726177962938430201
3;0;0;10;10;10;9;191169;1726177962948365383
4;0;0;10;10;10;9;157097;1726177962958386377
5;0;0;10;10;10;9;155649;1726177962968383553
6;0;0;10;10;10;9;165415;1726177962978381950
7;0;0;10;10;10;9;156507;1726177962988383378
8;0;0;10;10;10;9;157233;1726177962998384343
9;0;0;10;10;10;9;157578;1726177963008383897
10;0;0;10;10;10;9;158857;1726177963018383766
11;0;0;10;10;10;9;156701;1726177963028384666
12;0;0;10;10;10;9;156576;1726177963038386847
13;0;0;10;10;10;9;192711;1726177963048349444
14;0;0;10;10;10;9;164613;1726177963058384801
15;0;0;10;10;10;9;161070;1726177963068381877
16;0;0;10;10;10;9;220599;1726177963078384001
17;0;0;10;10;10;9;155847;1726177963088388138
18;0;0;10;10;10;9;156039;1726177963098386567
19;0;0;10;10;10;9;165687;1726177963108387791
20;0;0;10;10;10;9;172089;1726177963118387539
21;0;0;10;10;10;9;162950;1726177963128405671
22;0;0;10;10;10;9;156450;1726177963138385632
23;0;0;10;10;10;9;159246;1726177963148387533
24;0;0;10;10;10;9;155011;1726177963158388283
25;0;0;10;10;10;9;156700;1726177963168389743
26;0;0;10;10;10;9;161014;1726177963178386682
27;0;0;10;10;10;9;156794;1726177963188386723
28;0;0;10;10;10;9;152392;1726177963198385869
29;0;0;10;10;10;9;163728;1726177963208386994
30;0;0;10;10;10;9;156301;1726177963218385649
31;0;0;10;10;10;9;156114;1726177963228387675
32;0;0;10;10;10;9;163937;1726177963238386659
33;0;0;10;10;10;9;163046;1726177963248394371
34;0;0;10;10;10;9;161340;1726177963258393778
35;0;0;10;10;10;9;159648;1726177963268393609
36;0;0;10;10;10;9;199286;1726177963278393292
37;0;0;10;10;10;9;167847;1726177963288392466
38;0;0;10;10;10;9;173595;1726177963298394708
39;0;0;10;10;10;9;165905;1726177963308394732
40;0;0;10;10;10;9;175295;1726177963318393112
41;0;0;10;10;10;9;177158;1726177963328397692
42;0;0;10;10;10;9;174145;1726177963338391970
43;0;0;10;10;10;9;162058;1726177963348393395
44;0;0;10;10;10;9;162201;1726177963358393119
45;0;0;10;10;10;9;162948;1726177963368393566
46;0;0;10;10;10;9;164235;1726177963378392896
47;0;0;10;10;10;9;165964;1726177963388391883
48;0;0;10;10;10;9;168855;1726177963398393224
49;0;0;10;10;10;9;164154;1726177963408396274
50;0;0;10;10;10;9;162290;1726177963418399045
51;0;0;10;10;10;9;166725;1726177963428394850
52;0;0;10;10;10;9;161796;1726177963438395086
53;0;0;10;10;10;9;161709;1726177963448394866
54;0;0;10;10;10;9;166507;1726177963458393452
55;0;0;10;10;10;9;163641;1726177963468394004
56;0;0;10;10;10;9;197224;1726177963478395014
57;0;0;10;10;10;9;163912;1726177963488392921
58;0;0;10;10;10;9;162944;1726177963498394637
59;0;0;10;10;10;9;164690;1726177963508395667
60;0;0;10;10;10;9;162462;1726177963518393214
61;0;0;10;10;10;9;168806;1726177963528394835
62;0;0;10;10;10;9;168420;1726177963538394400
63;0;0;10;10;10;9;162767;1726177963548392968
64;0;0;10;10;10;9;165065;1726177963558394260
65;0;0;10;10;10;9;163548;1726177963568394728
66;0;0;10;10;10;9;246713;1726177963578394479
67;0;0;10;10;10;9;161646;1726177963588392259
68;0;0;10;10;10;9;163982;1726177963598392487
69;0;0;10;10;10;9;165634;1726177963608393759
70;0;0;10;10;10;9;167110;1726177963618392076
71;0;0;10;10;10;9;163711;1726177963628393131
