Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;800;10;1;60;1271480;1726089850379114405
1;0;0;800;10;1;60;1010212;1726089850389029490
2;0;0;800;10;1;60;922462;1726089850399132030
3;0;0;800;10;1;60;929089;1726089850409049872
4;0;0;800;10;1;60;770797;1726089850419075827
5;0;0;800;10;1;60;198048;1726089850429081710
6;0;0;800;10;1;60;687404;1726089850439084199
7;0;0;800;10;1;60;204917;1726089850449081403
8;0;0;800;10;1;60;1177660;1726089850459082684
9;0;0;800;10;1;60;1562201;1726089850469081702
10;0;0;800;10;1;60;220960;1726089850479081792
11;0;0;800;10;1;60;1277172;1726089850488997210
12;0;0;800;10;1;60;211502;1726089850499018689
13;0;0;800;10;1;60;226330;1726089850509043406
14;0;0;800;10;1;60;1104977;1726089850519056293
15;0;0;800;10;1;60;1443180;1726089850529082590
16;0;0;800;10;1;60;639917;1726089850539082803
17;0;0;800;10;1;60;1444573;1726089850549081766
18;0;0;800;10;1;60;200005;1726089850559086075
19;0;0;800;10;1;60;1529558;1726089850569082237
20;0;0;800;10;1;60;200019;1726089850579087367
21;0;0;800;10;1;60;1526050;1726089850589085431
22;0;0;800;10;1;60;1198283;1726089850599084408
23;0;0;800;10;1;60;201429;1726089850609080513
24;0;0;800;10;1;60;1173384;1726089850619084925
25;0;0;800;10;1;60;1534907;1726089850629085796
26;0;0;800;10;1;60;211106;1726089850639086207
27;0;0;800;10;1;60;218784;1726089850649084742
28;0;0;800;10;1;60;201431;1726089850659085763
29;0;0;800;10;1;60;1169389;1726089850669084910
30;0;0;800;10;1;60;1277007;1726089850679084260
31;0;0;800;10;1;60;1169540;1726089850689086824
32;0;0;800;10;1;60;201641;1726089850699085018
33;0;0;800;10;1;60;196526;1726089850709084461
34;0;0;800;10;1;60;1230689;1726089850719085696
35;0;0;800;10;1;60;1170152;1726089850729085161
36;0;0;800;10;1;60;1193664;1726089850739079872
37;0;0;800;10;1;60;198125;1726089850749084235
38;0;0;800;10;1;60;230924;1726089850759093346
39;0;0;800;10;1;60;230826;1726089850769092517
40;0;0;800;10;1;60;232278;1726089850779091362
41;0;0;800;10;1;60;230398;1726089850789091926
42;0;0;800;10;1;60;240733;1726089850799092642
43;0;0;800;10;1;60;239367;1726089850809095173
44;0;0;800;10;1;60;239399;1726089850819096920
45;0;0;800;10;1;60;237963;1726089850829093164
46;0;0;800;10;1;60;246648;1726089850839094301
47;0;0;800;10;1;60;1473108;1726089850849091131
48;0;0;800;10;1;60;1411060;1726089850859092047
49;0;0;800;10;1;60;1580590;1726089850869092094
50;0;0;800;10;1;60;230187;1726089850879094729
51;0;0;800;10;1;60;1576648;1726089850889093893
52;0;0;800;10;1;60;232427;1726089850899096932
53;0;0;800;10;1;60;219984;1726089850909092312
54;0;0;800;10;1;60;238318;1726089850919093053
55;0;0;800;10;1;60;1549805;1726089850929095175
56;0;0;800;10;1;60;240920;1726089850939097463
57;0;0;800;10;1;60;238272;1726089850949093504
58;0;0;800;10;1;60;229350;1726089850959092235
59;0;0;800;10;1;60;232861;1726089850969093969
60;0;0;800;10;1;60;229576;1726089850979093153
61;0;0;800;10;1;60;235226;1726089850989092665
62;0;0;800;10;1;60;230926;1726089850999094824
63;0;0;800;10;1;60;1608616;1726089851009092058
64;0;0;800;10;1;60;229537;1726089851019093673
65;0;0;800;10;1;60;239269;1726089851029093501
66;0;0;800;10;1;60;215737;1726089851039055989
67;0;0;800;10;1;60;233535;1726089851049094596
68;0;0;800;10;1;60;239809;1726089851059092583
69;0;0;800;10;1;60;1576039;1726089851069094706
70;0;0;800;10;1;60;233144;1726089851079094968
71;0;0;800;10;1;60;1604429;1726089851088972805
72;0;0;800;10;1;60;1319791;1726089851099047228
73;0;0;800;10;1;60;210750;1726089851109082441
74;0;0;800;10;1;60;1527531;1726089851119024993
75;0;0;800;10;1;60;1519878;1726089851129094609
76;0;0;800;10;1;60;229148;1726089851139112444
77;0;0;800;10;1;60;234962;1726089851149092736
78;0;0;800;10;1;60;1151308;1726089851159087987
79;0;0;800;10;1;60;197399;1726089851169093183
80;0;0;800;10;1;60;1151607;1726089851179087740
81;0;0;800;10;1;60;1558172;1726089851189087925
82;0;0;800;10;1;60;208182;1726089851199088794
83;0;0;800;10;1;60;1271133;1726089851209087074
84;0;0;800;10;1;60;218993;1726089851219094104
85;0;0;800;10;1;60;213266;1726089851229094690
86;0;0;800;10;1;60;221765;1726089851239087758
87;0;0;800;10;1;60;1571898;1726089851249088188
88;0;0;800;10;1;60;231839;1726089851259096960
89;0;0;800;10;1;60;204460;1726089851269014633
90;0;0;800;10;1;60;305547;1726089851279110604
91;0;0;800;10;1;60;212167;1726089851289086382
92;0;0;800;10;1;60;262750;1726089851299093861
93;0;0;800;10;1;60;230675;1726089851309092409
94;0;0;800;10;1;60;1533252;1726089851319097817
95;0;0;800;10;1;60;1539833;1726089851329094633
96;0;0;800;10;1;60;247600;1726089851339111470
97;0;0;800;10;1;60;730096;1726089851349084415
98;0;0;800;10;1;60;217998;1726089851359048230
99;0;0;800;10;1;60;1655668;1726089851369087765
0;1;0;800;10;1;60;1293161;1726089850379114405
1;1;0;800;10;1;60;1031954;1726089850389029490
2;1;0;800;10;1;60;943442;1726089850399132030
3;1;0;800;10;1;60;950388;1726089850409049872
4;1;0;800;10;1;60;791343;1726089850419075827
5;1;0;800;10;1;60;223011;1726089850429081710
6;1;0;800;10;1;60;708426;1726089850439084199
7;1;0;800;10;1;60;229654;1726089850449081403
8;1;0;800;10;1;60;1197769;1726089850459082684
9;1;0;800;10;1;60;1581635;1726089850469081702
10;1;0;800;10;1;60;245985;1726089850479081792
11;1;0;800;10;1;60;1297639;1726089850488997210
12;1;0;800;10;1;60;237231;1726089850499018689
13;1;0;800;10;1;60;251646;1726089850509043406
14;1;0;800;10;1;60;1125183;1726089850519056293
15;1;0;800;10;1;60;1462469;1726089850529082590
16;1;0;800;10;1;60;660341;1726089850539082803
17;1;0;800;10;1;60;1463372;1726089850549081766
18;1;0;800;10;1;60;223979;1726089850559086075
19;1;0;800;10;1;60;209247;1726089850569082237
20;1;0;800;10;1;60;225321;1726089850579087367
21;1;0;800;10;1;60;1545207;1726089850589085431
22;1;0;800;10;1;60;1217874;1726089850599084408
23;1;0;800;10;1;60;225959;1726089850609080513
24;1;0;800;10;1;60;1193203;1726089850619084925
25;1;0;800;10;1;60;1553970;1726089850629085796
26;1;0;800;10;1;60;235919;1726089850639086207
27;1;0;800;10;1;60;243354;1726089850649084742
28;1;0;800;10;1;60;225830;1726089850659085763
29;1;0;800;10;1;60;1189467;1726089850669084910
30;1;0;800;10;1;60;1296835;1726089850679084260
31;1;0;800;10;1;60;1189252;1726089850689086824
32;1;0;800;10;1;60;226492;1726089850699085018
33;1;0;800;10;1;60;220965;1726089850709084461
34;1;0;800;10;1;60;1250387;1726089850719085696
35;1;0;800;10;1;60;1190139;1726089850729085161
36;1;0;800;10;1;60;1213490;1726089850739079872
37;1;0;800;10;1;60;222860;1726089850749084235
38;1;0;800;10;1;60;255084;1726089850759093346
39;1;0;800;10;1;60;254782;1726089850769092517
40;1;0;800;10;1;60;256480;1726089850779091362
41;1;0;800;10;1;60;254460;1726089850789091926
42;1;0;800;10;1;60;264836;1726089850799092642
43;1;0;800;10;1;60;263408;1726089850809095173
44;1;0;800;10;1;60;263468;1726089850819096920
45;1;0;800;10;1;60;261764;1726089850829093164
46;1;0;800;10;1;60;271128;1726089850839094301
47;1;0;800;10;1;60;1492246;1726089850849091131
48;1;0;800;10;1;60;1429583;1726089850859092047
49;1;0;800;10;1;60;240063;1726089850869092094
50;1;0;800;10;1;60;254184;1726089850879094729
51;1;0;800;10;1;60;233618;1726089850889093893
52;1;0;800;10;1;60;256056;1726089850899096932
53;1;0;800;10;1;60;243999;1726089850909092312
54;1;0;800;10;1;60;262352;1726089850919093053
55;1;0;800;10;1;60;239493;1726089850929095175
