Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;50000;10;5;6;1380027;1726193461325467713
1;0;0;50000;10;5;6;1180670;1726193461334916693
2;0;0;50000;10;5;6;1383018;1726193461344978754
3;0;0;50000;10;5;6;1292664;1726193461354983223
4;0;0;50000;10;5;6;764402;1726193461364911180
5;0;0;50000;10;5;6;287850;1726193461374955183
6;0;0;50000;10;5;6;308410;1726193461384937054
7;0;0;50000;10;5;6;280745;1726193461394939320
8;0;0;50000;10;5;6;281531;1726193461404956969
9;0;0;50000;10;5;6;282008;1726193461414955411
10;0;0;50000;10;5;6;312108;1726193461424942710
11;0;0;50000;10;5;6;322625;1726193461434945868
12;0;0;50000;10;5;6;284305;1726193461444938859
13;0;0;50000;10;5;6;344704;1726193461454950428
14;0;0;50000;10;5;6;392604;1726193461464924023
15;0;0;50000;10;5;6;381502;1726193461474961548
16;0;0;50000;10;5;6;376616;1726193461484942906
17;0;0;50000;10;5;6;345936;1726193461494906300
18;0;0;50000;10;5;6;345148;1726193461504943303
19;0;0;50000;10;5;6;332301;1726193461514950072
20;0;0;50000;10;5;6;367887;1726193461524955925
21;0;0;50000;10;5;6;335387;1726193461534948395
22;0;0;50000;10;5;6;371201;1726193461544932449
23;0;0;50000;10;5;6;346461;1726193461554955405
24;0;0;50000;10;5;6;374275;1726193461564952650
25;0;0;50000;10;5;6;345030;1726193461574949773
26;0;0;50000;10;5;6;369266;1726193461584954313
27;0;0;50000;10;5;6;340978;1726193461594929371
28;0;0;50000;10;5;6;339676;1726193461604962993
29;0;0;50000;10;5;6;340136;1726193461614950160
30;0;0;50000;10;5;6;332463;1726193461624953572
31;0;0;50000;10;5;6;346446;1726193461634944742
32;0;0;50000;10;5;6;370705;1726193461644933955
33;0;0;50000;10;5;6;371804;1726193461654955208
34;0;0;50000;10;5;6;373175;1726193461664952802
35;0;0;50000;10;5;6;332395;1726193461674954503
36;0;0;50000;10;5;6;373093;1726193461684951784
37;0;0;50000;10;5;6;346800;1726193461694927489
38;0;0;50000;10;5;6;348019;1726193461704949549
39;0;0;50000;10;5;6;348313;1726193461714945349
40;0;0;50000;10;5;6;350489;1726193461724949335
41;0;0;50000;10;5;6;339589;1726193461734954195
42;0;0;50000;10;5;6;368296;1726193461744929934
43;0;0;50000;10;5;6;343986;1726193461754950486
44;0;0;50000;10;5;6;351930;1726193461764945394
45;0;0;50000;10;5;6;372488;1726193461774949458
46;0;0;50000;10;5;6;388958;1726193461784949494
47;0;0;50000;10;5;6;334150;1726193461794901600
48;0;0;50000;10;5;6;349433;1726193461804949377
49;0;0;50000;10;5;6;340447;1726193461814942104
50;0;0;50000;10;5;6;358526;1726193461824925856
51;0;0;50000;10;5;6;371133;1726193461834949752
52;0;0;50000;10;5;6;362701;1726193461844929830
53;0;0;50000;10;5;6;352282;1726193461854943232
54;0;0;50000;10;5;6;364838;1726193461864942175
55;0;0;50000;10;5;6;337341;1726193461874949169
56;0;0;50000;10;5;6;368412;1726193461884951349
57;0;0;50000;10;5;6;377928;1726193461894904372
58;0;0;50000;10;5;6;339113;1726193461904949893
59;0;0;50000;10;5;6;345486;1726193461914952791
60;0;0;50000;10;5;6;373387;1726193461924941734
61;0;0;50000;10;5;6;405054;1726193461934889355
62;0;0;50000;10;5;6;376061;1726193461944908944
63;0;0;50000;10;5;6;340139;1726193461954943339
64;0;0;50000;10;5;6;372238;1726193461964952392
65;0;0;50000;10;5;6;335736;1726193461974953718
66;0;0;50000;10;5;6;343526;1726193461984942259
67;0;0;50000;10;5;6;349276;1726193461994923323
68;0;0;50000;10;5;6;389713;1726193462004949675
69;0;0;50000;10;5;6;338711;1726193462014953096
70;0;0;50000;10;5;6;387822;1726193462024949887
71;0;0;50000;10;5;6;344770;1726193462034937923
72;0;0;50000;10;5;6;348949;1726193462044902512
73;0;0;50000;10;5;6;345597;1726193462054958540
74;0;0;50000;10;5;6;333947;1726193462064951941
75;0;0;50000;10;5;6;335175;1726193462074944822
76;0;0;50000;10;5;6;371251;1726193462084950155
77;0;0;50000;10;5;6;342087;1726193462094925464
78;0;0;50000;10;5;6;361406;1726193462104952373
79;0;0;50000;10;5;6;375618;1726193462114942310
80;0;0;50000;10;5;6;334444;1726193462124942352
81;0;0;50000;10;5;6;341844;1726193462134941427
82;0;0;50000;10;5;6;348830;1726193462144914220
83;0;0;50000;10;5;6;337719;1726193462154949108
84;0;0;50000;10;5;6;372146;1726193462164950024
85;0;0;50000;10;5;6;330491;1726193462174948610
86;0;0;50000;10;5;6;387921;1726193462184949933
87;0;0;50000;10;5;6;346819;1726193462194904170
88;0;0;50000;10;5;6;370504;1726193462204950430
89;0;0;50000;10;5;6;348559;1726193462214948804
90;0;0;50000;10;5;6;372962;1726193462224950001
91;0;0;50000;10;5;6;341678;1726193462234949841
92;0;0;50000;10;5;6;391576;1726193462244923844
93;0;0;50000;10;5;6;378132;1726193462254945796
94;0;0;50000;10;5;6;371120;1726193462264951241
95;0;0;50000;10;5;6;1132998;1726193462274941684
96;0;0;50000;10;5;6;376204;1726193462284949461
97;0;0;50000;10;5;6;337444;1726193462294922841
98;0;0;50000;10;5;6;373207;1726193462304950602
99;0;0;50000;10;5;6;382425;1726193462314950327
0;0;1;50000;10;5;6;2603020;1726193461325759539
1;0;1;50000;10;5;6;1964025;1726193461335038742
2;0;1;50000;10;5;6;2121250;1726193461345128698
3;0;1;50000;10;5;6;2029160;1726193461355103592
