Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;600;10;6;6;395229;1726184561543907286
1;0;0;600;10;6;6;319956;1726184561553946225
2;0;0;600;10;6;6;327375;1726184561563904804
3;0;0;600;10;6;6;201239;1726184561573886195
4;0;0;600;10;6;6;160659;1726184561583847628
5;0;0;600;10;6;6;155937;1726184561593897098
6;0;0;600;10;6;6;162267;1726184561603850039
7;0;0;600;10;6;6;162677;1726184561613896033
8;0;0;600;10;6;6;150885;1726184561623901333
9;0;0;600;10;6;6;161641;1726184561633900685
10;0;0;600;10;6;6;149476;1726184561643899940
11;0;0;600;10;6;6;157808;1726184561653899465
12;0;0;600;10;6;6;151415;1726184561663855276
13;0;0;600;10;6;6;166092;1726184561673843119
14;0;0;600;10;6;6;164349;1726184561683849801
15;0;0;600;10;6;6;151656;1726184561693901177
16;0;0;600;10;6;6;159992;1726184561703842751
17;0;0;600;10;6;6;157653;1726184561713897796
18;0;0;600;10;6;6;157151;1726184561723864509
19;0;0;600;10;6;6;156409;1726184561733899012
20;0;0;600;10;6;6;152637;1726184561743797881
21;0;0;600;10;6;6;154199;1726184561753901587
22;0;0;600;10;6;6;154045;1726184561763843206
23;0;0;600;10;6;6;158753;1726184561773895746
24;0;0;600;10;6;6;159905;1726184561783894704
25;0;0;600;10;6;6;157080;1726184561793899369
26;0;0;600;10;6;6;159988;1726184561803897248
27;0;0;600;10;6;6;160112;1726184561813900423
28;0;0;600;10;6;6;159143;1726184561823899671
29;0;0;600;10;6;6;159073;1726184561833899585
30;0;0;600;10;6;6;165001;1726184561843863233
31;0;0;600;10;6;6;176732;1726184561853906077
32;0;0;600;10;6;6;161873;1726184561863854424
33;0;0;600;10;6;6;170921;1726184561873907593
34;0;0;600;10;6;6;161251;1726184561883907206
35;0;0;600;10;6;6;174760;1726184561893907964
36;0;0;600;10;6;6;163909;1726184561903907005
37;0;0;600;10;6;6;153004;1726184561913904700
38;0;0;600;10;6;6;158207;1726184561923907369
39;0;0;600;10;6;6;160410;1726184561933910481
40;0;0;600;10;6;6;177601;1726184561943906280
41;0;0;600;10;6;6;161316;1726184561953907658
42;0;0;600;10;6;6;161008;1726184561963909617
43;0;0;600;10;6;6;174087;1726184561973906220
44;0;0;600;10;6;6;203910;1726184561983836134
45;0;0;600;10;6;6;159935;1726184561993907142
46;0;0;600;10;6;6;162302;1726184562003907222
47;0;0;600;10;6;6;165384;1726184562013909420
48;0;0;600;10;6;6;160521;1726184562023846755
49;0;0;600;10;6;6;162535;1726184562033906861
50;0;0;600;10;6;6;162413;1726184562043907065
51;0;0;600;10;6;6;163022;1726184562053909436
52;0;0;600;10;6;6;160968;1726184562063909739
53;0;0;600;10;6;6;161876;1726184562073906707
54;0;0;600;10;6;6;162294;1726184562083907664
55;0;0;600;10;6;6;175837;1726184562093905882
56;0;0;600;10;6;6;180082;1726184562103867839
57;0;0;600;10;6;6;161154;1726184562113908384
58;0;0;600;10;6;6;161434;1726184562123906642
59;0;0;600;10;6;6;160469;1726184562133904707
60;0;0;600;10;6;6;174023;1726184562143849703
61;0;0;600;10;6;6;161312;1726184562153906699
62;0;0;600;10;6;6;161844;1726184562163906797
63;0;0;600;10;6;6;175123;1726184562173907112
64;0;0;600;10;6;6;160643;1726184562183906463
65;0;0;600;10;6;6;159495;1726184562193906241
66;0;0;600;10;6;6;183188;1726184562203883463
67;0;0;600;10;6;6;173517;1726184562213904691
