Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;10;10;20;9;0;0
1;0;0;10;10;20;9;0;0
2;0;0;10;10;20;9;0;0
3;0;0;10;10;20;9;0;0
4;0;0;10;10;20;9;0;0
5;0;0;10;10;20;9;155908;1726178113933271018
6;0;0;10;10;20;9;201653;1726178113943216259
7;0;0;10;10;20;9;0;0
8;0;0;10;10;20;9;0;0
9;0;0;10;10;20;9;0;0
10;0;0;10;10;20;9;0;0
11;0;0;10;10;20;9;0;0
12;0;0;10;10;20;9;166006;1726178114003267660
13;0;0;10;10;20;9;0;0
14;0;0;10;10;20;9;0;0
15;0;0;10;10;20;9;158790;1726178114033268162
16;0;0;10;10;20;9;165443;1726178114043270278
17;0;0;10;10;20;9;160183;1726178114053272096
18;0;0;10;10;20;9;0;0
19;0;0;10;10;20;9;0;0
20;0;0;10;10;20;9;0;0
21;0;0;10;10;20;9;0;0
22;0;0;10;10;20;9;0;0
23;0;0;10;10;20;9;0;0
24;0;0;10;10;20;9;0;0
25;0;0;10;10;20;9;193278;1726178114133270295
26;0;0;10;10;20;9;205938;1726178114143269663
27;0;0;10;10;20;9;0;0
28;0;0;10;10;20;9;0;0
29;0;0;10;10;20;9;0;0
30;0;0;10;10;20;9;0;0
31;0;0;10;10;20;9;0;0
32;0;0;10;10;20;9;0;0
33;0;0;10;10;20;9;0;0
34;0;0;10;10;20;9;0;0
35;0;0;10;10;20;9;189412;1726178114233274180
36;0;0;10;10;20;9;205492;1726178114243271807
37;0;0;10;10;20;9;0;0
38;0;0;10;10;20;9;0;0
39;0;0;10;10;20;9;0;0
40;0;0;10;10;20;9;0;0
41;0;0;10;10;20;9;0;0
42;0;0;10;10;20;9;0;0
43;0;0;10;10;20;9;0;0
44;0;0;10;10;20;9;0;0
45;0;0;10;10;20;9;203719;1726178114333280377
46;0;0;10;10;20;9;235774;1726178114343276050
47;0;0;10;10;20;9;162453;1726178114353269725
48;0;0;10;10;20;9;0;0
49;0;0;10;10;20;9;0;0
50;0;0;10;10;20;9;0;0
51;0;0;10;10;20;9;0;0
52;0;0;10;10;20;9;0;0
53;0;0;10;10;20;9;0;0
54;0;0;10;10;20;9;0;0
55;0;0;10;10;20;9;187907;1726178114433266191
56;0;0;10;10;20;9;192341;1726178114443269594
57;0;0;10;10;20;9;0;0
58;0;0;10;10;20;9;0;0
59;0;0;10;10;20;9;0;0
60;0;0;10;10;20;9;0;0
61;0;0;10;10;20;9;0;0
62;0;0;10;10;20;9;0;0
63;0;0;10;10;20;9;0;0
64;0;0;10;10;20;9;0;0
65;0;0;10;10;20;9;187213;1726178114533271782
66;0;0;10;10;20;9;193627;1726178114543267864
67;0;0;10;10;20;9;0;0
68;0;0;10;10;20;9;0;0
69;0;0;10;10;20;9;0;0
70;0;0;10;10;20;9;0;0
71;0;0;10;10;20;9;0;0
72;0;0;10;10;20;9;0;0
73;0;0;10;10;20;9;0;0
74;0;0;10;10;20;9;0;0
75;0;0;10;10;20;9;197108;1726178114633277972
76;0;0;10;10;20;9;232826;1726178114643277031
77;0;0;10;10;20;9;0;0
78;0;0;10;10;20;9;0;0
79;0;0;10;10;20;9;0;0
80;0;0;10;10;20;9;0;0
81;0;0;10;10;20;9;0;0
82;0;0;10;10;20;9;0;0
83;0;0;10;10;20;9;0;0
84;0;0;10;10;20;9;0;0
85;0;0;10;10;20;9;189526;1726178114733273833
86;0;0;10;10;20;9;170048;1726178114743268918
87;0;0;10;10;20;9;0;0
88;0;0;10;10;20;9;0;0
89;0;0;10;10;20;9;0;0
90;0;0;10;10;20;9;0;0
91;0;0;10;10;20;9;155170;1726178114793270622
92;0;0;10;10;20;9;160429;1726178114803271190
93;0;0;10;10;20;9;0;0
94;0;0;10;10;20;9;0;0
95;0;0;10;10;20;9;184503;1726178114833266245
96;0;0;10;10;20;9;184630;1726178114843271782
97;0;0;10;10;20;9;0;0
98;0;0;10;10;20;9;164596;1726178114863276261
99;0;0;10;10;20;9;0;0
0;0;0;10;10;20;9;0;0
1;0;0;10;10;20;9;0;0
2;0;0;10;10;20;9;0;0
3;0;0;10;10;20;9;0;0
4;0;1;10;10;20;9;134196;1726178113923254411
5;0;0;10;10;20;9;0;0
6;0;0;10;10;20;9;0;0
7;0;1;10;10;20;9;136663;1726178113953297899
8;0;1;10;10;20;9;144024;1726178113963292450
9;0;0;10;10;20;9;0;0
10;0;1;10;10;20;9;142526;1726178113983290707
11;0;1;10;10;20;9;133965;1726178113993288305
12;0;0;10;10;20;9;0;0
13;0;1;10;10;20;9;146843;1726178114013266346
14;0;1;10;10;20;9;136237;1726178114023309838
15;0;0;10;10;20;9;0;0
16;0;0;10;10;20;9;0;0
17;0;0;10;10;20;9;0;0
18;0;1;10;10;20;9;141650;1726178114063294346
19;0;1;10;10;20;9;129991;1726178114073298701
20;0;1;10;10;20;9;144431;1726178114083250657
21;0;1;10;10;20;9;143014;1726178114093295867
22;0;1;10;10;20;9;141899;1726178114103292525
23;0;1;10;10;20;9;141440;1726178114113299762
24;0;1;10;10;20;9;137107;1726178114123292644
25;0;0;10;10;20;9;0;0
26;0;0;10;10;20;9;0;0
27;0;1;10;10;20;9;139684;1726178114153293947
28;0;1;10;10;20;9;139422;1726178114163293412
29;0;1;10;10;20;9;138877;1726178114173294454
30;0;1;10;10;20;9;134618;1726178114183292487
31;0;1;10;10;20;9;139614;1726178114193294797
32;0;1;10;10;20;9;127326;1726178114203288320
33;0;1;10;10;20;9;141200;1726178114213293721
34;0;1;10;10;20;9;138104;1726178114223293129
35;0;0;10;10;20;9;0;0
36;0;0;10;10;20;9;0;0
37;0;1;10;10;20;9;131977;1726178114253319768
38;0;1;10;10;20;9;141049;1726178114263314293
39;0;1;10;10;20;9;138362;1726178114273316318
40;0;1;10;10;20;9;133096;1726178114283313360
41;0;1;10;10;20;9;135200;1726178114293316296
42;0;1;10;10;20;9;135276;1726178114303317649
43;0;1;10;10;20;9;140805;1726178114313317064
44;0;1;10;10;20;9;133753;1726178114323317770
45;0;0;10;10;20;9;0;0
46;0;0;10;10;20;9;0;0
47;0;0;10;10;20;9;0;0
48;0;1;10;10;20;9;139878;1726178114363289539
49;0;1;10;10;20;9;134634;1726178114373293785
50;0;1;10;10;20;9;142252;1726178114383294096
51;0;1;10;10;20;9;148367;1726178114393294136
52;0;1;10;10;20;9;146420;1726178114403292105
53;0;1;10;10;20;9;135930;1726178114413296458
54;0;1;10;10;20;9;137168;1726178114423292879
55;0;0;10;10;20;9;0;0
56;0;0;10;10;20;9;0;0
57;0;1;10;10;20;9;139823;1726178114453294870
58;0;1;10;10;20;9;140842;1726178114463295480
59;0;0;10;10;20;9;0;0
60;0;1;10;10;20;9;140834;1726178114483293299
61;0;1;10;10;20;9;146887;1726178114493290028
62;0;1;10;10;20;9;138862;1726178114503293708
63;0;1;10;10;20;9;141316;1726178114513295946
64;0;1;10;10;20;9;132217;1726178114523293031
65;0;0;10;10;20;9;0;0
66;0;0;10;10;20;9;0;0
67;0;1;10;10;20;9;133086;1726178114553316443
68;0;1;10;10;20;9;134240;1726178114563313421
69;0;1;10;10;20;9;135553;1726178114573317262
70;0;1;10;10;20;9;139677;1726178114583313739
71;0;1;10;10;20;9;135120;1726178114593315705
72;0;1;10;10;20;9;129464;1726178114603314879
73;0;1;10;10;20;9;133121;1726178114613314692
74;0;1;10;10;20;9;128740;1726178114623318693
75;0;0;10;10;20;9;0;0
76;0;0;10;10;20;9;0;0
77;0;0;10;10;20;9;0;0
78;0;1;10;10;20;9;146425;1726178114663291903
79;0;1;10;10;20;9;138067;1726178114673290333
80;0;1;10;10;20;9;138121;1726178114683290157
81;0;0;10;10;20;9;0;0
82;0;1;10;10;20;9;139422;1726178114703289238
83;0;0;10;10;20;9;0;0
84;0;0;10;10;20;9;0;0
85;0;0;10;10;20;9;0;0
86;0;0;10;10;20;9;0;0
87;0;1;10;10;20;9;139683;1726178114753294178
88;0;1;10;10;20;9;144861;1726178114763293229
89;0;1;10;10;20;9;139416;1726178114773294230
90;0;1;10;10;20;9;141234;1726178114783292420
91;0;0;10;10;20;9;0;0
92;0;0;10;10;20;9;0;0
93;0;1;10;10;20;9;128647;1726178114813294198
94;0;0;10;10;20;9;0;0
95;0;0;10;10;20;9;0;0
96;0;0;10;10;20;9;0;0
97;0;1;10;10;20;9;139096;1726178114853315941
98;0;0;10;10;20;9;0;0
99;0;1;10;10;20;9;127866;1726178114873315167
0;0;0;10;10;20;9;0;0
1;0;0;10;10;20;9;0;0
2;0;0;10;10;20;9;0;0
3;0;0;10;10;20;9;0;0
4;0;0;10;10;20;9;0;0
5;0;0;10;10;20;9;0;0
6;0;0;10;10;20;9;0;0
7;0;0;10;10;20;9;0;0
8;0;0;10;10;20;9;0;0
9;0;0;10;10;20;9;0;0
10;0;0;10;10;20;9;0;0
11;0;0;10;10;20;9;0;0
12;0;0;10;10;20;9;0;0
13;0;0;10;10;20;9;0;0
14;0;0;10;10;20;9;0;0
15;0;0;10;10;20;9;0;0
16;0;0;10;10;20;9;0;0
17;0;0;10;10;20;9;0;0
18;0;0;10;10;20;9;0;0
19;0;0;10;10;20;9;0;0
20;0;0;10;10;20;9;0;0
21;0;0;10;10;20;9;0;0
22;0;0;10;10;20;9;0;0
23;0;0;10;10;20;9;0;0
24;0;0;10;10;20;9;0;0
25;0;0;10;10;20;9;0;0
26;0;0;10;10;20;9;0;0
27;0;0;10;10;20;9;0;0
28;0;0;10;10;20;9;0;0
29;0;0;10;10;20;9;0;0
30;0;0;10;10;20;9;0;0
31;0;0;10;10;20;9;0;0
32;0;0;10;10;20;9;0;0
33;0;0;10;10;20;9;0;0
34;0;0;10;10;20;9;0;0
35;0;0;10;10;20;9;0;0
36;0;0;10;10;20;9;0;0
37;0;0;10;10;20;9;0;0
38;0;0;10;10;20;9;0;0
39;0;0;10;10;20;9;0;0
40;0;0;10;10;20;9;0;0
41;0;0;10;10;20;9;0;0
42;0;0;10;10;20;9;0;0
43;0;0;10;10;20;9;0;0
44;0;0;10;10;20;9;0;0
45;0;0;10;10;20;9;0;0
46;0;0;10;10;20;9;0;0
47;0;0;10;10;20;9;0;0
48;0;0;10;10;20;9;0;0
49;0;0;10;10;20;9;0;0
50;0;0;10;10;20;9;0;0
51;0;0;10;10;20;9;0;0
52;0;0;10;10;20;9;0;0
53;0;0;10;10;20;9;0;0
54;0;0;10;10;20;9;0;0
55;0;0;10;10;20;9;0;0
56;0;0;10;10;20;9;0;0
57;0;0;10;10;20;9;0;0
58;0;0;10;10;20;9;0;0
59;0;0;10;10;20;9;0;0
60;0;0;10;10;20;9;0;0
61;0;0;10;10;20;9;0;0
62;0;0;10;10;20;9;0;0
63;0;0;10;10;20;9;0;0
64;0;0;10;10;20;9;0;0
65;0;0;10;10;20;9;0;0
66;0;0;10;10;20;9;0;0
67;0;0;10;10;20;9;0;0
68;0;0;10;10;20;9;0;0
69;0;0;10;10;20;9;0;0
70;0;0;10;10;20;9;0;0
71;0;0;10;10;20;9;0;0
72;0;0;10;10;20;9;0;0
73;0;0;10;10;20;9;0;0
74;0;0;10;10;20;9;0;0
75;0;0;10;10;20;9;0;0
76;0;0;10;10;20;9;0;0
77;0;2;10;10;20;9;143795;1726178114653303242
78;0;0;10;10;20;9;0;0
