Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;500000;10;9;1;0;0
1;0;0;500000;10;9;1;0;0
2;0;0;500000;10;9;1;9185821;1726088129395743606
3;0;0;500000;10;9;1;0;0
4;0;0;500000;10;9;1;3399240;1726088129415439113
5;0;0;500000;10;9;1;0;0
6;0;0;500000;10;9;1;0;0
7;0;0;500000;10;9;1;5050935;1726088129445254534
8;0;0;500000;10;9;1;1538094;1726088129455281298
9;0;0;500000;10;9;1;1665321;1726088129465323389
10;0;0;500000;10;9;1;1694025;1726088129475320596
11;0;0;500000;10;9;1;1670851;1726088129485321604
12;0;0;500000;10;9;1;1726367;1726088129495322028
13;0;0;500000;10;9;1;0;0
14;0;0;500000;10;9;1;4886171;1726088129515335412
15;0;0;500000;10;9;1;1758239;1726088129525298769
16;0;0;500000;10;9;1;1697379;1726088129535295692
17;0;0;500000;10;9;1;1714727;1726088129545288833
18;0;0;500000;10;9;1;0;0
19;0;0;500000;10;9;1;0;0
20;0;0;500000;10;9;1;0;0
21;0;0;500000;10;9;1;4399611;1726088129585258988
22;0;0;500000;10;9;1;1765915;1726088129595293452
23;0;0;500000;10;9;1;1737857;1726088129605293914
24;0;0;500000;10;9;1;0;0
25;0;0;500000;10;9;1;0;0
26;0;0;500000;10;9;1;0;0
27;0;0;500000;10;9;1;0;0
28;0;0;500000;10;9;1;3497204;1726088129655326174
29;0;0;500000;10;9;1;1643527;1726088129665320234
30;0;0;500000;10;9;1;1678067;1726088129675325446
31;0;0;500000;10;9;1;1719554;1726088129685329526
32;0;0;500000;10;9;1;1610482;1726088129695285007
33;0;0;500000;10;9;1;1689261;1726088129705288951
34;0;0;500000;10;9;1;1741380;1726088129715275224
35;0;0;500000;10;9;1;1689906;1726088129725291455
36;0;0;500000;10;9;1;1737333;1726088129735291446
37;0;0;500000;10;9;1;1686788;1726088129745325588
38;0;0;500000;10;9;1;0;0
39;0;0;500000;10;9;1;0;0
40;0;0;500000;10;9;1;5380441;1726088129775338586
41;0;0;500000;10;9;1;13696575;1726088129785289534
42;0;0;500000;10;9;1;5003802;1726088129795326912
43;0;0;500000;10;9;1;1687589;1726088129805282987
44;0;0;500000;10;9;1;1734550;1726088129815286471
45;0;0;500000;10;9;1;0;0
46;0;0;500000;10;9;1;3056945;1726088129835290452
47;0;0;500000;10;9;1;1635175;1726088129845262827
48;0;0;500000;10;9;1;1721005;1726088129855328264
49;0;0;500000;10;9;1;1754904;1726088129865293031
50;0;0;500000;10;9;1;1629033;1726088129875290884
51;0;0;500000;10;9;1;1724580;1726088129885330200
52;0;0;500000;10;9;1;1587411;1726088129895294338
53;0;0;500000;10;9;1;1676150;1726088129905293529
54;0;0;500000;10;9;1;0;0
55;0;0;500000;10;9;1;0;0
56;0;0;500000;10;9;1;3629632;1726088129935304543
57;0;0;500000;10;9;1;1605014;1726088129945329835
58;0;0;500000;10;9;1;0;0
59;0;0;500000;10;9;1;4986060;1726088129965323764
60;0;0;500000;10;9;1;1656307;1726088129975333277
61;0;0;500000;10;9;1;1655327;1726088129985319575
62;0;0;500000;10;9;1;1682884;1726088129995335284
63;0;0;500000;10;9;1;1631721;1726088130005294068
64;0;0;500000;10;9;1;1656983;1726088130015294265
65;0;0;500000;10;9;1;1619527;1726088130025324590
