Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;200;10;2;1;518094;1726086231364307950
1;0;0;200;10;2;1;236000;1726086231372150214
2;0;0;200;10;2;1;279094;1726086231382183438
3;0;0;200;10;2;1;203124;1726086231392132429
4;0;0;200;10;2;1;107842;1726086231402096853
5;0;0;200;10;2;1;155723;1726086231412099817
6;0;0;200;10;2;1;138054;1726086231422144271
7;0;0;200;10;2;1;111710;1726086231432121403
8;0;0;200;10;2;1;113285;1726086231442124332
9;0;0;200;10;2;1;155293;1726086231452192288
10;0;0;200;10;2;1;150059;1726086231462123993
11;0;0;200;10;2;1;149233;1726086231472193613
12;0;0;200;10;2;1;149694;1726086231482126449
13;0;0;200;10;2;1;165252;1726086231492157212
14;0;0;200;10;2;1;162272;1726086231502130335
15;0;0;200;10;2;1;147401;1726086231512192061
16;0;0;200;10;2;1;147905;1726086231522125230
17;0;0;200;10;2;1;147612;1726086231532193929
18;0;0;200;10;2;1;142182;1726086231542119495
19;0;0;200;10;2;1;147853;1726086231552194543
20;0;0;200;10;2;1;118958;1726086231562123529
21;0;0;200;10;2;1;147213;1726086231572201248
22;0;0;200;10;2;1;149383;1726086231582122545
23;0;0;200;10;2;1;145315;1726086231592191562
24;0;0;200;10;2;1;144955;1726086231602181338
25;0;0;200;10;2;1;144172;1726086231612194279
26;0;0;200;10;2;1;148355;1726086231622198088
27;0;0;200;10;2;1;149622;1726086231632194428
28;0;0;200;10;2;1;144883;1726086231642201224
29;0;0;200;10;2;1;148917;1726086231652196214
30;0;0;200;10;2;1;145779;1726086231662118569
31;0;0;200;10;2;1;146538;1726086231672198067
32;0;0;200;10;2;1;147665;1726086231682125771
33;0;0;200;10;2;1;140524;1726086231692202450
34;0;0;200;10;2;1;148941;1726086231702125513
35;0;0;200;10;2;1;147738;1726086231712197603
36;0;0;200;10;2;1;147406;1726086231722200628
37;0;0;200;10;2;1;144424;1726086231732197162
38;0;0;200;10;2;1;160981;1726086231742206305
39;0;0;200;10;2;1;158536;1726086231752203801
40;0;0;200;10;2;1;164192;1726086231762130025
41;0;0;200;10;2;1;163285;1726086231772203921
42;0;0;200;10;2;1;164222;1726086231782130509
43;0;0;200;10;2;1;166506;1726086231792203825
44;0;0;200;10;2;1;164765;1726086231802207581
45;0;0;200;10;2;1;163587;1726086231812204215
46;0;0;200;10;2;1;164815;1726086231822205071
47;0;0;200;10;2;1;163438;1726086231832205415
48;0;0;200;10;2;1;152482;1726086231842204359
49;0;0;200;10;2;1;168094;1726086231852203784
50;0;0;200;10;2;1;164195;1726086231862132626
51;0;0;200;10;2;1;158744;1726086231872203310
52;0;0;200;10;2;1;164503;1726086231882129388
53;0;0;200;10;2;1;164153;1726086231892202839
54;0;0;200;10;2;1;163064;1726086231902174702
55;0;0;200;10;2;1;163329;1726086231912205196
56;0;0;200;10;2;1;166354;1726086231922205469
57;0;0;200;10;2;1;168661;1726086231932205105
58;0;0;200;10;2;1;144943;1726086231942198025
59;0;0;200;10;2;1;147108;1726086231952196594
60;0;0;200;10;2;1;149851;1726086231962124611
61;0;0;200;10;2;1;143094;1726086231972198602
62;0;0;200;10;2;1;148343;1726086231982124048
63;0;0;200;10;2;1;145874;1726086231992194264
64;0;0;200;10;2;1;148743;1726086232002199116
65;0;0;200;10;2;1;92053;1726086232012158559
66;0;0;200;10;2;1;143332;1726086232022124663
67;0;0;200;10;2;1;149344;1726086232032196609
68;0;0;200;10;2;1;141786;1726086232042119681
69;0;0;200;10;2;1;146505;1726086232052195748
70;0;0;200;10;2;1;147139;1726086232062125090
71;0;0;200;10;2;1;145249;1726086232072199220
72;0;0;200;10;2;1;146182;1726086232082121372
73;0;0;200;10;2;1;149213;1726086232092194447
74;0;0;200;10;2;1;150271;1726086232102199955
75;0;0;200;10;2;1;145647;1726086232112195493
76;0;0;200;10;2;1;151521;1726086232122195981
77;0;0;200;10;2;1;147815;1726086232132196350
78;0;0;200;10;2;1;145484;1726086232142197397
79;0;0;200;10;2;1;141113;1726086232152201273
80;0;0;200;10;2;1;145559;1726086232162125405
81;0;0;200;10;2;1;146813;1726086232172198782
82;0;0;200;10;2;1;147606;1726086232182128209
83;0;0;200;10;2;1;147392;1726086232192198101
84;0;0;200;10;2;1;144764;1726086232202201227
85;0;0;200;10;2;1;150552;1726086232212197984
86;0;0;200;10;2;1;147064;1726086232222198315
87;0;0;200;10;2;1;147999;1726086232232204307
88;0;0;200;10;2;1;163805;1726086232242206594
89;0;0;200;10;2;1;167606;1726086232252207234
90;0;0;200;10;2;1;162924;1726086232262132578
91;0;0;200;10;2;1;161370;1726086232272206248
92;0;0;200;10;2;1;165590;1726086232282132188
93;0;0;200;10;2;1;162498;1726086232292204048
94;0;0;200;10;2;1;164923;1726086232302207742
95;0;0;200;10;2;1;163507;1726086232312204853
96;0;0;200;10;2;1;164447;1726086232322208625
97;0;0;200;10;2;1;163878;1726086232332206477
98;0;0;200;10;2;1;152031;1726086232342207156
99;0;0;200;10;2;1;178534;1726086232352207790
0;0;1;200;10;2;1;422636;1726086231364508885
1;0;1;200;10;2;1;244347;1726086231372230826
2;0;1;200;10;2;1;292973;1726086231382255350
3;0;1;200;10;2;1;241888;1726086231392190377
