Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;100;10;6;20;782305;1726179195654446481
1;0;0;100;10;6;20;723666;1726179195664456576
2;0;0;100;10;6;20;722754;1726179195674468031
3;0;0;100;10;6;20;222483;1726179195684441395
4;0;0;100;10;6;20;172361;1726179195694413649
5;0;0;100;10;6;20;184102;1726179195704411411
6;0;0;100;10;6;20;158981;1726179195714375832
7;0;0;100;10;6;20;165973;1726179195724415204
8;0;0;100;10;6;20;178596;1726179195734412713
9;0;0;100;10;6;20;176769;1726179195744413337
10;0;0;100;10;6;20;178427;1726179195754410011
11;0;0;100;10;6;20;179026;1726179195764414492
12;0;0;100;10;6;20;187044;1726179195774414705
13;0;0;100;10;6;20;226935;1726179195784375756
14;0;0;100;10;6;20;172719;1726179195794416027
15;0;0;100;10;6;20;174082;1726179195804414351
16;0;0;100;10;6;20;202358;1726179195814414044
17;0;0;100;10;6;20;170404;1726179195824408936
18;0;0;100;10;6;20;178099;1726179195834416142
19;0;0;100;10;6;20;175465;1726179195844413754
20;0;0;100;10;6;20;335356;1726179195854364644
21;0;0;100;10;6;20;185666;1726179195864413634
22;0;0;100;10;6;20;171005;1726179195874414322
23;0;0;100;10;6;20;173828;1726179195884413549
24;0;0;100;10;6;20;181944;1726179195894409864
25;0;0;100;10;6;20;173205;1726179195904414065
26;0;0;100;10;6;20;252513;1726179195914421322
27;0;0;100;10;6;20;171402;1726179195924416374
28;0;0;100;10;6;20;171580;1726179195934420280
29;0;0;100;10;6;20;174407;1726179195944414976
30;0;0;100;10;6;20;171765;1726179195954419107
31;0;0;100;10;6;20;168014;1726179195964416680
32;0;0;100;10;6;20;173827;1726179195974421461
33;0;0;100;10;6;20;188289;1726179195984408438
34;0;0;100;10;6;20;173869;1726179195994416117
35;0;0;100;10;6;20;171713;1726179196004416311
36;0;0;100;10;6;20;209072;1726179196014413223
37;0;0;100;10;6;20;163996;1726179196024414351
38;0;0;100;10;6;20;400488;1726179196034414939
39;0;0;100;10;6;20;174627;1726179196044423631
40;0;0;100;10;6;20;181956;1726179196054424570
41;0;0;100;10;6;20;174442;1726179196064422191
42;0;0;100;10;6;20;175558;1726179196074422875
43;0;0;100;10;6;20;194533;1726179196084421572
44;0;0;100;10;6;20;172594;1726179196094422077
45;0;0;100;10;6;20;194602;1726179196104421276
46;0;0;100;10;6;20;234364;1726179196114422082
47;0;0;100;10;6;20;173336;1726179196124435943
48;0;0;100;10;6;20;196915;1726179196134422621
49;0;0;100;10;6;20;165766;1726179196144410947
50;0;0;100;10;6;20;174808;1726179196154421262
51;0;0;100;10;6;20;165917;1726179196164414931
52;0;0;100;10;6;20;162827;1726179196174421633
53;0;0;100;10;6;20;174358;1726179196184414857
54;0;0;100;10;6;20;165935;1726179196194414828
55;0;0;100;10;6;20;173355;1726179196204417056
56;0;0;100;10;6;20;172401;1726179196214413020
57;0;0;100;10;6;20;228763;1726179196224412649
58;0;0;100;10;6;20;172983;1726179196234427134
59;0;0;100;10;6;20;177209;1726179196244421827
60;0;0;100;10;6;20;180284;1726179196254423860
61;0;0;100;10;6;20;176191;1726179196264422876
62;0;0;100;10;6;20;184055;1726179196274420923
63;0;0;100;10;6;20;173190;1726179196284424593
64;0;0;100;10;6;20;176439;1726179196294423034
65;0;0;100;10;6;20;170631;1726179196304423092
66;0;0;100;10;6;20;181873;1726179196314421740
67;0;0;100;10;6;20;177762;1726179196324420465
68;0;0;100;10;6;20;175233;1726179196334423010
69;0;0;100;10;6;20;174547;1726179196344423973
70;0;0;100;10;6;20;172332;1726179196354420806
71;0;0;100;10;6;20;175535;1726179196364423130
72;0;0;100;10;6;20;173857;1726179196374422729
73;0;0;100;10;6;20;175275;1726179196384421647
74;0;0;100;10;6;20;170932;1726179196394419690
75;0;0;100;10;6;20;180905;1726179196404421547
76;0;0;100;10;6;20;212494;1726179196414422547
77;0;0;100;10;6;20;176351;1726179196424423739
78;0;0;100;10;6;20;175678;1726179196434421702
79;0;0;100;10;6;20;153531;1726179196444416005
80;0;0;100;10;6;20;168516;1726179196454414426
81;0;0;100;10;6;20;164927;1726179196464412563
82;0;0;100;10;6;20;166341;1726179196474415709
83;0;0;100;10;6;20;168784;1726179196484414510
84;0;0;100;10;6;20;167257;1726179196494417952
85;0;0;100;10;6;20;170549;1726179196504412325
86;0;0;100;10;6;20;168153;1726179196514409869
87;0;0;100;10;6;20;168710;1726179196524416124
88;0;0;100;10;6;20;173056;1726179196534415220
89;0;0;100;10;6;20;208596;1726179196544421954
90;0;0;100;10;6;20;172858;1726179196554423838
91;0;0;100;10;6;20;176542;1726179196564424658
92;0;0;100;10;6;20;177939;1726179196574422650
93;0;0;100;10;6;20;172129;1726179196584422518
94;0;0;100;10;6;20;168277;1726179196594422582
95;0;0;100;10;6;20;322524;1726179196604419360
96;0;0;100;10;6;20;206745;1726179196614420789
97;0;0;100;10;6;20;175317;1726179196624422842
98;0;0;100;10;6;20;177556;1726179196634421466
99;0;0;100;10;6;20;189296;1726179196644413986
0;0;1;100;10;6;20;973692;1726179195654617713
1;0;1;100;10;6;20;1009579;1726179195664536386
2;0;1;100;10;6;20;1005646;1726179195674545854
3;0;1;100;10;6;20;555766;1726179195684489529
4;0;1;100;10;6;20;513267;1726179195694439545
5;0;1;100;10;6;20;536576;1726179195704436210
6;0;1;100;10;6;20;506401;1726179195714401750
