Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;100000;10;80;1;1277770;1726088003748832010
1;0;0;100000;10;80;1;0;0
2;0;0;100000;10;80;1;0;0
3;0;0;100000;10;80;1;0;0
4;0;0;100000;10;80;1;457076;1726088003788563692
5;0;0;100000;10;80;1;420528;1726088003798568161
6;0;0;100000;10;80;1;446792;1726088003808606051
7;0;0;100000;10;80;1;742065;1726088003818541540
8;0;0;100000;10;80;1;428985;1726088003828506577
9;0;0;100000;10;80;1;494951;1726088003838530413
10;0;0;100000;10;80;1;0;0
11;0;0;100000;10;80;1;337084;1726088003858561003
12;0;0;100000;10;80;1;373527;1726088003868569907
13;0;0;100000;10;80;1;391669;1726088003878556349
14;0;0;100000;10;80;1;565205;1726088003888538890
15;0;0;100000;10;80;1;516397;1726088003898523823
16;0;0;100000;10;80;1;0;0
17;0;0;100000;10;80;1;423821;1726088003918564690
18;0;0;100000;10;80;1;0;0
19;0;0;100000;10;80;1;0;0
20;0;0;100000;10;80;1;827000;1726088003948543270
21;0;0;100000;10;80;1;413335;1726088003958593145
22;0;0;100000;10;80;1;453437;1726088003968511050
23;0;0;100000;10;80;1;0;0
24;0;0;100000;10;80;1;401533;1726088003988576000
25;0;0;100000;10;80;1;490132;1726088003998572536
26;0;0;100000;10;80;1;426556;1726088004008605559
27;0;0;100000;10;80;1;0;0
28;0;0;100000;10;80;1;409836;1726088004028575673
29;0;0;100000;10;80;1;0;0
30;0;0;100000;10;80;1;397143;1726088004048568529
31;0;0;100000;10;80;1;427513;1726088004058549799
32;0;0;100000;10;80;1;423119;1726088004068565772
33;0;0;100000;10;80;1;833044;1726088004078567996
34;0;0;100000;10;80;1;413115;1726088004088543594
35;0;0;100000;10;80;1;352463;1726088004098542072
36;0;0;100000;10;80;1;387685;1726088004108564220
37;0;0;100000;10;80;1;0;0
38;0;0;100000;10;80;1;449823;1726088004128568823
39;0;0;100000;10;80;1;531500;1726088004138563678
40;0;0;100000;10;80;1;393361;1726088004148569428
41;0;0;100000;10;80;1;418776;1726088004158551721
42;0;0;100000;10;80;1;359485;1726088004168569439
43;0;0;100000;10;80;1;458095;1726088004178580919
44;0;0;100000;10;80;1;426553;1726088004188589482
45;0;0;100000;10;80;1;476768;1726088004198603879
46;0;0;100000;10;80;1;391858;1726088004208540586
47;0;0;100000;10;80;1;484802;1726088004218564551
48;0;0;100000;10;80;1;473916;1726088004228546081
49;0;0;100000;10;80;1;408251;1726088004238593214
50;0;0;100000;10;80;1;455151;1726088004248566973
51;0;0;100000;10;80;1;0;0
52;0;0;100000;10;80;1;438554;1726088004268551836
53;0;0;100000;10;80;1;410491;1726088004278522524
