Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;10;10;6;7;400504;1726177330024681552
1;0;0;10;10;6;7;551098;1726177330034693620
2;0;0;10;10;6;7;315244;1726177330044694703
3;0;0;10;10;6;7;180541;1726177330054620064
4;0;0;10;10;6;7;159849;1726177330064644907
5;0;0;10;10;6;7;155246;1726177330074645450
6;0;0;10;10;6;7;152538;1726177330084550513
7;0;0;10;10;6;7;157794;1726177330094646051
8;0;0;10;10;6;7;156733;1726177330104648724
9;0;0;10;10;6;7;155634;1726177330114647311
10;0;0;10;10;6;7;154920;1726177330124645434
11;0;0;10;10;6;7;151717;1726177330134648184
12;0;0;10;10;6;7;149998;1726177330144645878
13;0;0;10;10;6;7;197958;1726177330154587117
14;0;0;10;10;6;7;156805;1726177330164651806
15;0;0;10;10;6;7;156785;1726177330174646732
16;0;0;10;10;6;7;164728;1726177330184649963
17;0;0;10;10;6;7;155962;1726177330194647092
18;0;0;10;10;6;7;152375;1726177330204646787
19;0;0;10;10;6;7;152152;1726177330214645142
20;0;0;10;10;6;7;146673;1726177330224574972
21;0;0;10;10;6;7;158126;1726177330234649126
22;0;0;10;10;6;7;152232;1726177330244647982
23;0;0;10;10;6;7;152025;1726177330254647230
24;0;0;10;10;6;7;152787;1726177330264650871
25;0;0;10;10;6;7;153560;1726177330274647263
26;0;0;10;10;6;7;157176;1726177330284647787
27;0;0;10;10;6;7;150947;1726177330294647076
28;0;0;10;10;6;7;151993;1726177330304647168
29;0;0;10;10;6;7;151413;1726177330314647528
30;0;0;10;10;6;7;143343;1726177330324647796
31;0;0;10;10;6;7;151598;1726177330334647476
32;0;0;10;10;6;7;161332;1726177330344655129
33;0;0;10;10;6;7;159351;1726177330354655550
34;0;0;10;10;6;7;172289;1726177330364655756
35;0;0;10;10;6;7;159887;1726177330374655275
36;0;0;10;10;6;7;165150;1726177330384655729
37;0;0;10;10;6;7;155753;1726177330394653174
38;0;0;10;10;6;7;159903;1726177330404654687
39;0;0;10;10;6;7;159409;1726177330414655233
40;0;0;10;10;6;7;159111;1726177330424655784
41;0;0;10;10;6;7;173558;1726177330434654094
42;0;0;10;10;6;7;170082;1726177330444656084
43;0;0;10;10;6;7;155497;1726177330454654274
44;0;0;10;10;6;7;170335;1726177330464656567
45;0;0;10;10;6;7;159675;1726177330474659934
46;0;0;10;10;6;7;222379;1726177330484656021
47;0;0;10;10;6;7;160062;1726177330494653248
48;0;0;10;10;6;7;159952;1726177330504630992
49;0;0;10;10;6;7;178461;1726177330514655232
50;0;0;10;10;6;7;155353;1726177330524655612
51;0;0;10;10;6;7;161339;1726177330534655339
