Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;100000;10;6;7;0;0
1;0;0;100000;10;6;7;13076377;1726195433010299311
2;0;0;100000;10;6;7;11216659;1726195433020244184
3;0;0;100000;10;6;7;0;0
4;0;0;100000;10;6;7;0;0
5;0;0;100000;10;6;7;11232087;1726195433050189167
6;0;0;100000;10;6;7;6969288;1726195433060244210
7;0;0;100000;10;6;7;0;0
8;0;0;100000;10;6;7;0;0
9;0;0;100000;10;6;7;8759823;1726195433090218108
10;0;0;100000;10;6;7;0;0
11;0;0;100000;10;6;7;0;0
12;0;0;100000;10;6;7;13014623;1726195433120207572
13;0;0;100000;10;6;7;6303733;1726195433130246495
14;0;0;100000;10;6;7;580666;1726195433140235347
15;0;0;100000;10;6;7;1336776;1726195433150223430
16;0;0;100000;10;6;7;522495;1726195433160252315
17;0;0;100000;10;6;7;540158;1726195433170257749
18;0;0;100000;10;6;7;0;0
19;0;0;100000;10;6;7;11643392;1726195433190251825
20;0;0;100000;10;6;7;5359218;1726195433200249025
21;0;0;100000;10;6;7;0;0
22;0;0;100000;10;6;7;10819226;1726195433220253704
23;0;0;100000;10;6;7;8374946;1726195433230249526
24;0;0;100000;10;6;7;537683;1726195433240218822
25;0;0;100000;10;6;7;545455;1726195433250247026
26;0;0;100000;10;6;7;538797;1726195433260214354
27;0;0;100000;10;6;7;0;0
28;0;0;100000;10;6;7;12479193;1726195433280253727
29;0;0;100000;10;6;7;0;0
30;0;0;100000;10;6;7;0;0
31;0;0;100000;10;6;7;0;0
32;0;0;100000;10;6;7;0;0
33;0;0;100000;10;6;7;0;0
34;0;0;100000;10;6;7;0;0
35;0;0;100000;10;6;7;0;0
36;0;0;100000;10;6;7;22929941;1726195433360210739
37;0;0;100000;10;6;7;14770010;1726195433370214676
38;0;0;100000;10;6;7;6551933;1726195433380254951
39;0;0;100000;10;6;7;0;0
40;0;0;100000;10;6;7;0;0
41;0;0;100000;10;6;7;3066320;1726195433410266880
42;0;0;100000;10;6;7;531577;1726195433420258422
43;0;0;100000;10;6;7;0;0
44;0;0;100000;10;6;7;0;0
45;0;0;100000;10;6;7;0;0
46;0;0;100000;10;6;7;21480181;1726195433460256726
47;0;0;100000;10;6;7;13137696;1726195433470252332
48;0;0;100000;10;6;7;6600035;1726195433480251340
49;0;0;100000;10;6;7;1566466;1726195433490212989
50;0;0;100000;10;6;7;486308;1726195433500251983
51;0;0;100000;10;6;7;4412602;1726195433510252899
52;0;0;100000;10;6;7;530349;1726195433520252269
53;0;0;100000;10;6;7;529293;1726195433530258246
54;0;0;100000;10;6;7;494092;1726195433540251258
55;0;0;100000;10;6;7;0;0
56;0;0;100000;10;6;7;0;0
57;0;0;100000;10;6;7;0;0
58;0;0;100000;10;6;7;0;0
59;0;0;100000;10;6;7;2959385;1726195433590250611
60;0;0;100000;10;6;7;510871;1726195433600257759
61;0;0;100000;10;6;7;477977;1726195433610262090
62;0;0;100000;10;6;7;578738;1726195433620254069
63;0;0;100000;10;6;7;0;0
64;0;0;100000;10;6;7;0;0
