Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;800;10;0;3;3000000000;245911;1726118558444989268
1;800;10;0;3;3000000000;187519;1726118558454975013
2;800;10;0;3;3000000000;185939;1726118558464971154
3;800;10;0;3;3000000000;187310;1726118558474961026
4;800;10;0;3;3000000000;150077;1726118558484946230
5;800;10;0;3;3000000000;144614;1726118558494933645
6;800;10;0;3;3000000000;141601;1726118558504939961
7;800;10;0;3;3000000000;138527;1726118558514939198
8;800;10;0;3;3000000000;168083;1726118558524953922
9;800;10;0;3;3000000000;197462;1726118558534995011
10;800;10;0;3;3000000000;197465;1726118558544992717
11;800;10;0;3;3000000000;199517;1726118558554982270
12;800;10;0;3;3000000000;212559;1726118558565001519
13;800;10;0;3;3000000000;222754;1726118558574991924
14;800;10;0;3;3000000000;217230;1726118558584935389
15;800;10;0;3;3000000000;213438;1726118558595010081
16;800;10;0;3;3000000000;216351;1726118558605000137
17;800;10;0;3;3000000000;217680;1726118558615014726
18;800;10;0;3;3000000000;217171;1726118558625002370
19;800;10;0;3;3000000000;212505;1726118558635014561
20;800;10;0;3;3000000000;213398;1726118558644998094
21;800;10;0;3;3000000000;218310;1726118558655020218
22;800;10;0;3;3000000000;212945;1726118558665003728
23;800;10;0;3;3000000000;212602;1726118558675032328
24;800;10;0;3;3000000000;217137;1726118558685015491
25;800;10;0;3;3000000000;216495;1726118558695020734
26;800;10;0;3;3000000000;214834;1726118558705017275
27;800;10;0;3;3000000000;215896;1726118558715020384
28;800;10;0;3;3000000000;215057;1726118558725010084
29;800;10;0;3;3000000000;215587;1726118558735025139
30;800;10;0;3;3000000000;214177;1726118558745017486
31;800;10;0;3;3000000000;215869;1726118558755024199
32;800;10;0;3;3000000000;212348;1726118558765016848
33;800;10;0;3;3000000000;216323;1726118558775013628
34;800;10;0;3;3000000000;215031;1726118558785015381
35;800;10;0;3;3000000000;215403;1726118558795019579
36;800;10;0;3;3000000000;244367;1726118558805026697
37;800;10;0;3;3000000000;236296;1726118558815042253
38;800;10;0;3;3000000000;212249;1726118558825008545
39;800;10;0;3;3000000000;202984;1726118558834999100
40;800;10;0;3;3000000000;209922;1726118558845013198
41;800;10;0;3;3000000000;201228;1726118558854997369
42;800;10;0;3;3000000000;202112;1726118558864997588
43;800;10;0;3;3000000000;236922;1726118558875034219
44;800;10;0;3;3000000000;240077;1726118558885024975
45;800;10;0;3;3000000000;243807;1726118558895009696
46;800;10;0;3;3000000000;246970;1726118558905016075
47;800;10;0;3;3000000000;241071;1726118558915025302
48;800;10;0;3;3000000000;239528;1726118558925018459
49;800;10;0;3;3000000000;245413;1726118558935031409
