Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;1000000;10;0;6;1000000000;3827833;1726140334484785034
1;1000000;10;0;6;1000000000;5350036;1726140334494735743
2;1000000;10;0;6;1000000000;5163331;1726140334504654282
3;1000000;10;0;6;1000000000;5093621;1726140334535690411
4;1000000;10;0;6;1000000000;5471270;1726140334544652283
5;1000000;10;0;6;1000000000;4279010;1726140334554630744
6;1000000;10;0;6;1000000000;4223394;1726140334564642154
7;1000000;10;0;6;1000000000;4360758;1726140334574641289
8;1000000;10;0;6;1000000000;4296636;1726140334584649360
9;1000000;10;0;6;1000000000;4138454;1726140334594683459
10;1000000;10;0;6;1000000000;3993819;1726140334604632311
11;1000000;10;0;6;1000000000;3674727;1726140334614757603
12;1000000;10;0;6;1000000000;3783346;1726140334624763638
13;1000000;10;0;6;1000000000;3591668;1726140334634641245
14;1000000;10;0;6;1000000000;3797227;1726140334644771359
15;1000000;10;0;6;1000000000;4397270;1726140334654684308
16;1000000;10;0;6;1000000000;4101066;1726140334664643597
17;1000000;10;0;6;1000000000;4408567;1726140334674729815
18;1000000;10;0;6;1000000000;4156842;1726140334684658608
19;1000000;10;0;6;1000000000;3924313;1726140334694658480
20;1000000;10;0;6;1000000000;3974812;1726140334704669954
21;1000000;10;0;6;1000000000;3929814;1726140334714699899
22;1000000;10;0;6;1000000000;4051648;1726140334724738730
23;1000000;10;0;6;1000000000;4216768;1726140334734655614
24;1000000;10;0;6;1000000000;4176975;1726140334744642500
25;1000000;10;0;6;1000000000;3638576;1726140334754632973
26;1000000;10;0;6;1000000000;3694118;1726140334764671022
27;1000000;10;0;6;1000000000;3702829;1726140334774678837
28;1000000;10;0;6;1000000000;4346526;1726140334784685564
29;1000000;10;0;6;1000000000;5373249;1726140334794830569
30;1000000;10;0;6;1000000000;5185142;1726140334804807539
31;1000000;10;0;6;1000000000;5264446;1726140334814777101
32;1000000;10;0;6;1000000000;5285805;1726140334824792319
33;1000000;10;0;6;1000000000;3798127;1726140334834724921
34;1000000;10;0;6;1000000000;4109339;1726140334844737648
35;1000000;10;0;6;1000000000;4126667;1726140334854643037
36;1000000;10;0;6;1000000000;4285198;1726140334864759372
37;1000000;10;0;6;1000000000;4211026;1726140334874793370
38;1000000;10;0;6;1000000000;4006767;1726140334884681550
39;1000000;10;0;6;1000000000;4407442;1726140334894702464
40;1000000;10;0;6;1000000000;3798580;1726140334904756895
41;1000000;10;0;6;1000000000;3583315;1726140334914746871
42;1000000;10;0;6;1000000000;3596191;1726140334924650948
43;1000000;10;0;6;1000000000;4549609;1726140334934664488
44;1000000;10;0;6;1000000000;4840136;1726140334944753240
45;1000000;10;0;6;1000000000;5310258;1726140334954699844
46;1000000;10;0;6;1000000000;6810662;1726140334964772087
47;1000000;10;0;6;1000000000;6611704;1726140334974711757
48;1000000;10;0;6;1000000000;7098538;1726140334984712895
49;1000000;10;0;6;1000000000;6198599;1726140334994690612
