Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;100;10;0;6;15000000000;22235873;1726112577811665145
1;100;10;0;6;15000000000;240480;1726112577833782134
2;100;10;0;6;15000000000;79223;1726112577841639994
3;100;10;0;6;15000000000;127310;1726112577860075199
4;100;10;0;6;15000000000;111648;1726112577861626403
5;100;10;0;6;15000000000;230584;1726112577871681349
6;100;10;0;6;15000000000;164918;1726112577881707527
7;100;10;0;6;15000000000;78660;1726112577891645284
8;100;10;0;6;15000000000;77620;1726112577901640332
9;100;10;0;6;15000000000;78840;1726112577911645151
10;100;10;0;6;15000000000;77571;1726112577921643155
11;100;10;0;6;15000000000;78930;1726112577931643813
12;100;10;0;6;15000000000;77836;1726112577941641798
13;100;10;0;6;15000000000;78865;1726112577951642523
14;100;10;0;6;15000000000;77405;1726112577961645384
15;100;10;0;6;15000000000;78320;1726112577971644409
16;100;10;0;6;15000000000;75481;1726112577981651770
17;100;10;0;6;15000000000;76808;1726112577991652267
18;100;10;0;6;15000000000;75723;1726112578001652876
19;100;10;0;6;15000000000;76659;1726112578011652989
20;100;10;0;6;15000000000;75874;1726112578021653387
21;100;10;0;6;15000000000;84415;1726112578031645089
22;100;10;0;6;15000000000;75679;1726112578041651664
23;100;10;0;6;15000000000;76891;1726112578051652917
24;100;10;0;6;15000000000;77788;1726112578061608454
25;100;10;0;6;15000000000;86484;1726112578071648320
26;100;10;0;6;15000000000;80285;1726112578081601830
27;100;10;0;6;15000000000;78554;1726112578091646524
28;100;10;0;6;15000000000;80104;1726112578101646771
29;100;10;0;6;15000000000;78737;1726112578111650908
30;100;10;0;6;15000000000;79717;1726112578121647846
31;100;10;0;6;15000000000;79086;1726112578131650751
32;100;10;0;6;15000000000;80177;1726112578141606132
33;100;10;0;6;15000000000;79317;1726112578151647842
34;100;10;0;6;15000000000;80041;1726112578161647711
35;100;10;0;6;15000000000;78570;1726112578171647514
36;100;10;0;6;15000000000;79614;1726112578181652444
37;100;10;0;6;15000000000;78605;1726112578191649398
38;100;10;0;6;15000000000;79934;1726112578201648953
39;100;10;0;6;15000000000;78558;1726112578211646880
40;100;10;0;6;15000000000;79957;1726112578221650236
41;100;10;0;6;15000000000;78648;1726112578231654206
42;100;10;0;6;15000000000;79856;1726112578241652865
43;100;10;0;6;15000000000;78692;1726112578251650065
44;100;10;0;6;15000000000;80430;1726112578261646929
45;100;10;0;6;15000000000;78472;1726112578271651132
46;100;10;0;6;15000000000;78290;1726112578281665518
47;100;10;0;6;15000000000;76869;1726112578291660459
48;100;10;0;6;15000000000;78066;1726112578301659574
49;100;10;0;6;15000000000;76643;1726112578311660005
