Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;1000;10;0;2;10000000000;24027633;1725425768064782901
1;1000;10;0;2;10000000000;310854;1725425768088658212
2;1000;10;0;2;10000000000;261939;1725425768093526142
3;1000;10;0;2;10000000000;198162;1725425768103546512
4;1000;10;0;2;10000000000;105076;1725425768113461472
5;1000;10;0;2;10000000000;82483;1725425768123470226
6;1000;10;0;2;10000000000;120800;1725425768133477101
7;1000;10;0;2;10000000000;89334;1725425768143424243
8;1000;10;0;2;10000000000;83116;1725425768153449819
9;1000;10;0;2;10000000000;119329;1725425768163446835
10;1000;10;0;2;10000000000;85551;1725425768173395057
11;1000;10;0;2;10000000000;84112;1725425768183445164
12;1000;10;0;2;10000000000;112417;1725425768193469735
13;1000;10;0;2;10000000000;86587;1725425768203452048
14;1000;10;0;2;10000000000;82966;1725425768213450960
15;1000;10;0;2;10000000000;124871;1725425768223448090
16;1000;10;0;2;10000000000;84553;1725425768233463812
17;1000;10;0;2;10000000000;82132;1725425768243443702
18;1000;10;0;2;10000000000;119261;1725425768253399981
19;1000;10;0;2;10000000000;83224;1725425768263423386
20;1000;10;0;2;10000000000;80960;1725425768273491758
21;1000;10;0;2;10000000000;130989;1725425768283456234
22;1000;10;0;2;10000000000;88315;1725425768293419826
23;1000;10;0;2;10000000000;82478;1725425768303480958
24;1000;10;0;2;10000000000;155151;1725425768313962942
25;1000;10;0;2;10000000000;89512;1725425768323396902
26;1000;10;0;2;10000000000;80898;1725425768333448238
27;1000;10;0;2;10000000000;151788;1725425768343513116
28;1000;10;0;2;10000000000;86913;1725425768353359471
29;1000;10;0;2;10000000000;83409;1725425768363419992
30;1000;10;0;2;10000000000;92383;1725425768373457139
31;1000;10;0;2;10000000000;90550;1725425768383427882
32;1000;10;0;2;10000000000;81515;1725425768393452640
33;1000;10;0;2;10000000000;85316;1725425768403421769
34;1000;10;0;2;10000000000;98739;1725425768413464462
35;1000;10;0;2;10000000000;85579;1725425768423422936
36;1000;10;0;2;10000000000;80976;1725425768433446885
37;1000;10;0;2;10000000000;115022;1725425768443472590
38;1000;10;0;2;10000000000;80972;1725425768453452518
39;1000;10;0;2;10000000000;82979;1725425768463494547
40;1000;10;0;2;10000000000;110353;1725425768473475413
41;1000;10;0;2;10000000000;84056;1725425768483454934
42;1000;10;0;2;10000000000;80861;1725425768493497166
43;1000;10;0;2;10000000000;113202;1725425768503473134
44;1000;10;0;2;10000000000;81543;1725425768513424063
45;1000;10;0;2;10000000000;83309;1725425768523451503
46;1000;10;0;2;10000000000;112059;1725425768533471707
47;1000;10;0;2;10000000000;84061;1725425768543452350
48;1000;10;0;2;10000000000;80664;1725425768553453096
49;1000;10;0;2;10000000000;114129;1725425768563469837
