Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;1000000;10;0;3;15000000000;61866140;1725433476105740623
1;1000000;10;0;3;15000000000;6117477;1725433476164521079
2;1000000;10;0;3;15000000000;5603341;1725433476167738908
3;1000000;10;0;3;15000000000;2868473;1725433476175733294
4;1000000;10;0;3;15000000000;2865963;1725433476231806725
5;1000000;10;0;3;15000000000;2860429;1725433476235735570
6;1000000;10;0;3;15000000000;3112769;1725433476245691144
7;1000000;10;0;3;15000000000;3051722;1725433476255677724
8;1000000;10;0;3;15000000000;3193124;1725433476265720812
9;1000000;10;0;3;15000000000;3365230;1725433476275671221
10;1000000;10;0;3;15000000000;3017769;1725433476285710811
11;1000000;10;0;3;15000000000;3100242;1725433476295618741
12;1000000;10;0;3;15000000000;3312190;1725433476305676632
13;1000000;10;0;3;15000000000;2904331;1725433476315645605
14;1000000;10;0;3;15000000000;3121567;1725433476325671004
15;1000000;10;0;3;15000000000;3029200;1725433476335632328
16;1000000;10;0;3;15000000000;3003004;1725433476345638515
17;1000000;10;0;3;15000000000;3232645;1725433476355877373
18;1000000;10;0;3;15000000000;3061048;1725433476365700623
19;1000000;10;0;3;15000000000;3035770;1725433476375731976
20;1000000;10;0;3;15000000000;3114415;1725433476385701761
21;1000000;10;0;3;15000000000;3117549;1725433476395726787
22;1000000;10;0;3;15000000000;3076808;1725433476405703129
23;1000000;10;0;3;15000000000;3033718;1725433476415745443
24;1000000;10;0;3;15000000000;3073007;1725433476425706632
25;1000000;10;0;3;15000000000;3045846;1725433476435705042
26;1000000;10;0;3;15000000000;2948556;1725433476445740921
27;1000000;10;0;3;15000000000;3046683;1725433476455709564
28;1000000;10;0;3;15000000000;2980806;1725433476465674715
29;1000000;10;0;3;15000000000;3043536;1725433476475728017
30;1000000;10;0;3;15000000000;3031326;1725433476485712192
31;1000000;10;0;3;15000000000;3010989;1725433476495702257
32;1000000;10;0;3;15000000000;2905029;1725433476505701678
33;1000000;10;0;3;15000000000;3217734;1725433476515720731
34;1000000;10;0;3;15000000000;3090028;1725433476525625027
35;1000000;10;0;3;15000000000;3012758;1725433476535675591
36;1000000;10;0;3;15000000000;3029433;1725433476545714787
37;1000000;10;0;3;15000000000;3154552;1725433476555697394
38;1000000;10;0;3;15000000000;2900440;1725433476565704773
39;1000000;10;0;3;15000000000;3020887;1725433476575698628
40;1000000;10;0;3;15000000000;2965103;1725433476585750167
41;1000000;10;0;3;15000000000;2896980;1725433476595743198
42;1000000;10;0;3;15000000000;3049847;1725433476605701336
43;1000000;10;0;3;15000000000;3003944;1725433476615676862
44;1000000;10;0;3;15000000000;2892575;1725433476625705862
45;1000000;10;0;3;15000000000;2997976;1725433476635716741
46;1000000;10;0;3;15000000000;2985374;1725433476645675469
47;1000000;10;0;3;15000000000;2910466;1725433476655707970
48;1000000;10;0;3;15000000000;3045733;1725433476665703915
49;1000000;10;0;3;15000000000;2976676;1725433476675708374
