Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;5000;10;0;6;4000000000;298570;1725427882755750291
1;5000;10;0;6;4000000000;405790;1725427882765776719
2;5000;10;0;6;4000000000;489612;1725427882775895090
3;5000;10;0;6;4000000000;473904;1725427882785792609
4;5000;10;0;6;4000000000;407891;1725427882795825213
5;5000;10;0;6;4000000000;261200;1725427882805703646
6;5000;10;0;6;4000000000;354012;1725427882815782913
7;5000;10;0;6;4000000000;165237;1725427882825664349
8;5000;10;0;6;4000000000;154262;1725427882835649860
9;5000;10;0;6;4000000000;432538;1725427882845830213
10;5000;10;0;6;4000000000;346819;1725427882855756039
11;5000;10;0;6;4000000000;423030;1725427882865756115
12;5000;10;0;6;4000000000;415280;1725427882875829010
13;5000;10;0;6;4000000000;317764;1725427882885732014
14;5000;10;0;6;4000000000;413310;1725427882895830671
15;5000;10;0;6;4000000000;483505;1725427882905840364
16;5000;10;0;6;4000000000;294316;1725427882915719019
17;5000;10;0;6;4000000000;226925;1725427882925689185
18;5000;10;0;6;4000000000;440405;1725427882935837538
19;5000;10;0;6;4000000000;286857;1725427882945736500
20;5000;10;0;6;4000000000;231080;1725427882955692801
21;5000;10;0;6;4000000000;401384;1725427882965821485
22;5000;10;0;6;4000000000;323968;1725427882975729640
23;5000;10;0;6;4000000000;471518;1725427882985849415
24;5000;10;0;6;4000000000;444026;1725427882995876152
25;5000;10;0;6;4000000000;354493;1725427883005787615
26;5000;10;0;6;4000000000;183345;1725427883015663294
27;5000;10;0;6;4000000000;521845;1725427883025922887
28;5000;10;0;6;4000000000;206762;1725427883035679387
29;5000;10;0;6;4000000000;141807;1725427883045656718
30;5000;10;0;6;4000000000;316065;1725427883055762216
31;5000;10;0;6;4000000000;267847;1725427883065679594
32;5000;10;0;6;4000000000;156535;1725427883075653708
33;5000;10;0;6;4000000000;245394;1725427883085716098
34;5000;10;0;6;4000000000;371041;1725427883095753935
35;5000;10;0;6;4000000000;203921;1725427883105680350
36;5000;10;0;6;4000000000;253576;1725427883115913837
37;5000;10;0;6;4000000000;442959;1725427883125821540
38;5000;10;0;6;4000000000;186466;1725427883135606889
39;5000;10;0;6;4000000000;172522;1725427883145682281
40;5000;10;0;6;4000000000;444553;1725427883155844110
41;5000;10;0;6;4000000000;161043;1725427883165669568
42;5000;10;0;6;4000000000;155620;1725427883175645125
43;5000;10;0;6;4000000000;450084;1725427883185783827
44;5000;10;0;6;4000000000;187153;1725427883195670140
45;5000;10;0;6;4000000000;129512;1725427883205646353
46;5000;10;0;6;4000000000;389433;1725427883215754633
47;5000;10;0;6;4000000000;166999;1725427883225665377
48;5000;10;0;6;4000000000;134768;1725427883235652229
49;5000;10;0;6;4000000000;393871;1725427883245732996
