Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;50000;10;0;2;4000000000;363436;1725429560851815239
1;50000;10;0;2;4000000000;335016;1725429560861805916
2;50000;10;0;2;4000000000;386084;1725429560871797338
3;50000;10;0;2;4000000000;298483;1725429560881771959
4;50000;10;0;2;4000000000;250358;1725429560891721573
5;50000;10;0;2;4000000000;267091;1725429560901733377
6;50000;10;0;2;4000000000;225707;1725429560911723813
7;50000;10;0;2;4000000000;203097;1725429560921715357
8;50000;10;0;2;4000000000;289882;1725429560931738598
9;50000;10;0;2;4000000000;208523;1725429560941636771
10;50000;10;0;2;4000000000;213993;1725429560951688007
11;50000;10;0;2;4000000000;243803;1725429560961760489
12;50000;10;0;2;4000000000;221357;1725429560971639749
13;50000;10;0;2;4000000000;211220;1725429560981665353
14;50000;10;0;2;4000000000;329195;1725429560991751780
15;50000;10;0;2;4000000000;256788;1725429561001643852
16;50000;10;0;2;4000000000;222230;1725429561011708318
17;50000;10;0;2;4000000000;215211;1725429561021619162
18;50000;10;0;2;4000000000;229293;1725429561031687993
19;50000;10;0;2;4000000000;208128;1725429561041612762
20;50000;10;0;2;4000000000;218792;1725429561051676750
21;50000;10;0;2;4000000000;246458;1725429561061707009
22;50000;10;0;2;4000000000;211479;1725429561071714754
23;50000;10;0;2;4000000000;204691;1725429561081718585
24;50000;10;0;2;4000000000;260698;1725429561091715951
25;50000;10;0;2;4000000000;210904;1725429561101686855
26;50000;10;0;2;4000000000;208252;1725429561111716898
27;50000;10;0;2;4000000000;241558;1725429561121709122
28;50000;10;0;2;4000000000;226229;1725429561131692096
29;50000;10;0;2;4000000000;202246;1725429561141716515
30;50000;10;0;2;4000000000;334481;1725429561151763522
31;50000;10;0;2;4000000000;271216;1725429561161719710
32;50000;10;0;2;4000000000;310201;1725429561171749246
33;50000;10;0;2;4000000000;312843;1725429561181776397
34;50000;10;0;2;4000000000;324505;1725429561191723150
35;50000;10;0;2;4000000000;261654;1725429561201713084
36;50000;10;0;2;4000000000;333715;1725429561211706922
37;50000;10;0;2;4000000000;269060;1725429561221638452
38;50000;10;0;2;4000000000;291440;1725429561231747745
39;50000;10;0;2;4000000000;372841;1725429561241757314
40;50000;10;0;2;4000000000;285835;1725429561251721174
41;50000;10;0;2;4000000000;272696;1725429561261720104
42;50000;10;0;2;4000000000;369307;1725429561271838073
43;50000;10;0;2;4000000000;285803;1725429561281732165
44;50000;10;0;2;4000000000;318578;1725429561291742646
45;50000;10;0;2;4000000000;292725;1725429561301761692
46;50000;10;0;2;4000000000;339387;1725429561311792804
47;50000;10;0;2;4000000000;328522;1725429561321791050
48;50000;10;0;2;4000000000;539022;1725429561331983228
49;50000;10;0;2;4000000000;358993;1725429561341744961
