Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;250000;10;0;1;4000000000;855898;1726128531870570575
1;250000;10;0;1;4000000000;868056;1726128531880558861
2;250000;10;0;1;4000000000;900339;1726128531890571036
3;250000;10;0;1;4000000000;842727;1726128531900542854
4;250000;10;0;1;4000000000;722575;1726128531910492847
5;250000;10;0;1;4000000000;717985;1726128531920494821
6;250000;10;0;1;4000000000;710260;1726128531930495230
7;250000;10;0;1;4000000000;711847;1726128531940498829
8;250000;10;0;1;4000000000;711085;1726128531950501374
9;250000;10;0;1;4000000000;710058;1726128531960499693
10;250000;10;0;1;4000000000;707593;1726128531970494748
11;250000;10;0;1;4000000000;711131;1726128531980498003
12;250000;10;0;1;4000000000;707835;1726128531990495018
13;250000;10;0;1;4000000000;714269;1726128532000478715
14;250000;10;0;1;4000000000;700103;1726128532010496860
15;250000;10;0;1;4000000000;696460;1726128532020492624
16;250000;10;0;1;4000000000;691515;1726128532030492995
17;250000;10;0;1;4000000000;694899;1726128532040492416
18;250000;10;0;1;4000000000;691779;1726128532050494442
19;250000;10;0;1;4000000000;690009;1726128532060495352
20;250000;10;0;1;4000000000;683362;1726128532070657519
21;250000;10;0;1;4000000000;691479;1726128532080493920
22;250000;10;0;1;4000000000;688956;1726128532090495319
23;250000;10;0;1;4000000000;690142;1726128532100496366
24;250000;10;0;1;4000000000;689756;1726128532110496342
25;250000;10;0;1;4000000000;689248;1726128532120497811
26;250000;10;0;1;4000000000;685069;1726128532130497371
27;250000;10;0;1;4000000000;692122;1726128532140495091
28;250000;10;0;1;4000000000;689906;1726128532150499446
29;250000;10;0;1;4000000000;688700;1726128532160500051
30;250000;10;0;1;4000000000;688570;1726128532170493334
31;250000;10;0;1;4000000000;687493;1726128532180499123
32;250000;10;0;1;4000000000;687856;1726128532190500518
33;250000;10;0;1;4000000000;688992;1726128532200499814
34;250000;10;0;1;4000000000;686160;1726128532210502102
35;250000;10;0;1;4000000000;688325;1726128532220501286
36;250000;10;0;1;4000000000;684086;1726128532230497093
37;250000;10;0;1;4000000000;687380;1726128532240504110
38;250000;10;0;1;4000000000;685218;1726128532250500311
39;250000;10;0;1;4000000000;688042;1726128532260500906
40;250000;10;0;1;4000000000;683984;1726128532270503931
41;250000;10;0;1;4000000000;686444;1726128532280497800
42;250000;10;0;1;4000000000;683662;1726128532290498534
43;250000;10;0;1;4000000000;681248;1726128532300502545
44;250000;10;0;1;4000000000;684877;1726128532310498740
45;250000;10;0;1;4000000000;685655;1726128532320503597
46;250000;10;0;1;4000000000;684674;1726128532330500782
47;250000;10;0;1;4000000000;686142;1726128532340500629
48;250000;10;0;1;4000000000;684494;1726128532350499554
49;250000;10;0;1;4000000000;683869;1726128532360501225
