Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;250000;10;0;1;8000000000;21326550;1726128612307769734
1;250000;10;0;1;8000000000;1695750;1726128612328135798
2;250000;10;0;1;8000000000;668430;1726128612337828049
3;250000;10;0;1;8000000000;839510;1726128612347913445
4;250000;10;0;1;8000000000;821908;1726128612357889076
5;250000;10;0;1;8000000000;704463;1726128612367818098
6;250000;10;0;1;8000000000;657990;1726128612377829713
7;250000;10;0;1;8000000000;687746;1726128612387750998
8;250000;10;0;1;8000000000;676686;1726128612397817508
9;250000;10;0;1;8000000000;681766;1726128612407832720
10;250000;10;0;1;8000000000;675664;1726128612417822042
11;250000;10;0;1;8000000000;674834;1726128612427821679
12;250000;10;0;1;8000000000;673530;1726128612437825775
13;250000;10;0;1;8000000000;677989;1726128612447826152
14;250000;10;0;1;8000000000;668225;1726128612479045185
15;250000;10;0;1;8000000000;671959;1726128612487820797
16;250000;10;0;1;8000000000;663097;1726128612497831635
17;250000;10;0;1;8000000000;661207;1726128612507836029
18;250000;10;0;1;8000000000;690600;1726128612517807292
19;250000;10;0;1;8000000000;659204;1726128612527834563
20;250000;10;0;1;8000000000;663121;1726128612537851176
21;250000;10;0;1;8000000000;675437;1726128612547778820
22;250000;10;0;1;8000000000;657778;1726128612557835815
23;250000;10;0;1;8000000000;656210;1726128612567834415
24;250000;10;0;1;8000000000;661658;1726128612577832363
25;250000;10;0;1;8000000000;679740;1726128612587795251
26;250000;10;0;1;8000000000;674036;1726128612597836277
27;250000;10;0;1;8000000000;706175;1726128612607756091
28;250000;10;0;1;8000000000;666824;1726128612617833454
29;250000;10;0;1;8000000000;675049;1726128612627830764
30;250000;10;0;1;8000000000;657419;1726128612637835916
31;250000;10;0;1;8000000000;682398;1726128612647825517
32;250000;10;0;1;8000000000;684847;1726128612657796174
33;250000;10;0;1;8000000000;677315;1726128612667838896
34;250000;10;0;1;8000000000;665747;1726128612677829220
35;250000;10;0;1;8000000000;674893;1726128612687827630
36;250000;10;0;1;8000000000;678018;1726128612697827471
37;250000;10;0;1;8000000000;674486;1726128612707828352
38;250000;10;0;1;8000000000;673118;1726128612717829073
39;250000;10;0;1;8000000000;674719;1726128612727829389
40;250000;10;0;1;8000000000;678216;1726128612737827448
41;250000;10;0;1;8000000000;678336;1726128612747840939
42;250000;10;0;1;8000000000;673792;1726128612757827199
43;250000;10;0;1;8000000000;677415;1726128612767830218
44;250000;10;0;1;8000000000;673168;1726128612777832059
45;250000;10;0;1;8000000000;673539;1726128612787830057
46;250000;10;0;1;8000000000;657036;1726128612797838417
47;250000;10;0;1;8000000000;660774;1726128612807840465
48;250000;10;0;1;8000000000;658027;1726128612817839560
49;250000;10;0;1;8000000000;675968;1726128612827813457
