Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;10;10;0;5;4000000000;353098;1725418830470213664
1;10;10;0;5;4000000000;513271;1725418830480196923
2;10;10;0;5;4000000000;463359;1725418830490199338
3;10;10;0;5;4000000000;403269;1725418830500128599
4;10;10;0;5;4000000000;321252;1725418830510114140
5;10;10;0;5;4000000000;526929;1725418830520213207
6;10;10;0;5;4000000000;470896;1725418830530159905
7;10;10;0;5;4000000000;438378;1725418830540211041
8;10;10;0;5;4000000000;459169;1725418830550185432
9;10;10;0;5;4000000000;464348;1725418830560225585
10;10;10;0;5;4000000000;447380;1725418830570217551
11;10;10;0;5;4000000000;557499;1725418830580256598
12;10;10;0;5;4000000000;470146;1725418830590267262
13;10;10;0;5;4000000000;147992;1725418830600030572
14;10;10;0;5;4000000000;96209;1725418830610008695
15;10;10;0;5;4000000000;345630;1725418830620107915
16;10;10;0;5;4000000000;148623;1725418830630073134
17;10;10;0;5;4000000000;116965;1725418830640023008
18;10;10;0;5;4000000000;328164;1725418830650184400
19;10;10;0;5;4000000000;132855;1725418830660023865
20;10;10;0;5;4000000000;99273;1725418830670016960
21;10;10;0;5;4000000000;327883;1725418830680159571
22;10;10;0;5;4000000000;113191;1725418830690020906
23;10;10;0;5;4000000000;212556;1725418830700069199
24;10;10;0;5;4000000000;364226;1725418830710173652
25;10;10;0;5;4000000000;124361;1725418830720019388
26;10;10;0;5;4000000000;104558;1725418830730014284
27;10;10;0;5;4000000000;364132;1725418830740209553
28;10;10;0;5;4000000000;149001;1725418830750075538
29;10;10;0;5;4000000000;126174;1725418830760025959
30;10;10;0;5;4000000000;428943;1725418830770196048
31;10;10;0;5;4000000000;179232;1725418830780056589
32;10;10;0;5;4000000000;112512;1725418830790017822
33;10;10;0;5;4000000000;250026;1725418830800095821
34;10;10;0;5;4000000000;272966;1725418830810111307
35;10;10;0;5;4000000000;114585;1725418830820017550
36;10;10;0;5;4000000000;185850;1725418830830066908
37;10;10;0;5;4000000000;309323;1725418830840135369
38;10;10;0;5;4000000000;122434;1725418830850022972
39;10;10;0;5;4000000000;138686;1725418830860031159
40;10;10;0;5;4000000000;363228;1725418830870168984
41;10;10;0;5;4000000000;129903;1725418830880031162
42;10;10;0;5;4000000000;425087;1725418830890203217
43;10;10;0;5;4000000000;295167;1725418830900116736
44;10;10;0;5;4000000000;133934;1725418830910030067
45;10;10;0;5;4000000000;95083;1725418830920014864
46;10;10;0;5;4000000000;310130;1725418830930134701
47;10;10;0;5;4000000000;114984;1725418830940020980
48;10;10;0;5;4000000000;96247;1725418830950016676
49;10;10;0;5;4000000000;310347;1725418830960131323
