Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;1000;10;0;1;3000000000;192993;1726119726367953315
1;1000;10;0;1;3000000000;202763;1726119726378010931
2;1000;10;0;1;3000000000;211953;1726119726387986353
3;1000;10;0;1;3000000000;182005;1726119726397985730
4;1000;10;0;1;3000000000;127112;1726119726407951917
5;1000;10;0;1;3000000000;130620;1726119726417942661
6;1000;10;0;1;3000000000;124450;1726119726427935130
7;1000;10;0;1;3000000000;123870;1726119726437945835
8;1000;10;0;1;3000000000;124229;1726119726447947298
9;1000;10;0;1;3000000000;126755;1726119726457945445
10;1000;10;0;1;3000000000;121688;1726119726467942554
11;1000;10;0;1;3000000000;129636;1726119726477947868
12;1000;10;0;1;3000000000;122174;1726119726487940626
13;1000;10;0;1;3000000000;148281;1726119726497960608
14;1000;10;0;1;3000000000;150977;1726119726507930246
15;1000;10;0;1;3000000000;127447;1726119726517940675
16;1000;10;0;1;3000000000;131175;1726119726527913631
17;1000;10;0;1;3000000000;126472;1726119726537943793
18;1000;10;0;1;3000000000;130253;1726119726547907702
19;1000;10;0;1;3000000000;124275;1726119726557946546
20;1000;10;0;1;3000000000;125532;1726119726567911306
21;1000;10;0;1;3000000000;129623;1726119726577949870
22;1000;10;0;1;3000000000;123307;1726119726587916293
23;1000;10;0;1;3000000000;123617;1726119726597945651
24;1000;10;0;1;3000000000;128078;1726119726607951238
25;1000;10;0;1;3000000000;122338;1726119726617944147
26;1000;10;0;1;3000000000;121868;1726119726627909959
27;1000;10;0;1;3000000000;127711;1726119726637947818
28;1000;10;0;1;3000000000;125656;1726119726647898813
29;1000;10;0;1;3000000000;128833;1726119726657939915
30;1000;10;0;1;3000000000;126473;1726119726667947761
31;1000;10;0;1;3000000000;122824;1726119726677948807
32;1000;10;0;1;3000000000;125915;1726119726687927078
33;1000;10;0;1;3000000000;130021;1726119726697946120
34;1000;10;0;1;3000000000;124763;1726119726707950114
35;1000;10;0;1;3000000000;123153;1726119726717943884
36;1000;10;0;1;3000000000;128649;1726119726727952671
37;1000;10;0;1;3000000000;125778;1726119726737945609
38;1000;10;0;1;3000000000;124745;1726119726747949550
39;1000;10;0;1;3000000000;125668;1726119726757950070
40;1000;10;0;1;3000000000;125057;1726119726767949896
41;1000;10;0;1;3000000000;120300;1726119726777946138
42;1000;10;0;1;3000000000;129336;1726119726787950601
43;1000;10;0;1;3000000000;123094;1726119726797947779
44;1000;10;0;1;3000000000;124036;1726119726807950519
45;1000;10;0;1;3000000000;126238;1726119726817952551
46;1000;10;0;1;3000000000;122588;1726119726827953565
47;1000;10;0;1;3000000000;124047;1726119726837950894
48;1000;10;0;1;3000000000;122159;1726119726847949230
49;1000;10;0;1;3000000000;127488;1726119726857952825
