Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;50000;10;0;5;8000000000;33370445;1725430226778198145
1;50000;10;0;5;8000000000;512364;1725430226811321079
2;50000;10;0;5;8000000000;196894;1725430226818234434
3;50000;10;0;5;8000000000;199861;1725430226828230476
4;50000;10;0;5;8000000000;196720;1725430226838231310
5;50000;10;0;5;8000000000;198225;1725430226848229211
6;50000;10;0;5;8000000000;250983;1725430226912413856
7;50000;10;0;5;8000000000;198081;1725430226918234506
8;50000;10;0;5;8000000000;278934;1725430226928168990
9;50000;10;0;5;8000000000;220978;1725430226938169474
10;50000;10;0;5;8000000000;267764;1725430226948217216
11;50000;10;0;5;8000000000;210929;1725430226958139129
12;50000;10;0;5;8000000000;202668;1725430226968184965
13;50000;10;0;5;8000000000;233870;1725430226978143637
14;50000;10;0;5;8000000000;199686;1725430226988135025
15;50000;10;0;5;8000000000;200343;1725430226998165156
16;50000;10;0;5;8000000000;244420;1725430227008146785
17;50000;10;0;5;8000000000;200642;1725430227018192197
18;50000;10;0;5;8000000000;195241;1725430227028156761
19;50000;10;0;5;8000000000;238971;1725430227038188929
20;50000;10;0;5;8000000000;205904;1725430227048166342
21;50000;10;0;5;8000000000;202164;1725430227058161719
22;50000;10;0;5;8000000000;252832;1725430227068168696
23;50000;10;0;5;8000000000;234475;1725430227078121758
24;50000;10;0;5;8000000000;198415;1725430227088161158
25;50000;10;0;5;8000000000;330727;1725430227098439520
26;50000;10;0;5;8000000000;200026;1725430227108157258
27;50000;10;0;5;8000000000;196919;1725430227118192928
28;50000;10;0;5;8000000000;268224;1725430227128229573
29;50000;10;0;5;8000000000;203941;1725430227138163091
30;50000;10;0;5;8000000000;197404;1725430227148187215
31;50000;10;0;5;8000000000;254821;1725430227158193837
32;50000;10;0;5;8000000000;200436;1725430227168186516
33;50000;10;0;5;8000000000;198119;1725430227178234408
34;50000;10;0;5;8000000000;223675;1725430227188203385
35;50000;10;0;5;8000000000;204042;1725430227198171261
36;50000;10;0;5;8000000000;200768;1725430227208236973
37;50000;10;0;5;8000000000;201367;1725430227218191977
38;50000;10;0;5;8000000000;220097;1725430227228175476
39;50000;10;0;5;8000000000;197354;1725430227238199861
40;50000;10;0;5;8000000000;197957;1725430227248231592
41;50000;10;0;5;8000000000;237617;1725430227258114208
42;50000;10;0;5;8000000000;200921;1725430227268137326
43;50000;10;0;5;8000000000;198504;1725430227278237175
44;50000;10;0;5;8000000000;233564;1725430227288191631
45;50000;10;0;5;8000000000;199370;1725430227298204795
46;50000;10;0;5;8000000000;200160;1725430227308237747
47;50000;10;0;5;8000000000;231477;1725430227318257892
48;50000;10;0;5;8000000000;201500;1725430227328237872
49;50000;10;0;5;8000000000;198254;1725430227338237189
