Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;200;10;0;6;2000000000;187800;1725421469778892004
1;200;10;0;6;2000000000;203970;1725421469787142775
2;200;10;0;6;2000000000;249964;1725421469797695420
3;200;10;0;6;2000000000;189176;1725421469807127745
4;200;10;0;6;2000000000;190658;1725421469817133790
5;200;10;0;6;2000000000;305373;1725421469827732832
6;200;10;0;6;2000000000;241083;1725421469837168892
7;200;10;0;6;2000000000;196370;1725421469847134052
8;200;10;0;6;2000000000;211360;1725421469858459743
9;200;10;0;6;2000000000;185702;1725421469867134833
10;200;10;0;6;2000000000;206041;1725421469877979749
11;200;10;0;6;2000000000;201882;1725421469887905284
12;200;10;0;6;2000000000;191194;1725421469897135297
13;200;10;0;6;2000000000;182055;1725421469907122451
14;200;10;0;6;2000000000;271582;1725421469920052476
15;200;10;0;6;2000000000;179057;1725421469927129200
16;200;10;0;6;2000000000;188900;1725421469937132500
17;200;10;0;6;2000000000;185686;1725421469947131924
18;200;10;0;6;2000000000;188739;1725421469957137256
19;200;10;0;6;2000000000;195305;1725421469967137855
20;200;10;0;6;2000000000;190879;1725421469977127049
21;200;10;0;6;2000000000;193436;1725421469987140456
22;200;10;0;6;2000000000;192903;1725421469997137779
23;200;10;0;6;2000000000;181545;1725421470007129726
24;200;10;0;6;2000000000;191099;1725421470017145267
25;200;10;0;6;2000000000;143178;1725421470027098256
26;200;10;0;6;2000000000;171314;1725421470037120248
27;200;10;0;6;2000000000;189160;1725421470047140783
28;200;10;0;6;2000000000;167922;1725421470057143851
29;200;10;0;6;2000000000;139061;1725421470067132786
30;200;10;0;6;2000000000;186011;1725421470077136667
31;200;10;0;6;2000000000;160731;1725421470087124447
32;200;10;0;6;2000000000;134734;1725421470097088989
33;200;10;0;6;2000000000;175946;1725421470107072187
34;200;10;0;6;2000000000;153397;1725421470117102596
35;200;10;0;6;2000000000;183160;1725421470127112672
36;200;10;0;6;2000000000;231899;1725421470137206907
37;200;10;0;6;2000000000;198754;1725421470147136559
38;200;10;0;6;2000000000;204172;1725421470157129561
39;200;10;0;6;2000000000;237831;1725421470167139603
40;200;10;0;6;2000000000;192455;1725421470177121676
41;200;10;0;6;2000000000;162588;1725421470187105185
42;200;10;0;6;2000000000;229448;1725421470197110968
43;200;10;0;6;2000000000;153389;1725421470207053987
44;200;10;0;6;2000000000;130303;1725421470217091951
45;200;10;0;6;2000000000;297851;1725421470227207173
46;200;10;0;6;2000000000;179264;1725421470237074975
47;200;10;0;6;2000000000;192919;1725421470247124557
48;200;10;0;6;2000000000;199433;1725421470257148834
49;200;10;0;6;2000000000;203399;1725421470267082909
