Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;100;10;0;1;13000000000;185586;1725419337218996903
1;100;10;0;1;13000000000;195439;1725419337228943755
2;100;10;0;1;13000000000;284279;1725419337239055431
3;100;10;0;1;13000000000;160945;1725419337248956419
4;100;10;0;1;13000000000;83386;1725419337258968934
5;100;10;0;1;13000000000;142513;1725419337268966315
6;100;10;0;1;13000000000;91808;1725419337278858653
7;100;10;0;1;13000000000;82763;1725419337288897282
8;100;10;0;1;13000000000;95213;1725419337298932632
9;100;10;0;1;13000000000;92973;1725419337308898057
10;100;10;0;1;13000000000;83601;1725419337318866664
11;100;10;0;1;13000000000;81035;1725419337328924355
12;100;10;0;1;13000000000;101202;1725419337338943363
13;100;10;0;1;13000000000;97577;1725419337348900451
14;100;10;0;1;13000000000;85023;1725419337358965570
15;100;10;0;1;13000000000;128030;1725419337368927876
16;100;10;0;1;13000000000;80848;1725419337378973010
17;100;10;0;1;13000000000;79633;1725419337388966600
18;100;10;0;1;13000000000;120110;1725419337398922509
19;100;10;0;1;13000000000;80144;1725419337408967436
20;100;10;0;1;13000000000;80658;1725419337418892434
21;100;10;0;1;13000000000;116285;1725419337428922839
22;100;10;0;1;13000000000;80813;1725419337438925776
23;100;10;0;1;13000000000;78989;1725419337448965375
24;100;10;0;1;13000000000;114795;1725419337458950671
25;100;10;0;1;13000000000;79415;1725419337468931821
26;100;10;0;1;13000000000;80736;1725419337478964678
27;100;10;0;1;13000000000;116277;1725419337488951973
28;100;10;0;1;13000000000;80409;1725419337498928531
29;100;10;0;1;13000000000;79491;1725419337508965327
30;100;10;0;1;13000000000;117124;1725419337518947650
31;100;10;0;1;13000000000;88330;1725419337528850820
32;100;10;0;1;13000000000;80371;1725419337538967404
33;100;10;0;1;13000000000;117017;1725419337548877762
34;100;10;0;1;13000000000;81336;1725419337558898862
35;100;10;0;1;13000000000;81552;1725419337568900545
36;100;10;0;1;13000000000;114632;1725419337578997251
37;100;10;0;1;13000000000;78564;1725419337588866877
38;100;10;0;1;13000000000;80282;1725419337598925571
39;100;10;0;1;13000000000;86872;1725419337608929618
40;100;10;0;1;13000000000;90730;1725419337618904438
41;100;10;0;1;13000000000;79041;1725419337628957483
42;100;10;0;1;13000000000;82372;1725419337638928844
43;100;10;0;1;13000000000;104144;1725419337648911866
44;100;10;0;1;13000000000;80519;1725419337658921638
45;100;10;0;1;13000000000;78518;1725419337668967589
46;100;10;0;1;13000000000;113821;1725419337678950450
47;100;10;0;1;13000000000;78119;1725419337688897861
48;100;10;0;1;13000000000;78350;1725419337698970181
49;100;10;0;1;13000000000;117724;1725419337708881117
