Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;600;10;0;2;5000000000;261569;1725423137653065847
1;600;10;0;2;5000000000;236251;1725423137662982039
2;600;10;0;2;5000000000;250657;1725423137674559032
3;600;10;0;2;5000000000;248395;1725423137682997671
4;600;10;0;2;5000000000;193075;1725423137693026093
5;600;10;0;2;5000000000;189330;1725423137703096114
6;600;10;0;2;5000000000;168724;1725423137712938589
7;600;10;0;2;5000000000;163772;1725423137722974070
8;600;10;0;2;5000000000;252394;1725423137733117036
9;600;10;0;2;5000000000;170881;1725423137742960000
10;600;10;0;2;5000000000;167511;1725423137753007291
11;600;10;0;2;5000000000;226364;1725423137763027153
12;600;10;0;2;5000000000;188679;1725423137773022768
13;600;10;0;2;5000000000;156157;1725423137783032084
14;600;10;0;2;5000000000;347000;1725423137793141812
15;600;10;0;2;5000000000;193291;1725423137803056364
16;600;10;0;2;5000000000;164851;1725423137813037827
17;600;10;0;2;5000000000;159942;1725423137823032387
18;600;10;0;2;5000000000;189141;1725423137833024312
19;600;10;0;2;5000000000;169697;1725423137843038268
20;600;10;0;2;5000000000;162348;1725423137853032034
21;600;10;0;2;5000000000;187745;1725423137863057378
22;600;10;0;2;5000000000;157240;1725423137873002675
23;600;10;0;2;5000000000;163331;1725423137883034552
24;600;10;0;2;5000000000;165186;1725423137893045385
25;600;10;0;2;5000000000;91175;1725423137902963264
26;600;10;0;2;5000000000;88889;1725423137912985495
27;600;10;0;2;5000000000;147998;1725423137922953301
28;600;10;0;2;5000000000;95267;1725423137932887409
29;600;10;0;2;5000000000;88610;1725423137942957383
30;600;10;0;2;5000000000;146701;1725423137952952489
31;600;10;0;2;5000000000;91365;1725423137962891731
32;600;10;0;2;5000000000;88724;1725423137972955622
33;600;10;0;2;5000000000;142597;1725423137982953946
34;600;10;0;2;5000000000;89833;1725423137992981431
35;600;10;0;2;5000000000;86244;1725423138002983853
36;600;10;0;2;5000000000;155178;1725423138012935471
37;600;10;0;2;5000000000;106365;1725423138022937064
38;600;10;0;2;5000000000;89769;1725423138032957203
39;600;10;0;2;5000000000;170523;1725423138043035400
40;600;10;0;2;5000000000;96611;1725423138052960756
41;600;10;0;2;5000000000;89615;1725423138062981631
42;600;10;0;2;5000000000;100142;1725423138072994329
43;600;10;0;2;5000000000;124956;1725423138082981656
44;600;10;0;2;5000000000;91215;1725423138092987654
45;600;10;0;2;5000000000;96196;1725423138102993337
46;600;10;0;2;5000000000;138939;1725423138112948785
47;600;10;0;2;5000000000;88942;1725423138122993683
48;600;10;0;2;5000000000;87718;1725423138132987004
49;600;10;0;2;5000000000;145871;1725423138142957683
