Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;400;10;0;6;5000000000;347303;1725422757490601965
1;400;10;0;6;5000000000;159588;1725422757497412724
2;400;10;0;6;5000000000;520221;1725422757507669067
3;400;10;0;6;5000000000;411982;1725422757517645084
4;400;10;0;6;5000000000;238573;1725422757527466984
5;400;10;0;6;5000000000;395362;1725422757540118253
6;400;10;0;6;5000000000;186400;1725422757547435757
7;400;10;0;6;5000000000;378322;1725422757557561319
8;400;10;0;6;5000000000;308658;1725422757567973961
9;400;10;0;6;5000000000;393823;1725422757577577272
10;400;10;0;6;5000000000;397180;1725422757587538602
11;400;10;0;6;5000000000;453473;1725422757600126768
12;400;10;0;6;5000000000;336376;1725422757607526007
13;400;10;0;6;5000000000;149087;1725422757617411113
14;400;10;0;6;5000000000;261551;1725422757627485572
15;400;10;0;6;5000000000;390904;1725422757637565688
16;400;10;0;6;5000000000;410575;1725422757647571613
17;400;10;0;6;5000000000;405635;1725422757657583056
18;400;10;0;6;5000000000;366536;1725422757667567945
19;400;10;0;6;5000000000;248863;1725422757677463656
20;400;10;0;6;5000000000;476086;1725422757687592594
21;400;10;0;6;5000000000;363525;1725422757697526163
22;400;10;0;6;5000000000;234443;1725422757707454042
23;400;10;0;6;5000000000;328907;1725422757717495108
24;400;10;0;6;5000000000;403143;1725422757727608286
25;400;10;0;6;5000000000;368932;1725422757737534122
26;400;10;0;6;5000000000;293990;1725422757747489487
27;400;10;0;6;5000000000;518299;1725422757757546318
28;400;10;0;6;5000000000;191855;1725422757767443144
29;400;10;0;6;5000000000;133369;1725422757777409804
30;400;10;0;6;5000000000;260366;1725422757787461020
31;400;10;0;6;5000000000;323118;1725422757797513247
32;400;10;0;6;5000000000;114579;1725422757807389699
33;400;10;0;6;5000000000;217564;1725422757817455188
34;400;10;0;6;5000000000;379821;1725422757827538528
35;400;10;0;6;5000000000;281383;1725422757837484784
36;400;10;0;6;5000000000;202439;1725422757847444310
37;400;10;0;6;5000000000;375032;1725422757857555571
38;400;10;0;6;5000000000;187164;1725422757867437264
39;400;10;0;6;5000000000;174800;1725422757877423977
40;400;10;0;6;5000000000;356856;1725422757887525711
41;400;10;0;6;5000000000;159639;1725422757897417185
42;400;10;0;6;5000000000;127401;1725422757907394815
43;400;10;0;6;5000000000;367955;1725422757917533602
44;400;10;0;6;5000000000;144018;1725422757927412658
45;400;10;0;6;5000000000;115035;1725422757937394411
46;400;10;0;6;5000000000;376126;1725422757947526464
47;400;10;0;6;5000000000;124164;1725422757957401204
48;400;10;0;6;5000000000;114180;1725422757967394455
49;400;10;0;6;5000000000;346642;1725422757977528437
