Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;750000;10;0;3;2000000000;2652015;1726098997322514892
1;750000;10;0;3;2000000000;18233400;1726098997337192363
2;750000;10;0;3;2000000000;2464746;1726098997355690145
3;750000;10;0;3;2000000000;6906543;1726098997365781861
4;750000;10;0;3;2000000000;2389103;1726098997372842792
5;750000;10;0;3;2000000000;2377261;1726098997382414377
6;750000;10;0;3;2000000000;12552197;1726098997392414839
7;750000;10;0;3;2000000000;2419599;1726098997405189150
8;750000;10;0;3;2000000000;2387413;1726098997412414397
9;750000;10;0;3;2000000000;6375196;1726098997422414090
10;750000;10;0;3;2000000000;6344833;1726098997433410825
11;750000;10;0;3;2000000000;2388039;1726098997442413426
12;750000;10;0;3;2000000000;2419296;1726098997452414488
13;750000;10;0;3;2000000000;2428352;1726098997462401391
14;750000;10;0;3;2000000000;2405854;1726098997472500714
15;750000;10;0;3;2000000000;2393282;1726098997482417182
16;750000;10;0;3;2000000000;2400004;1726098997492451800
17;750000;10;0;3;2000000000;2386044;1726098997502418226
18;750000;10;0;3;2000000000;2488613;1726098997512418478
19;750000;10;0;3;2000000000;2392546;1726098997522412439
20;750000;10;0;3;2000000000;2540669;1726098997532449029
21;750000;10;0;3;2000000000;2473670;1726098997542431322
22;750000;10;0;3;2000000000;2394989;1726098997552344160
23;750000;10;0;3;2000000000;2335843;1726098997562452014
24;750000;10;0;3;2000000000;2486571;1726098997572458706
25;750000;10;0;3;2000000000;2344659;1726098997582449903
26;750000;10;0;3;2000000000;2387909;1726098997592531320
27;750000;10;0;3;2000000000;2495362;1726098997602428730
28;750000;10;0;3;2000000000;2392956;1726098997612439927
29;750000;10;0;3;2000000000;2378864;1726098997622412277
30;750000;10;0;3;2000000000;2487469;1726098997632463255
31;750000;10;0;3;2000000000;2446514;1726098997642372996
32;750000;10;0;3;2000000000;2398989;1726098997652423020
33;750000;10;0;3;2000000000;2427492;1726098997662420988
34;750000;10;0;3;2000000000;2383572;1726098997672412209
35;750000;10;0;3;2000000000;2388734;1726098997682417803
36;750000;10;0;3;2000000000;5430326;1726098997692462481
37;750000;10;0;3;2000000000;2430301;1726098997702350172
38;750000;10;0;3;2000000000;2402374;1726098997712458357
39;750000;10;0;3;2000000000;2589011;1726098997723482629
40;750000;10;0;3;2000000000;2402664;1726098997732354046
41;750000;10;0;3;2000000000;2403284;1726098997742390218
42;750000;10;0;3;2000000000;2619231;1726098997752425867
43;750000;10;0;3;2000000000;2406812;1726098997762354027
44;750000;10;0;3;2000000000;2403081;1726098997772387688
45;750000;10;0;3;2000000000;2661166;1726098997782387391
46;750000;10;0;3;2000000000;2503092;1726098997792436017
47;750000;10;0;3;2000000000;2448551;1726098997802415456
48;750000;10;0;3;2000000000;2394536;1726098997812447071
49;750000;10;0;3;2000000000;2391645;1726098997822406469
