Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;650000;10;0;5;8000000000;27584173;1726098143285450259
1;650000;10;0;5;8000000000;12467177;1726098143310864720
2;650000;10;0;5;8000000000;4071876;1726098143321204037
3;650000;10;0;5;8000000000;2150086;1726098143325395550
4;650000;10;0;5;8000000000;2060583;1726098143335452346
5;650000;10;0;5;8000000000;2127035;1726098143345372982
6;650000;10;0;5;8000000000;1983260;1726098143355370930
7;650000;10;0;5;8000000000;1965189;1726098143365447223
8;650000;10;0;5;8000000000;2042513;1726098143375316982
9;650000;10;0;5;8000000000;2110225;1726098143385378968
10;650000;10;0;5;8000000000;1900241;1726098143395399229
11;650000;10;0;5;8000000000;2066783;1726098143405422624
12;650000;10;0;5;8000000000;1970389;1726098143415299880
13;650000;10;0;5;8000000000;2015295;1726098143425370431
14;650000;10;0;5;8000000000;2068595;1726098143435380063
15;650000;10;0;5;8000000000;1981923;1726098143445368820
16;650000;10;0;5;8000000000;1907981;1726098143455418743
17;650000;10;0;5;8000000000;2090480;1726098143465395726
18;650000;10;0;5;8000000000;1987245;1726098143475391541
19;650000;10;0;5;8000000000;1966988;1726098143485438443
20;650000;10;0;5;8000000000;2128324;1726098143495438553
21;650000;10;0;5;8000000000;2065189;1726098143505372136
22;650000;10;0;5;8000000000;1941753;1726098143515398569
23;650000;10;0;5;8000000000;2138174;1726098143525405477
24;650000;10;0;5;8000000000;2012803;1726098143535374140
25;650000;10;0;5;8000000000;2034796;1726098143545439910
26;650000;10;0;5;8000000000;1946276;1726098143555410970
27;650000;10;0;5;8000000000;2113165;1726098143565420753
28;650000;10;0;5;8000000000;2083671;1726098143575398349
29;650000;10;0;5;8000000000;1992759;1726098143585402605
30;650000;10;0;5;8000000000;2047926;1726098143595415488
31;650000;10;0;5;8000000000;2025729;1726098143605492785
32;650000;10;0;5;8000000000;1970955;1726098143615438631
33;650000;10;0;5;8000000000;2073873;1726098143625419777
34;650000;10;0;5;8000000000;2015295;1726098143635405839
35;650000;10;0;5;8000000000;1949550;1726098143645399863
36;650000;10;0;5;8000000000;2018386;1726098143655429900
37;650000;10;0;5;8000000000;1968406;1726098143665399072
38;650000;10;0;5;8000000000;1899041;1726098143675440194
39;650000;10;0;5;8000000000;2088248;1726098143685417444
40;650000;10;0;5;8000000000;1987093;1726098143695437374
41;650000;10;0;5;8000000000;1910341;1726098143705439756
42;650000;10;0;5;8000000000;2021316;1726098143715424903
43;650000;10;0;5;8000000000;2030093;1726098143725406291
44;650000;10;0;5;8000000000;1893146;1726098143735399975
45;650000;10;0;5;8000000000;2070780;1726098143745416522
46;650000;10;0;5;8000000000;1982864;1726098143755406694
47;650000;10;0;5;8000000000;1906077;1726098143765400958
48;650000;10;0;5;8000000000;2026641;1726098143775417301
49;650000;10;0;5;8000000000;2053670;1726098143785407342
