Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;1000000;10;0;1;5000000000;3298868;1726139024495166265
1;1000000;10;0;1;5000000000;3346399;1726139024505145696
2;1000000;10;0;1;5000000000;3442085;1726139024515184992
3;1000000;10;0;1;5000000000;3264862;1726139024525135363
4;1000000;10;0;1;5000000000;3270467;1726139024535084136
5;1000000;10;0;1;5000000000;3224807;1726139024545078130
6;1000000;10;0;1;5000000000;3235159;1726139024555094595
7;1000000;10;0;1;5000000000;3217110;1726139024565056371
8;1000000;10;0;1;5000000000;3212155;1726139024575087404
9;1000000;10;0;1;5000000000;3217224;1726139024585086343
10;1000000;10;0;1;5000000000;3259988;1726139024595084156
11;1000000;10;0;1;5000000000;3208939;1726139024605082802
12;1000000;10;0;1;5000000000;3258265;1726139024615100603
13;1000000;10;0;1;5000000000;3315929;1726139024625096098
14;1000000;10;0;1;5000000000;3254944;1726139024635096457
15;1000000;10;0;1;5000000000;3249142;1726139024645086407
16;1000000;10;0;1;5000000000;3221366;1726139024655087224
17;1000000;10;0;1;5000000000;3264040;1726139024665090046
18;1000000;10;0;1;5000000000;3259596;1726139024675084655
19;1000000;10;0;1;5000000000;3219813;1726139024685083730
20;1000000;10;0;1;5000000000;3230296;1726139024695088785
21;1000000;10;0;1;5000000000;3219808;1726139024705100971
22;1000000;10;0;1;5000000000;3198951;1726139024715085273
23;1000000;10;0;1;5000000000;3201050;1726139024725086769
24;1000000;10;0;1;5000000000;3205459;1726139024735091711
25;1000000;10;0;1;5000000000;3225068;1726139024745094550
26;1000000;10;0;1;5000000000;3183993;1726139024755088400
27;1000000;10;0;1;5000000000;3197723;1726139024765093241
28;1000000;10;0;1;5000000000;3210888;1726139024775099496
29;1000000;10;0;1;5000000000;3201003;1726139024785091429
30;1000000;10;0;1;5000000000;3199346;1726139024795088112
31;1000000;10;0;1;5000000000;3205141;1726139024805090165
32;1000000;10;0;1;5000000000;3204654;1726139024815099197
33;1000000;10;0;1;5000000000;3196382;1726139024825089815
34;1000000;10;0;1;5000000000;3216012;1726139024835104840
35;1000000;10;0;1;5000000000;3210806;1726139024845099776
36;1000000;10;0;1;5000000000;3190510;1726139024855089822
37;1000000;10;0;1;5000000000;3203751;1726139024865094247
38;1000000;10;0;1;5000000000;3200149;1726139024875090688
39;1000000;10;0;1;5000000000;3210788;1726139024885092892
40;1000000;10;0;1;5000000000;3335652;1726139024895102595
41;1000000;10;0;1;5000000000;3206906;1726139024905101621
42;1000000;10;0;1;5000000000;3241092;1726139024915088811
43;1000000;10;0;1;5000000000;3228065;1726139024925099686
44;1000000;10;0;1;5000000000;3201274;1726139024935104223
45;1000000;10;0;1;5000000000;3165541;1726139024945092983
46;1000000;10;0;1;5000000000;3196499;1726139024955091334
47;1000000;10;0;1;5000000000;3234848;1726139024965104010
48;1000000;10;0;1;5000000000;3195419;1726139024975093720
49;1000000;10;0;1;5000000000;3201156;1726139024985103557
