Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;800;10;0;3;8000000000;22399342;1726118658594644931
1;800;10;0;3;8000000000;351169;1726118658616878002
2;800;10;0;3;8000000000;198423;1726118658624661106
3;800;10;0;3;8000000000;133111;1726118658634653024
4;800;10;0;3;8000000000;81489;1726118658644624077
5;800;10;0;3;8000000000;82468;1726118658654623204
6;800;10;0;3;8000000000;80933;1726118658664625608
7;800;10;0;3;8000000000;82418;1726118658674626204
8;800;10;0;3;8000000000;80835;1726118658684627345
9;800;10;0;3;8000000000;82327;1726118658694624745
10;800;10;0;3;8000000000;81093;1726118658704626728
11;800;10;0;3;8000000000;82595;1726118658714623914
12;800;10;0;3;8000000000;81120;1726118658724628347
13;800;10;0;3;8000000000;82853;1726118658734631425
14;800;10;0;3;8000000000;81425;1726118658744629877
15;800;10;0;3;8000000000;82283;1726118658754628325
16;800;10;0;3;8000000000;81003;1726118658764628370
17;800;10;0;3;8000000000;82188;1726118658774626350
18;800;10;0;3;8000000000;80753;1726118658784625691
19;800;10;0;3;8000000000;82562;1726118658794624077
20;800;10;0;3;8000000000;78714;1726118658804638280
21;800;10;0;3;8000000000;80433;1726118658814636619
22;800;10;0;3;8000000000;79586;1726118658824638685
23;800;10;0;3;8000000000;82069;1726118658834579085
24;800;10;0;3;8000000000;86666;1726118658844608699
25;800;10;0;3;8000000000;91545;1726118658854568775
26;800;10;0;3;8000000000;79687;1726118658864637286
27;800;10;0;3;8000000000;78163;1726118658874633930
28;800;10;0;3;8000000000;79371;1726118658884635281
29;800;10;0;3;8000000000;78138;1726118658894634652
30;800;10;0;3;8000000000;79101;1726118658904635416
31;800;10;0;3;8000000000;77674;1726118658914635648
32;800;10;0;3;8000000000;81722;1726118658924581668
33;800;10;0;3;8000000000;77838;1726118658934637784
34;800;10;0;3;8000000000;79007;1726118658944636587
35;800;10;0;3;8000000000;78074;1726118658954639494
36;800;10;0;3;8000000000;78943;1726118658964618338
37;800;10;0;3;8000000000;74146;1726118659026204050
38;800;10;0;3;8000000000;81284;1726118659034629089
39;800;10;0;3;8000000000;79787;1726118659044631621
40;800;10;0;3;8000000000;80701;1726118659054637210
41;800;10;0;3;8000000000;80059;1726118659064634134
42;800;10;0;3;8000000000;80738;1726118659074630799
43;800;10;0;3;8000000000;80145;1726118659084626413
44;800;10;0;3;8000000000;81171;1726118659094633656
45;800;10;0;3;8000000000;78204;1726118659104642645
46;800;10;0;3;8000000000;78511;1726118659114640980
47;800;10;0;3;8000000000;77957;1726118659124639987
48;800;10;0;3;8000000000;78946;1726118659134643172
49;800;10;0;3;8000000000;77881;1726118659144641474
