Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;1000;10;0;1;15000000000;228016;1726119873543609638
1;1000;10;0;1;15000000000;195143;1726119873553641081
2;1000;10;0;1;15000000000;253550;1726119873563651331
3;1000;10;0;1;15000000000;112212;1726119873573617099
4;1000;10;0;1;15000000000;81778;1726119873583597123
5;1000;10;0;1;15000000000;80408;1726119873593598249
6;1000;10;0;1;15000000000;80987;1726119873603596417
7;1000;10;0;1;15000000000;80373;1726119873613604676
8;1000;10;0;1;15000000000;80762;1726119873623596005
9;1000;10;0;1;15000000000;80911;1726119873633598006
10;1000;10;0;1;15000000000;81160;1726119873643594169
11;1000;10;0;1;15000000000;80404;1726119873653596388
12;1000;10;0;1;15000000000;80764;1726119873663600567
13;1000;10;0;1;15000000000;98739;1726119873673540750
14;1000;10;0;1;15000000000;81182;1726119873683595583
15;1000;10;0;1;15000000000;81096;1726119873693599517
16;1000;10;0;1;15000000000;80695;1726119873703597956
17;1000;10;0;1;15000000000;80486;1726119873713598179
18;1000;10;0;1;15000000000;80446;1726119873723595618
19;1000;10;0;1;15000000000;80733;1726119873733594519
20;1000;10;0;1;15000000000;80962;1726119873743607174
21;1000;10;0;1;15000000000;80415;1726119873753599622
22;1000;10;0;1;15000000000;80571;1726119873763600154
23;1000;10;0;1;15000000000;80361;1726119873773600016
24;1000;10;0;1;15000000000;80443;1726119873783600521
25;1000;10;0;1;15000000000;80914;1726119873793601546
26;1000;10;0;1;15000000000;80724;1726119873803604159
27;1000;10;0;1;15000000000;80555;1726119873813599326
28;1000;10;0;1;15000000000;78453;1726119873823609279
29;1000;10;0;1;15000000000;78800;1726119873833609321
30;1000;10;0;1;15000000000;78172;1726119873843607335
31;1000;10;0;1;15000000000;78422;1726119873853610563
32;1000;10;0;1;15000000000;78867;1726119873863608326
33;1000;10;0;1;15000000000;78888;1726119873873608161
34;1000;10;0;1;15000000000;78706;1726119873883608866
35;1000;10;0;1;15000000000;78442;1726119873893609790
36;1000;10;0;1;15000000000;78581;1726119873903608925
37;1000;10;0;1;15000000000;78123;1726119873913614661
38;1000;10;0;1;15000000000;78530;1726119873923610660
39;1000;10;0;1;15000000000;78784;1726119873933612674
40;1000;10;0;1;15000000000;78497;1726119873943611269
41;1000;10;0;1;15000000000;81005;1726119873953620759
42;1000;10;0;1;15000000000;78291;1726119873963613432
43;1000;10;0;1;15000000000;78976;1726119873973611206
44;1000;10;0;1;15000000000;78505;1726119873983613093
45;1000;10;0;1;15000000000;78945;1726119873993612628
46;1000;10;0;1;15000000000;77730;1726119874003610234
47;1000;10;0;1;15000000000;78872;1726119874013614983
48;1000;10;0;1;15000000000;78359;1726119874023612075
49;1000;10;0;1;15000000000;78801;1726119874033614552
