Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;100000;10;0;3;1000000000;509502;1726127229493043181
1;100000;10;0;3;1000000000;496512;1726127229503049962
2;100000;10;0;3;1000000000;466453;1726127229513044543
3;100000;10;0;3;1000000000;451628;1726127229523032345
4;100000;10;0;3;1000000000;346094;1726127229532968709
5;100000;10;0;3;1000000000;357041;1726127229542974087
6;100000;10;0;3;1000000000;352539;1726127229552984221
7;100000;10;0;3;1000000000;346654;1726127229562972250
8;100000;10;0;3;1000000000;352134;1726127229572966386
9;100000;10;0;3;1000000000;524950;1726127229583077142
10;100000;10;0;3;1000000000;532047;1726127229593068111
11;100000;10;0;3;1000000000;518948;1726127229603064512
12;100000;10;0;3;1000000000;502151;1726127229613052546
13;100000;10;0;3;1000000000;506159;1726127229623018300
14;100000;10;0;3;1000000000;478006;1726127229633007423
15;100000;10;0;3;1000000000;502792;1726127229643022351
16;100000;10;0;3;1000000000;502106;1726127229653042319
17;100000;10;0;3;1000000000;501602;1726127229663044872
18;100000;10;0;3;1000000000;486782;1726127229673054782
19;100000;10;0;3;1000000000;472658;1726127229683033146
20;100000;10;0;3;1000000000;482463;1726127229693171836
21;100000;10;0;3;1000000000;480564;1726127229703052671
22;100000;10;0;3;1000000000;481814;1726127229713063573
23;100000;10;0;3;1000000000;475618;1726127229723054442
24;100000;10;0;3;1000000000;500228;1726127229733075587
25;100000;10;0;3;1000000000;434830;1726127229743020401
26;100000;10;0;3;1000000000;435856;1726127229753020132
27;100000;10;0;3;1000000000;436136;1726127229763015825
28;100000;10;0;3;1000000000;474720;1726127229773045959
29;100000;10;0;3;1000000000;474292;1726127229783053228
30;100000;10;0;3;1000000000;476071;1726127229793057788
31;100000;10;0;3;1000000000;581851;1726127229803120514
32;100000;10;0;3;1000000000;582130;1726127229813119813
33;100000;10;0;3;1000000000;582383;1726127229823124208
34;100000;10;0;3;1000000000;498960;1726127229833073139
35;100000;10;0;3;1000000000;494205;1726127229843070009
36;100000;10;0;3;1000000000;500173;1726127229853068727
37;100000;10;0;3;1000000000;507240;1726127229863080692
38;100000;10;0;3;1000000000;506828;1726127229873073368
39;100000;10;0;3;1000000000;502328;1726127229883075226
40;100000;10;0;3;1000000000;491862;1726127229893070678
41;100000;10;0;3;1000000000;490141;1726127229903066663
42;100000;10;0;3;1000000000;493010;1726127229913056398
43;100000;10;0;3;1000000000;494997;1726127229923071247
44;100000;10;0;3;1000000000;491237;1726127229933065958
45;100000;10;0;3;1000000000;476518;1726127229943052486
46;100000;10;0;3;1000000000;482251;1726127229953063664
47;100000;10;0;3;1000000000;485006;1726127229963062315
48;100000;10;0;3;1000000000;473872;1726127229973065376
49;100000;10;0;3;1000000000;472492;1726127229983055209
