Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;600;10;0;5;13000000000;30730789;1726117586316236267
1;600;10;0;5;13000000000;329467;1726117586346804371
2;600;10;0;5;13000000000;147462;1726117586356227222
3;600;10;0;5;13000000000;78814;1726117586366219195
4;600;10;0;5;13000000000;80953;1726117586376208256
5;600;10;0;5;13000000000;73128;1726117586397801843
6;600;10;0;5;13000000000;80577;1726117586406212471
7;600;10;0;5;13000000000;79317;1726117586416206481
8;600;10;0;5;13000000000;80602;1726117586426223541
9;600;10;0;5;13000000000;79171;1726117586436206865
10;600;10;0;5;13000000000;80693;1726117586446213180
11;600;10;0;5;13000000000;79157;1726117586456212707
12;600;10;0;5;13000000000;80694;1726117586466206033
13;600;10;0;5;13000000000;78003;1726117586476216142
14;600;10;0;5;13000000000;78618;1726117586486220492
15;600;10;0;5;13000000000;77228;1726117586496214160
16;600;10;0;5;13000000000;78887;1726117586506220065
17;600;10;0;5;13000000000;77503;1726117586516216571
18;600;10;0;5;13000000000;81834;1726117586526177097
19;600;10;0;5;13000000000;78119;1726117586536215137
20;600;10;0;5;13000000000;78697;1726117586546222946
21;600;10;0;5;13000000000;77450;1726117586556215488
22;600;10;0;5;13000000000;78915;1726117586566223350
23;600;10;0;5;13000000000;78977;1726117586576210929
24;600;10;0;5;13000000000;80622;1726117586586216404
25;600;10;0;5;13000000000;79897;1726117586596172555
26;600;10;0;5;13000000000;80457;1726117586606214173
27;600;10;0;5;13000000000;79276;1726117586616165946
28;600;10;0;5;13000000000;80368;1726117586626216464
29;600;10;0;5;13000000000;79414;1726117586636218857
30;600;10;0;5;13000000000;80688;1726117586646219166
31;600;10;0;5;13000000000;79993;1726117586656209154
32;600;10;0;5;13000000000;80331;1726117586666218781
33;600;10;0;5;13000000000;89645;1726117586676229506
34;600;10;0;5;13000000000;78402;1726117586686223885
35;600;10;0;5;13000000000;76896;1726117586696237007
36;600;10;0;5;13000000000;78689;1726117586706223816
37;600;10;0;5;13000000000;77057;1726117586716225306
38;600;10;0;5;13000000000;78063;1726117586726225544
39;600;10;0;5;13000000000;90620;1726117586736199896
40;600;10;0;5;13000000000;78893;1726117586746230025
41;600;10;0;5;13000000000;77403;1726117586756222944
42;600;10;0;5;13000000000;78553;1726117586766227131
43;600;10;0;5;13000000000;77241;1726117586776226131
44;600;10;0;5;13000000000;78635;1726117586786227186
45;600;10;0;5;13000000000;77428;1726117586796226993
46;600;10;0;5;13000000000;79045;1726117586806228428
47;600;10;0;5;13000000000;77169;1726117586816228121
48;600;10;0;5;13000000000;78899;1726117586826229080
49;600;10;0;5;13000000000;77295;1726117586836228449
