Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;5000;10;0;4;3000000000;264993;1726122271522920512
1;5000;10;0;4;3000000000;292485;1726122271532965609
2;5000;10;0;4;3000000000;341929;1726122271543014315
3;5000;10;0;4;3000000000;309249;1726122271552934145
4;5000;10;0;4;3000000000;232269;1726122271562920688
5;5000;10;0;4;3000000000;197440;1726122271572964170
6;5000;10;0;4;3000000000;212298;1726122271582896858
7;5000;10;0;4;3000000000;228880;1726122271592902237
8;5000;10;0;4;3000000000;192710;1726122271602879944
9;5000;10;0;4;3000000000;198130;1726122271612878440
10;5000;10;0;4;3000000000;190846;1726122271622881440
11;5000;10;0;4;3000000000;241776;1726122271632905045
12;5000;10;0;4;3000000000;232037;1726122271642901973
13;5000;10;0;4;3000000000;237001;1726122271652899429
14;5000;10;0;4;3000000000;248748;1726122271662891803
15;5000;10;0;4;3000000000;247157;1726122271672914977
16;5000;10;0;4;3000000000;227193;1726122271682912149
17;5000;10;0;4;3000000000;303935;1726122271692955846
18;5000;10;0;4;3000000000;296982;1726122271702964083
19;5000;10;0;4;3000000000;236695;1726122271712912122
20;5000;10;0;4;3000000000;240158;1726122271722916603
21;5000;10;0;4;3000000000;252126;1726122271732940949
22;5000;10;0;4;3000000000;240108;1726122271742935797
23;5000;10;0;4;3000000000;249128;1726122271752934898
24;5000;10;0;4;3000000000;228251;1726122271762928235
25;5000;10;0;4;3000000000;259137;1726122271772936231
26;5000;10;0;4;3000000000;231010;1726122271782907896
27;5000;10;0;4;3000000000;226761;1726122271792911863
28;5000;10;0;4;3000000000;238242;1726122271802927549
29;5000;10;0;4;3000000000;234720;1726122271812922253
30;5000;10;0;4;3000000000;288528;1726122271822949631
31;5000;10;0;4;3000000000;269281;1726122271832940679
32;5000;10;0;4;3000000000;261194;1726122271842944427
33;5000;10;0;4;3000000000;270180;1726122271852924417
34;5000;10;0;4;3000000000;268643;1726122271862946903
35;5000;10;0;4;3000000000;267791;1726122271872934533
36;5000;10;0;4;3000000000;263463;1726122271882937550
37;5000;10;0;4;3000000000;262022;1726122271892942149
38;5000;10;0;4;3000000000;221953;1726122271902912693
39;5000;10;0;4;3000000000;210912;1726122271912896046
40;5000;10;0;4;3000000000;210387;1726122271922909536
41;5000;10;0;4;3000000000;221573;1726122271932917916
42;5000;10;0;4;3000000000;221081;1726122271942902091
43;5000;10;0;4;3000000000;227514;1726122271952924071
44;5000;10;0;4;3000000000;224176;1726122271962927521
45;5000;10;0;4;3000000000;227999;1726122271972870538
46;5000;10;0;4;3000000000;232352;1726122271982934511
47;5000;10;0;4;3000000000;211220;1726122271992923694
48;5000;10;0;4;3000000000;234518;1726122272002930083
49;5000;10;0;4;3000000000;230984;1726122272012918209
