Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;650000;10;0;4;10000000000;44217613;1726134684077462622
1;650000;10;0;4;10000000000;4107003;1726134684119551181
2;650000;10;0;4;10000000000;2157982;1726134684127455468
3;650000;10;0;4;10000000000;2129216;1726134684137500904
4;650000;10;0;4;10000000000;2071238;1726134684147440124
5;650000;10;0;4;10000000000;1904238;1726134684157441085
6;650000;10;0;4;10000000000;1907303;1726134684167433528
7;650000;10;0;4;10000000000;1883675;1726134684177437955
8;650000;10;0;4;10000000000;1891264;1726134684187435210
9;650000;10;0;4;10000000000;1906289;1726134684197439973
10;650000;10;0;4;10000000000;1893003;1726134684207441332
11;650000;10;0;4;10000000000;1880961;1726134684217440876
12;650000;10;0;4;10000000000;1891837;1726134684227438107
13;650000;10;0;4;10000000000;1882208;1726134684237443755
14;650000;10;0;4;10000000000;1894376;1726134684247444245
15;650000;10;0;4;10000000000;1900070;1726134684257440852
16;650000;10;0;4;10000000000;1899703;1726134684267440561
17;650000;10;0;4;10000000000;1894232;1726134684277437814
18;650000;10;0;4;10000000000;1959906;1726134684287441139
19;650000;10;0;4;10000000000;1895410;1726134684297439754
20;650000;10;0;4;10000000000;1897309;1726134684307443482
21;650000;10;0;4;10000000000;1930343;1726134684317406210
22;650000;10;0;4;10000000000;1938057;1726134684327448708
23;650000;10;0;4;10000000000;1875386;1726134684337446818
24;650000;10;0;4;10000000000;1916213;1726134684347449529
25;650000;10;0;4;10000000000;1858397;1726134684357450228
26;650000;10;0;4;10000000000;1926334;1726134684367448515
27;650000;10;0;4;10000000000;1855278;1726134684377461929
28;650000;10;0;4;10000000000;1920345;1726134684387409289
29;650000;10;0;4;10000000000;1866263;1726134684397449579
30;650000;10;0;4;10000000000;1926686;1726134684407450396
31;650000;10;0;4;10000000000;1895098;1726134684417448122
32;650000;10;0;4;10000000000;1895289;1726134684427448454
33;650000;10;0;4;10000000000;1878820;1726134684437444098
34;650000;10;0;4;10000000000;1896645;1726134684447446720
35;650000;10;0;4;10000000000;1881800;1726134684457436929
36;650000;10;0;4;10000000000;1894610;1726134684467445224
37;650000;10;0;4;10000000000;1880193;1726134684477448827
38;650000;10;0;4;10000000000;1891258;1726134684487445836
39;650000;10;0;4;10000000000;1876416;1726134684497445895
40;650000;10;0;4;10000000000;1897264;1726134684507445440
41;650000;10;0;4;10000000000;1842397;1726134684517452508
42;650000;10;0;4;10000000000;1884699;1726134684527452115
43;650000;10;0;4;10000000000;1841114;1726134684537452186
44;650000;10;0;4;10000000000;1857354;1726134684547454534
45;650000;10;0;4;10000000000;1842308;1726134684557456103
46;650000;10;0;4;10000000000;1849382;1726134684567454398
47;650000;10;0;4;10000000000;1844432;1726134684577455918
48;650000;10;0;4;10000000000;1855418;1726134684587454694
49;650000;10;0;4;10000000000;1845603;1726134684597454098
