Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
13;10000;10;0;1;10000000000;110637;1725428189945822001
14;10000;10;0;1;10000000000;117613;1725428189955870697
15;10000;10;0;1;10000000000;177168;1725428189965838234
16;10000;10;0;1;10000000000;104315;1725428189975856075
17;10000;10;0;1;10000000000;103797;1725428189985855765
18;10000;10;0;1;10000000000;146039;1725428189995890421
19;10000;10;0;1;10000000000;104922;1725428190005790196
20;10000;10;0;1;10000000000;102224;1725428190015864032
21;10000;10;0;1;10000000000;139412;1725428190025843332
22;10000;10;0;1;10000000000;116544;1725428190035838000
23;10000;10;0;1;10000000000;103548;1725428190045819854
24;10000;10;0;1;10000000000;136381;1725428190055872762
25;10000;10;0;1;10000000000;109423;1725428190065765875
26;10000;10;0;1;10000000000;131402;1725428190075819077
27;10000;10;0;1;10000000000;137129;1725428190085776238
28;10000;10;0;1;10000000000;104040;1725428190095801634
29;10000;10;0;1;10000000000;104033;1725428190105760688
30;10000;10;0;1;10000000000;137366;1725428190115854047
31;10000;10;0;1;10000000000;104456;1725428190125865283
32;10000;10;0;1;10000000000;102847;1725428190135863243
33;10000;10;0;1;10000000000;135926;1725428190145814287
34;10000;10;0;1;10000000000;178563;1725428190155765997
35;10000;10;0;1;10000000000;103405;1725428190165863875
36;10000;10;0;1;10000000000;136842;1725428190175867213
37;10000;10;0;1;10000000000;110828;1725428190185795619
38;10000;10;0;1;10000000000;102409;1725428190195859052
39;10000;10;0;1;10000000000;112015;1725428190205823670
40;10000;10;0;1;10000000000;109887;1725428190215813931
41;10000;10;0;1;10000000000;103875;1725428190225856953
42;10000;10;0;1;10000000000;116775;1725428190235848272
43;10000;10;0;1;10000000000;118652;1725428190245831383
44;10000;10;0;1;10000000000;103210;1725428190255858662
45;10000;10;0;1;10000000000;103668;1725428190265865132
46;10000;10;0;1;10000000000;135290;1725428190275839828
47;10000;10;0;1;10000000000;104802;1725428190285822344
48;10000;10;0;1;10000000000;102562;1725428190295865605
49;10000;10;0;1;10000000000;133609;1725428190305846592
0;1000;10;0;1;10000000000;190503;1725425587138539287
1;1000;10;0;1;10000000000;195423;1725425587148480280
2;1000;10;0;1;10000000000;348420;1725425587158641470
3;1000;10;0;1;10000000000;162104;1725425587168500456
4;1000;10;0;1;10000000000;82207;1725425587178465332
5;1000;10;0;1;10000000000;129639;1725425587188485284
6;1000;10;0;1;10000000000;82728;1725425587198462006
7;1000;10;0;1;10000000000;83009;1725425587208469736
8;1000;10;0;1;10000000000;91387;1725425587218470561
9;1000;10;0;1;10000000000;89572;1725425587228440293
10;1000;10;0;1;10000000000;82435;1725425587238512815
11;1000;10;0;1;10000000000;84911;1725425587248464141
12;1000;10;0;1;10000000000;107115;1725425587258410604
13;1000;10;0;1;10000000000;90664;1725425587268438965
14;1000;10;0;1;10000000000;97988;1725425587278472609
15;1000;10;0;1;10000000000;153748;1725425587288481030
16;1000;10;0;1;10000000000;82503;1725425587298450521
17;1000;10;0;1;10000000000;83393;1725425587308503233
18;1000;10;0;1;10000000000;153229;1725425587318433937
19;1000;10;0;1;10000000000;84371;1725425587328462829
20;1000;10;0;1;10000000000;89732;1725425587338431228
21;1000;10;0;1;10000000000;105942;1725425587348471578
22;1000;10;0;1;10000000000;82357;1725425587358471164
23;1000;10;0;1;10000000000;83485;1725425587368462475
24;1000;10;0;1;10000000000;116832;1725425587378483485
25;1000;10;0;1;10000000000;83805;1725425587388464106
26;1000;10;0;1;10000000000;81750;1725425587398461989
27;1000;10;0;1;10000000000;118810;1725425587408491238
28;1000;10;0;1;10000000000;82101;1725425587418464111
29;1000;10;0;1;10000000000;83501;1725425587428459035
30;1000;10;0;1;10000000000;112619;1725425587438482274
31;1000;10;0;1;10000000000;83960;1725425587448464356
32;1000;10;0;1;10000000000;81924;1725425587458462636
33;1000;10;0;1;10000000000;112792;1725425587468483491
34;1000;10;0;1;10000000000;82803;1725425587478435696
35;1000;10;0;1;10000000000;83303;1725425587488512361
36;1000;10;0;1;10000000000;113105;1725425587498485687
37;1000;10;0;1;10000000000;89500;1725425587508439326
38;1000;10;0;1;10000000000;83603;1725425587518437510
39;1000;10;0;1;10000000000;93982;1725425587528465715
40;1000;10;0;1;10000000000;88486;1725425587538467571
41;1000;10;0;1;10000000000;84014;1725425587548433179
42;1000;10;0;1;10000000000;83798;1725425587558434260
43;1000;10;0;1;10000000000;99448;1725425587568418467
44;1000;10;0;1;10000000000;80969;1725425587578463246
45;1000;10;0;1;10000000000;82737;1725425587588482104
46;1000;10;0;1;10000000000;113871;1725425587598536382
47;1000;10;0;1;10000000000;82135;1725425587608502160
48;1000;10;0;1;10000000000;81237;1725425587618504820
49;1000;10;0;1;10000000000;109956;1725425587628486923
0;100;10;0;1;10000000000;183864;1725419321709522614
1;100;10;0;1;10000000000;194009;1725419321719541619
2;100;10;0;1;10000000000;268826;1725419321729582112
3;100;10;0;1;10000000000;158712;1725419321739480279
4;100;10;0;1;10000000000;82837;1725419321749415355
5;100;10;0;1;10000000000;140819;1725419321759521598
6;100;10;0;1;10000000000;83977;1725419321769449216
7;100;10;0;1;10000000000;82792;1725419321779449863
8;100;10;0;1;10000000000;139247;1725419321789472015
9;100;10;0;1;10000000000;83191;1725419321799448164
10;100;10;0;1;10000000000;81578;1725419321809487280
11;100;10;0;1;10000000000;92735;1725419321819451658
12;100;10;0;1;10000000000;90367;1725419321829463376
13;100;10;0;1;10000000000;87384;1725419321839448769
14;100;10;0;1;10000000000;118599;1725419321849470699
15;100;10;0;1;10000000000;104539;1725419321859468640
16;100;10;0;1;10000000000;80195;1725419321869454211
17;100;10;0;1;10000000000;80859;1725419321879489096
18;100;10;0;1;10000000000;122790;1725419321889375707
19;100;10;0;1;10000000000;81239;1725419321899424132
20;100;10;0;1;10000000000;79548;1725419321909444103
21;100;10;0;1;10000000000;116773;1725419321919441600
22;100;10;0;1;10000000000;79678;1725419321929489264
23;100;10;0;1;10000000000;80877;1725419321939487432
24;100;10;0;1;10000000000;117852;1725419321949414369
25;100;10;0;1;10000000000;80651;1725419321959492656
26;100;10;0;1;10000000000;79352;1725419321969492171
27;100;10;0;1;10000000000;118923;1725419321979406325
28;100;10;0;1;10000000000;80429;1725419321989419889
29;100;10;0;1;10000000000;80605;1725419321999482265
30;100;10;0;1;10000000000;116298;1725419322009441760
31;100;10;0;1;10000000000;81400;1725419322019465713
32;100;10;0;1;10000000000;80621;1725419322029488462
33;100;10;0;1;10000000000;116941;1725419322039470366
34;100;10;0;1;10000000000;81114;1725419322049460995
35;100;10;0;1;10000000000;80260;1725419322059448950
36;100;10;0;1;10000000000;115112;1725419322069473363
37;100;10;0;1;10000000000;144573;1725419322079419684
38;100;10;0;1;10000000000;80221;1725419322089390208
39;100;10;0;1;10000000000;137878;1725419322099493485
40;100;10;0;1;10000000000;87744;1725419322109352558
41;100;10;0;1;10000000000;79809;1725419322119423840
42;100;10;0;1;10000000000;93037;1725419322129456377
43;100;10;0;1;10000000000;89325;1725419322139425467
44;100;10;0;1;10000000000;81198;1725419322149424335
45;100;10;0;1;10000000000;80602;1725419322159444619
46;100;10;0;1;10000000000;104747;1725419322169404083
47;100;10;0;1;10000000000;79410;1725419322179445765
48;100;10;0;1;10000000000;80708;1725419322189483375
49;100;10;0;1;10000000000;122185;1725419322199417364
0;10;10;0;1;10000000000;180663;1725418124763560210
1;10;10;0;1;10000000000;183439;1725418124773549536
2;10;10;0;1;10000000000;347174;1725418124783606529
3;10;10;0;1;10000000000;164619;1725418124793513391
4;10;10;0;1;10000000000;86361;1725418124803453346
5;10;10;0;1;10000000000;163814;1725418124813529551
6;10;10;0;1;10000000000;82912;1725418124823446005
7;10;10;0;1;10000000000;81564;1725418124833512642
8;10;10;0;1;10000000000;97996;1725418124843486512
9;10;10;0;1;10000000000;92804;1725418124853453131
10;10;10;0;1;10000000000;81530;1725418124863509850
11;10;10;0;1;10000000000;84552;1725418124873466920
12;10;10;0;1;10000000000;130384;1725418124883481424
13;10;10;0;1;10000000000;88150;1725418124893450259
14;10;10;0;1;10000000000;95287;1725418124903455517
15;10;10;0;1;10000000000;108763;1725418124913414888
16;10;10;0;1;10000000000;80170;1725418124923448197
17;10;10;0;1;10000000000;79154;1725418124933514965
18;10;10;0;1;10000000000;115981;1725418124943500645
19;10;10;0;1;10000000000;80221;1725418124953448755
20;10;10;0;1;10000000000;86662;1725418124963476804
21;10;10;0;1;10000000000;114176;1725418124973474232
22;10;10;0;1;10000000000;83396;1725418124983419435
23;10;10;0;1;10000000000;71349;1725418124993443205
24;10;10;0;1;10000000000;115497;1725418125003471800
25;10;10;0;1;10000000000;79748;1725418125013518686
26;10;10;0;1;10000000000;86450;1725418125023523968
27;10;10;0;1;10000000000;112204;1725418125033499667
28;10;10;0;1;10000000000;83377;1725418125043479406
29;10;10;0;1;10000000000;80880;1725418125053522330
30;10;10;0;1;10000000000;112733;1725418125063498845
31;10;10;0;1;10000000000;80844;1725418125073477641
32;10;10;0;1;10000000000;80151;1725418125083473935
33;10;10;0;1;10000000000;115965;1725418125093469200
34;10;10;0;1;10000000000;84015;1725418125103421621
35;10;10;0;1;10000000000;80603;1725418125113518708
36;10;10;0;1;10000000000;113933;1725418125123482526
37;10;10;0;1;10000000000;87797;1725418125133424118
38;10;10;0;1;10000000000;80442;1725418125143524000
39;10;10;0;1;10000000000;87920;1725418125153481737
40;10;10;0;1;10000000000;94931;1725418125163419071
41;10;10;0;1;10000000000;80047;1725418125173449511
42;10;10;0;1;10000000000;82833;1725418125183449150
43;10;10;0;1;10000000000;98977;1725418125193456150
44;10;10;0;1;10000000000;80617;1725418125203465013
45;10;10;0;1;10000000000;79317;1725418125213527035
46;10;10;0;1;10000000000;114416;1725418125223471511
47;10;10;0;1;10000000000;79548;1725418125233523062
48;10;10;0;1;10000000000;80515;1725418125243518856
49;10;10;0;1;10000000000;114800;1725418125253471109
0;200;10;0;1;10000000000;186078;1725420550251965734
1;200;10;0;1;10000000000;194472;1725420550261980643
2;200;10;0;1;10000000000;288512;1725420550272030578
3;200;10;0;1;10000000000;161618;1725420550281969852
4;200;10;0;1;10000000000;80783;1725420550291920728
5;200;10;0;1;10000000000;144787;1725420550301946722
6;200;10;0;1;10000000000;82652;1725420550311887834
7;200;10;0;1;10000000000;81344;1725420550321927801
8;200;10;0;1;10000000000;93414;1725420550331911502
9;200;10;0;1;10000000000;90219;1725420550341938302
10;200;10;0;1;10000000000;82002;1725420550351901405
11;200;10;0;1;10000000000;81697;1725420550361904633
12;200;10;0;1;10000000000;102127;1725420550371887110
13;200;10;0;1;10000000000;86641;1725420550381930534
14;200;10;0;1;10000000000;103375;1725420550391916985
15;200;10;0;1;10000000000;152162;1725420550401982219
16;200;10;0;1;10000000000;83827;1725420550411877398
17;200;10;0;1;10000000000;80772;1725420550421978205
18;200;10;0;1;10000000000;204255;1725420550431938908
19;200;10;0;1;10000000000;87552;1725420550441874541
20;200;10;0;1;10000000000;79967;1725420550451901362
21;200;10;0;1;10000000000;114495;1725420550461946883
22;200;10;0;1;10000000000;79827;1725420550471904521
23;200;10;0;1;10000000000;78403;1725420550481931212
24;200;10;0;1;10000000000;115956;1725420550491948800
25;200;10;0;1;10000000000;79552;1725420550501906128
26;200;10;0;1;10000000000;79563;1725420550511920712
27;200;10;0;1;10000000000;115873;1725420550521927657
28;200;10;0;1;10000000000;79772;1725420550531904752
29;200;10;0;1;10000000000;78803;1725420550541973255
30;200;10;0;1;10000000000;117527;1725420550551934502
31;200;10;0;1;10000000000;79543;1725420550561937008
32;200;10;0;1;10000000000;79691;1725420550571905474
33;200;10;0;1;10000000000;114562;1725420550581957322
34;200;10;0;1;10000000000;80482;1725420550591910740
35;200;10;0;1;10000000000;78439;1725420550601960703
36;200;10;0;1;10000000000;118828;1725420550611959249
37;200;10;0;1;10000000000;79005;1725420550621903636
38;200;10;0;1;10000000000;81210;1725420550631901985
39;200;10;0;1;10000000000;89785;1725420550641941805
40;200;10;0;1;10000000000;89761;1725420550651915267
41;200;10;0;1;10000000000;79154;1725420550661974266
42;200;10;0;1;10000000000;84003;1725420550671908345
43;200;10;0;1;10000000000;78866;1725420550681975390
44;200;10;0;1;10000000000;81470;1725420550691978309
45;200;10;0;1;10000000000;78546;1725420550701976766
46;200;10;0;1;10000000000;81062;1725420550711908375
47;200;10;0;1;10000000000;78474;1725420550721936371
48;200;10;0;1;10000000000;81408;1725420550731906629
49;200;10;0;1;10000000000;78723;1725420550741958734
0;400;10;0;1;10000000000;190886;1725421793612360277
1;400;10;0;1;10000000000;192888;1725421793622354157
2;400;10;0;1;10000000000;297136;1725421793632385376
3;400;10;0;1;10000000000;158321;1725421793642350374
4;400;10;0;1;10000000000;82486;1725421793652306993
5;400;10;0;1;10000000000;196259;1725421793662335507
6;400;10;0;1;10000000000;91274;1725421793672234857
7;400;10;0;1;10000000000;84072;1725421793682264759
8;400;10;0;1;10000000000;90844;1725421793692267300
9;400;10;0;1;10000000000;92544;1725421793702265056
10;400;10;0;1;10000000000;82337;1725421793712263362
11;400;10;0;1;10000000000;86171;1725421793722262615
12;400;10;0;1;10000000000;96221;1725421793732273963
13;400;10;0;1;10000000000;87440;1725421793742274120
14;400;10;0;1;10000000000;98107;1725421793752272877
15;400;10;0;1;10000000000;148890;1725421793762310977
16;400;10;0;1;10000000000;80857;1725421793772292301
17;400;10;0;1;10000000000;82520;1725421793782261770
18;400;10;0;1;10000000000;122668;1725421793792317574
19;400;10;0;1;10000000000;81778;1725421793802296566
20;400;10;0;1;10000000000;80182;1725421793812324380
21;400;10;0;1;10000000000;116025;1725421793822236336
22;400;10;0;1;10000000000;80779;1725421793832264560
23;400;10;0;1;10000000000;81766;1725421793842287698
24;400;10;0;1;10000000000;110727;1725421793852285971
25;400;10;0;1;10000000000;84326;1725421793862236267
26;400;10;0;1;10000000000;79997;1725421793872334784
27;400;10;0;1;10000000000;112838;1725421793882287785
28;400;10;0;1;10000000000;80114;1725421793892264526
29;400;10;0;1;10000000000;81858;1725421793902334012
30;400;10;0;1;10000000000;109141;1725421793912313490
31;400;10;0;1;10000000000;91078;1725421793922298153
32;400;10;0;1;10000000000;80591;1725421793932305776
33;400;10;0;1;10000000000;105001;1725421793942282476
34;400;10;0;1;10000000000;80406;1725421793952299387
35;400;10;0;1;10000000000;81271;1725421793962292785
36;400;10;0;1;10000000000;109339;1725421793972322707
37;400;10;0;1;10000000000;81822;1725421793982294445
38;400;10;0;1;10000000000;87447;1725421793992269761
39;400;10;0;1;10000000000;91282;1725421794002302674
40;400;10;0;1;10000000000;85042;1725421794012295695
41;400;10;0;1;10000000000;81894;1725421794022334253
42;400;10;0;1;10000000000;82866;1725421794032296629
43;400;10;0;1;10000000000;96733;1725421794042304984
44;400;10;0;1;10000000000;80593;1725421794052347543
45;400;10;0;1;10000000000;81600;1725421794062339678
46;400;10;0;1;10000000000;113544;1725421794072236874
47;400;10;0;1;10000000000;81981;1725421794082268405
48;400;10;0;1;10000000000;80286;1725421794092265480
49;400;10;0;1;10000000000;109743;1725421794102284263
0;500000;10;0;1;10000000000;39725623;1725431838230094691
1;500000;10;0;1;10000000000;3758785;1725431838267820432
2;500000;10;0;1;10000000000;2900780;1725431838270076455
3;500000;10;0;1;10000000000;1700363;1725431838280084220
4;500000;10;0;1;10000000000;1470402;1725431838290101640
5;500000;10;0;1;10000000000;1471535;1725431838300039386
6;500000;10;0;1;10000000000;1337540;1725431838310045876
7;500000;10;0;1;10000000000;1270799;1725431838320007130
8;500000;10;0;1;10000000000;1456255;1725431838330136097
9;500000;10;0;1;10000000000;1327383;1725431838339981861
10;500000;10;0;1;10000000000;1268269;1725431838350031900
11;500000;10;0;1;10000000000;1567767;1725431838360057831
12;500000;10;0;1;10000000000;1329449;1725431838370040540
13;500000;10;0;1;10000000000;1274865;1725431838380008103
14;500000;10;0;1;10000000000;1379406;1725431838390037956
15;500000;10;0;1;10000000000;1372941;1725431838399975023
16;500000;10;0;1;10000000000;1286035;1725431838410010640
17;500000;10;0;1;10000000000;1488934;1725431838420013997
18;500000;10;0;1;10000000000;1405774;1725431838430043417
19;500000;10;0;1;10000000000;1328880;1725431838440008032
20;500000;10;0;1;10000000000;1279655;1725431838450082205
21;500000;10;0;1;10000000000;1439969;1725431838460041171
22;500000;10;0;1;10000000000;1479750;1725431838469972001
23;500000;10;0;1;10000000000;1336172;1725431838480010201
24;500000;10;0;1;10000000000;1506845;1725431838490020267
25;500000;10;0;1;10000000000;1327435;1725431838499947713
26;500000;10;0;1;10000000000;1289222;1725431838510011960
27;500000;10;0;1;10000000000;1465724;1725431838520090952
28;500000;10;0;1;10000000000;1403490;1725431838530049135
29;500000;10;0;1;10000000000;1299976;1725431838540030521
30;500000;10;0;1;10000000000;1382663;1725431838550065541
31;500000;10;0;1;10000000000;1309747;1725431838560011027
32;500000;10;0;1;10000000000;1280235;1725431838570085738
33;500000;10;0;1;10000000000;1418716;1725431838580013262
34;500000;10;0;1;10000000000;1318631;1725431838590013420
35;500000;10;0;1;10000000000;1277021;1725431838600011471
36;500000;10;0;1;10000000000;1418225;1725431838610067444
37;500000;10;0;1;10000000000;1336913;1725431838619983093
38;500000;10;0;1;10000000000;1275964;1725431838630007602
39;500000;10;0;1;10000000000;1421208;1725431838640033861
40;500000;10;0;1;10000000000;1349669;1725431838649988859
41;500000;10;0;1;10000000000;1290372;1725431838660022974
42;500000;10;0;1;10000000000;1535940;1725431838670097776
43;500000;10;0;1;10000000000;1326408;1725431838679945262
44;500000;10;0;1;10000000000;1285059;1725431838690011473
45;500000;10;0;1;10000000000;1404493;1725431838700015117
46;500000;10;0;1;10000000000;1364602;1725431838710010972
47;500000;10;0;1;10000000000;1281050;1725431838720005070
48;500000;10;0;1;10000000000;1395344;1725431838730011071
49;500000;10;0;1;10000000000;1382152;1725431838740034970
0;50000;10;0;1;10000000000;15660979;1725429473710701197
1;50000;10;0;1;10000000000;408163;1725429473726189253
2;50000;10;0;1;10000000000;197562;1725429473730711692
3;50000;10;0;1;10000000000;253092;1725429473740585921
4;50000;10;0;1;10000000000;333488;1725429473750687250
5;50000;10;0;1;10000000000;377691;1725429473760758199
6;50000;10;0;1;10000000000;339415;1725429473770669489
